time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-27,03:00:00",6,7,3,3,6,6,2.7861333333333334,4.830666666666667
"2019-04-27,03:01:00",3,3,2,2,2,2,2.3981333333333335,3.9925333333333333
"2019-04-27,03:02:00",6,7,3,4,2,2,2.5188,4.134666666666667
"2019-04-27,03:03:00",3,3,2,2,2,2,2.3021333333333334,3.968
"2019-04-27,03:04:00",4,6,2,2,2,2,2.5557333333333334,4.0
"2019-04-27,03:05:00",5,5,2,2,6,6,2.6156,4.172
"2019-04-27,03:06:00",5,7,3,3,2,2,2.6001333333333334,4.0408
"2019-04-27,03:07:00",3,3,2,3,2,2,2.4109333333333334,4.034666666666666
"2019-04-27,03:08:00",4,6,2,2,2,2,2.5256,4.099733333333333
"2019-04-27,03:09:00",4,4,3,3,2,2,2.3465333333333334,4.031066666666667
"2019-04-27,03:10:00",5,6,2,2,6,6,2.7984,4.9126666666666665
"2019-04-27,03:11:00",3,3,2,3,2,2,2.3554666666666666,4.0184
"2019-04-27,03:12:00",4,6,2,2,2,2,2.4962666666666666,4.0928
"2019-04-27,03:13:00",4,4,3,3,2,2,2.3529333333333335,4.099466666666666
"2019-04-27,03:14:00",6,7,4,4,6,6,3.0154666666666667,4.3044
"2019-04-27,03:15:00",3,3,2,2,2,2,2.3149333333333333,4.061333333333334
"2019-04-27,03:16:00",4,6,2,3,2,2,2.4914666666666667,4.0376
"2019-04-27,03:17:00",4,4,3,3,2,2,2.3444,4.069866666666667
"2019-04-27,03:18:00",4,6,2,2,2,2,2.5768,4.050133333333333
"2019-04-27,03:19:00",5,5,3,3,6,6,2.6821333333333333,4.8628
"2019-04-27,03:20:00",4,6,2,3,2,2,2.564,4.18
"2019-04-27,03:21:00",4,4,3,3,2,2,2.4148,4.080266666666667
"2019-04-27,03:22:00",4,6,2,2,2,2,2.5533333333333332,4.0152
"2019-04-27,03:23:00",3,3,2,2,2,2,2.4678666666666667,4.041333333333333
"2019-04-27,03:24:00",6,7,3,3,6,6,2.691866666666667,4.134933333333334
"2019-04-27,03:25:00",4,4,3,3,2,2,2.376133333333333,4.036
"2019-04-27,03:26:00",5,6,2,3,2,2,2.4530666666666665,3.9896
"2019-04-27,03:27:00",3,3,2,2,2,2,2.361866666666667,4.0848
"2019-04-27,03:28:00",5,7,3,3,2,2,2.6172,4.0176
"2019-04-27,03:29:00",5,5,3,3,6,6,2.8065333333333333,4.8933333333333335
