time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",9,10,43,43,24,24,9.2648,31.671466666666667
"2019-04-26,03:01:00",10,11,47,47,26,26,10.158666666666667,31.943066666666667
"2019-04-26,03:02:00",9,10,41,41,22,22,8.776933333333334,28.6684
"2019-04-26,03:03:00",8,9,46,46,25,25,10.175333333333333,33.017466666666664
"2019-04-26,03:04:00",8,9,43,43,23,23,9.296133333333334,29.914533333333335
"2019-04-26,03:05:00",9,10,46,46,25,25,10.084933333333334,33.0156
"2019-04-26,03:06:00",11,12,45,45,25,25,9.288933333333333,29.957733333333334
"2019-04-26,03:07:00",9,10,44,44,24,24,9.696533333333333,31.5708
"2019-04-26,03:08:00",8,9,45,45,24,24,9.618666666666666,31.3868
"2019-04-26,03:09:00",8,9,41,41,22,22,8.8448,28.690133333333332
"2019-04-26,03:10:00",8,9,46,46,25,25,10.032533333333333,32.8588
"2019-04-26,03:11:00",8,9,43,43,25,25,9.552533333333333,29.92653333333333
"2019-04-26,03:12:00",9,10,45,45,25,25,9.9292,32.494
"2019-04-26,03:13:00",8,9,45,45,23,23,9.714266666666667,30.501733333333334
"2019-04-26,03:14:00",8,9,46,46,24,24,9.568933333333334,31.62226666666667
"2019-04-26,03:15:00",7,8,46,46,26,26,9.753466666666666,31.523866666666667
"2019-04-26,03:16:00",9,10,44,44,26,26,9.693733333333334,31.3984
"2019-04-26,03:17:00",8,9,45,45,24,24,10.032933333333334,31.47586666666667
"2019-04-26,03:18:00",9,10,42,42,23,23,9.110533333333333,29.3156
"2019-04-26,03:19:00",8,9,47,46,25,25,10.290133333333333,32.4224
"2019-04-26,03:20:00",9,10,43,43,22,22,9.235733333333334,29.9356
"2019-04-26,03:21:00",9,10,46,46,27,27,10.0372,32.889066666666665
"2019-04-26,03:22:00",9,10,45,45,23,23,9.262266666666667,29.959466666666668
"2019-04-26,03:23:00",9,10,44,44,24,24,9.743466666666666,31.684533333333334
"2019-04-26,03:24:00",9,10,45,45,24,24,9.799066666666667,31.374266666666667
"2019-04-26,03:25:00",9,10,44,44,24,24,9.6548,32.285333333333334
"2019-04-26,03:26:00",13,14,45,45,28,28,9.8888,31.646533333333334
"2019-04-26,03:27:00",9,10,43,43,24,24,9.277466666666667,30.252
"2019-04-26,03:28:00",8,9,47,47,24,24,9.6784,32.50026666666667
