time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",4,5,5,5,1,1,1.248,0.35933333333333334
"2019-04-28,07:01:00",4,4,4,4,0,0,0.088,0.15333333333333332
"2019-04-28,07:02:00",5,7,5,5,3,3,0.42973333333333336,0.37066666666666664
"2019-04-28,07:03:00",10,12,8,8,8,8,1.2386666666666666,1.3042666666666667
"2019-04-28,07:04:00",3,4,3,3,1,1,0.11533333333333333,0.142
"2019-04-28,07:05:00",2,2,2,2,0,0,0.02666666666666667,0.06693333333333333
"2019-04-28,07:06:00",3,3,3,3,0,0,0.048666666666666664,0.07986666666666667
"2019-04-28,07:07:00",9,11,14,14,5,5,769.5413333333333,21.6876
"2019-04-28,07:08:00",5,8,7,9,1,1,0.44893333333333335,0.3216
"2019-04-28,07:09:00",9,10,9,9,7,7,0.5292,0.4588
"2019-04-28,07:10:00",5,5,4,4,2,2,0.6946666666666667,0.8812
"2019-04-28,07:11:00",2,2,2,2,0,0,0.02666666666666667,0.07813333333333333
"2019-04-28,07:12:00",5,8,6,5,3,3,0.5122666666666666,0.46626666666666666
"2019-04-28,07:13:00",3,4,3,3,1,1,0.0876,0.13266666666666665
"2019-04-28,07:14:00",8,10,6,6,7,7,0.5528,0.4308
"2019-04-28,07:15:00",7,7,8,8,2,2,0.7181333333333333,0.874
"2019-04-28,07:16:00",3,3,3,3,0,0,0.048666666666666664,0.10226666666666667
"2019-04-28,07:17:00",4,8,6,5,3,3,0.6814666666666667,0.49493333333333334
"2019-04-28,07:18:00",4,6,7,7,1,1,0.32653333333333334,0.13266666666666665
"2019-04-28,07:19:00",8,11,7,6,7,7,0.6364,0.4724
"2019-04-28,07:20:00",2,3,3,3,0,0,0.03546666666666667,0.06693333333333333
"2019-04-28,07:21:00",3,3,3,3,0,0,0.048666666666666664,0.07986666666666667
"2019-04-28,07:22:00",6,10,6,5,5,5,1.296,34.114266666666666
"2019-04-28,07:23:00",4,6,4,4,3,3,1.0105333333333333,0.8946666666666667
"2019-04-28,07:24:00",10,11,7,8,7,7,0.5748,0.47333333333333333
"2019-04-28,07:25:00",3,3,3,3,0,0,0.048666666666666664,0.10226666666666667
"2019-04-28,07:26:00",6,8,4,4,5,5,0.6925333333333333,1.3710666666666667
"2019-04-28,07:27:00",5,6,8,8,1,1,0.5361333333333334,0.2716
"2019-04-28,07:28:00",4,5,5,5,1,1,0.102,0.12146666666666667
"2019-04-28,07:29:00",8,9,6,6,6,6,1.1610666666666667,0.4928
"2019-04-28,07:30:00",4,4,4,4,0,0,0.0952,0.14213333333333333
"2019-04-28,07:31:00",5,7,5,5,3,3,0.448,0.4432
"2019-04-28,07:32:00",5,6,4,4,4,4,0.7022666666666667,1.9142666666666666
"2019-04-28,07:33:00",5,6,4,4,3,3,1.8410666666666666,1.0553333333333332
"2019-04-28,07:34:00",11,11,8,9,8,8,1.1133333333333333,2.238933333333333
"2019-04-28,07:35:00",5,5,4,4,2,2,0.6504,0.87
"2019-04-28,07:36:00",7,9,8,8,3,3,0.6381333333333333,0.5677333333333333
"2019-04-28,07:37:00",3,4,5,5,1,1,0.3101333333333333,0.16453333333333334
"2019-04-28,07:38:00",3,4,3,3,1,1,0.0876,0.14386666666666667
"2019-04-28,07:39:00",4,6,3,3,0,0,0.32466666666666666,0.11546666666666666
"2019-04-28,07:40:00",7,8,6,6,6,6,0.23786666666666667,0.3910666666666667
"2019-04-28,07:41:00",5,8,6,5,3,3,0.47746666666666665,0.4202666666666667
"2019-04-28,07:42:00",3,4,3,3,1,1,0.0876,0.13266666666666665
"2019-04-28,07:43:00",2,3,2,2,1,1,0.0656,0.10853333333333333
"2019-04-28,07:44:00",5,5,4,4,2,2,0.3576,1.1221333333333334
"2019-04-28,07:45:00",9,10,7,7,6,6,1.4456,0.638
"2019-04-28,07:46:00",8,10,8,8,6,6,1.5169333333333332,2.174
"2019-04-28,07:47:00",5,6,7,7,1,1,0.32493333333333335,0.15106666666666665
"2019-04-28,07:48:00",4,5,4,4,1,1,0.12693333333333334,0.19493333333333332
"2019-04-28,07:49:00",2,2,2,2,0,0,0.0544,0.11373333333333334
"2019-04-28,07:50:00",10,13,8,8,9,9,0.8276,0.6190666666666667
"2019-04-28,07:51:00",4,5,5,5,1,1,0.222,0.24386666666666668
"2019-04-28,07:52:00",2,2,2,2,0,0,0.02666666666666667,0.07813333333333333
"2019-04-28,07:53:00",3,4,3,3,1,1,0.0876,0.12146666666666667
"2019-04-28,07:54:00",3,3,3,3,0,0,0.0764,0.1116
"2019-04-28,07:55:00",10,14,10,9,9,9,0.9624,0.6954666666666667
"2019-04-28,07:56:00",4,5,6,6,1,1,0.39986666666666665,0.20786666666666667
"2019-04-28,07:57:00",3,4,3,3,1,1,0.0876,0.15506666666666666
"2019-04-28,07:58:00",2,2,2,2,0,0,0.02666666666666667,0.08933333333333333
"2019-04-28,07:59:00",3,3,3,3,0,0,0.0764,0.12666666666666668
"2019-04-28,08:00:00",10,13,8,8,9,9,0.8765333333333334,0.714
"2019-04-28,08:01:00",2,3,2,2,1,1,0.10453333333333334,0.16133333333333333
"2019-04-28,08:02:00",3,4,3,3,1,1,0.0876,0.12146666666666667
"2019-04-28,08:03:00",3,3,3,3,0,0,0.7502666666666666,0.4216
"2019-04-28,08:04:00",2,2,2,2,0,0,0.0544,0.08746666666666666
"2019-04-28,08:05:00",10,13,9,9,9,9,1.0274666666666668,0.7748
"2019-04-28,08:06:00",4,5,6,6,1,1,0.3177333333333333,0.14386666666666667
"2019-04-28,08:07:00",2,3,2,2,1,1,0.0656,0.11973333333333333
"2019-04-28,08:08:00",6,6,5,5,3,3,1.6312,34.2392
"2019-04-28,08:09:00",2,2,2,2,0,0,0.0544,0.10253333333333334
"2019-04-28,08:10:00",5,9,5,5,3,3,0.6912,0.43146666666666667
"2019-04-28,08:11:00",8,10,7,7,7,7,0.3118666666666667,0.4456
"2019-04-28,08:12:00",2,3,2,2,1,1,0.0656,0.10853333333333333
"2019-04-28,08:13:00",5,5,4,4,2,2,0.6989333333333333,0.8588
"2019-04-28,08:14:00",6,7,4,5,3,3,0.3569333333333333,0.2776
"2019-04-28,08:15:00",5,7,9,8,1,1,0.36866666666666664,0.3469333333333333
"2019-04-28,08:16:00",9,12,10,9,7,7,0.8388,0.4368
"2019-04-28,08:17:00",3,5,4,4,1,1,0.0964,0.13266666666666665
"2019-04-28,08:18:00",2,2,2,2,0,0,0.02666666666666667,0.06693333333333333
"2019-04-28,08:19:00",4,7,4,4,3,3,0.4338666666666667,0.35186666666666666
"2019-04-28,08:20:00",3,5,4,4,1,1,0.20066666666666666,0.21586666666666668
"2019-04-28,08:21:00",8,10,6,6,7,7,0.5250666666666667,0.42146666666666666
"2019-04-28,08:22:00",3,3,3,3,0,0,0.048666666666666664,0.0764
"2019-04-28,08:23:00",3,3,3,3,0,0,0.048666666666666664,0.09106666666666667
"2019-04-28,08:24:00",5,7,6,6,3,3,0.538,0.41426666666666667
"2019-04-28,08:25:00",4,5,6,6,1,1,0.37106666666666666,0.20786666666666667
"2019-04-28,08:26:00",9,11,7,7,7,7,0.5470666666666667,0.4456
"2019-04-28,08:27:00",2,2,2,2,0,0,0.02666666666666667,0.07813333333333333
"2019-04-28,08:28:00",5,5,4,4,2,2,0.3290666666666667,1.1004
"2019-04-28,08:29:00",5,7,5,5,3,3,1.1236,0.5234666666666666
"2019-04-28,08:30:00",2,3,2,2,1,1,0.0656,0.11973333333333333
"2019-04-28,08:31:00",9,11,7,7,7,7,0.5470666666666667,0.4344
"2019-04-28,08:32:00",6,6,6,6,3,3,0.6817333333333333,1.8954666666666666
"2019-04-28,08:33:00",2,2,2,2,0,0,0.02666666666666667,0.08933333333333333
"2019-04-28,08:34:00",7,8,8,9,3,3,0.8290666666666666,0.4872
"2019-04-28,08:35:00",4,5,5,5,1,1,0.102,0.15506666666666666
"2019-04-28,08:36:00",9,11,7,7,7,7,0.5556,0.4861333333333333
"2019-04-28,08:37:00",4,4,4,4,0,0,0.0952,0.11053333333333333
"2019-04-28,08:38:00",7,9,5,5,6,6,1.166,1.8624
"2019-04-28,08:39:00",3,4,4,4,1,1,0.3056,0.36093333333333333
"2019-04-28,08:40:00",3,4,3,3,1,1,0.0876,0.13266666666666665
"2019-04-28,08:41:00",4,7,3,3,1,1,1.2250666666666667,0.34653333333333336
"2019-04-28,08:42:00",8,9,7,7,6,6,0.286,0.3928
"2019-04-28,08:43:00",8,11,10,9,6,6,2.9814666666666665,2.0345333333333335
"2019-04-28,08:44:00",4,5,5,5,1,1,0.2796,0.2476
"2019-04-28,08:45:00",4,5,5,5,1,1,0.102,0.14386666666666667
"2019-04-28,08:46:00",4,4,3,3,2,2,0.34586666666666666,0.9889333333333333
"2019-04-28,08:47:00",9,10,7,7,6,6,0.5081333333333333,0.404
"2019-04-28,08:48:00",7,9,6,6,5,5,1.0188,1.18
"2019-04-28,08:49:00",3,3,2,3,1,1,0.13226666666666667,0.20413333333333333
"2019-04-28,08:50:00",3,4,3,3,1,1,0.0876,0.13266666666666665
"2019-04-28,08:51:00",3,3,3,3,0,0,0.048666666666666664,0.09106666666666667
"2019-04-28,08:52:00",8,9,6,6,6,6,0.4861333333333333,0.3798666666666667
"2019-04-28,08:53:00",10,12,12,12,7,7,2.873466666666667,37.623066666666666
"2019-04-28,08:54:00",5,5,5,6,1,1,0.14413333333333334,0.1828
"2019-04-28,08:55:00",2,3,2,2,1,1,0.0656,0.10853333333333333
"2019-04-28,08:56:00",3,3,3,3,0,0,0.048666666666666664,0.09106666666666667
"2019-04-28,08:57:00",9,10,7,7,6,6,0.5081333333333333,0.3928
"2019-04-28,08:58:00",7,9,7,7,5,5,1.4853333333333334,1.2438666666666667
"2019-04-28,08:59:00",6,7,6,6,3,3,0.4108,1.1901333333333333
"2019-04-28,09:00:00",4,5,5,5,1,1,0.102,0.14386666666666667
"2019-04-28,09:01:00",3,3,3,3,0,0,0.0732,0.0976
"2019-04-28,09:02:00",9,10,7,7,6,6,0.5081333333333333,0.3928
"2019-04-28,09:03:00",7,9,8,8,3,3,0.7110666666666666,0.4825333333333333
"2019-04-28,09:04:00",2,3,2,2,1,1,0.09333333333333334,0.14026666666666668
"2019-04-28,09:05:00",3,4,3,3,1,1,0.0876,0.15506666666666666
"2019-04-28,09:06:00",3,3,3,3,0,0,0.048666666666666664,0.10226666666666667
"2019-04-28,09:07:00",8,11,6,6,9,9,0.798,0.6394666666666666
"2019-04-28,09:08:00",6,8,7,6,3,3,0.8361333333333333,1.0036
"2019-04-28,09:09:00",3,4,3,3,1,1,0.11533333333333333,0.17946666666666666
"2019-04-28,09:10:00",2,2,2,2,0,0,0.02666666666666667,0.08933333333333333
"2019-04-28,09:11:00",3,3,3,3,0,0,0.048666666666666664,0.09106666666666667
"2019-04-28,09:12:00",4,8,5,5,3,3,0.9657333333333333,0.4806666666666667
"2019-04-28,09:13:00",10,12,10,10,8,8,1.0704,1.3109333333333333
"2019-04-28,09:14:00",4,4,3,4,1,1,0.11533333333333333,0.1492
"2019-04-28,09:15:00",5,5,6,6,0,0,0.053066666666666665,0.10453333333333334
"2019-04-28,09:16:00",3,3,3,3,0,0,0.048666666666666664,0.0652
"2019-04-28,09:17:00",5,9,7,6,3,3,0.6548,0.4824
"2019-04-28,09:18:00",8,12,9,7,7,7,0.6892,0.48533333333333334
"2019-04-28,09:19:00",4,6,6,6,1,1,0.15573333333333333,0.18813333333333335
"2019-04-28,09:20:00",3,3,3,3,0,0,0.048666666666666664,0.07986666666666667
"2019-04-28,09:21:00",3,3,4,4,0,0,0.2424,0.08933333333333333
"2019-04-28,09:22:00",4,7,4,4,3,3,0.5176,0.44506666666666667
"2019-04-28,09:23:00",9,12,8,7,7,7,0.5558666666666666,0.4232
"2019-04-28,09:24:00",2,3,2,2,1,1,0.09333333333333334,0.14026666666666668
"2019-04-28,09:25:00",4,4,4,4,0,0,0.10853333333333333,0.10093333333333333
"2019-04-28,09:26:00",3,3,3,3,0,0,0.048666666666666664,0.09106666666666667
"2019-04-28,09:27:00",5,7,6,6,3,3,0.5636,0.4577333333333333
"2019-04-28,09:28:00",10,12,9,9,7,7,0.5614666666666667,0.4456
"2019-04-28,09:29:00",3,4,3,3,1,1,0.7482666666666666,0.21733333333333332
