time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:01:00",3,3,1,2,2,2,1.2877333333333334,0.0376
"2019-04-26,03:02:00",3,5,4,3,1,1,1.6544,0.012
"2019-04-26,03:03:00",1,3,1,1,0,0,0.0364,0.0
"2019-04-26,03:04:00",4,6,0,0,3,3,0.49546666666666667,0.08053333333333333
"2019-04-26,03:05:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:06:00",3,5,4,4,1,1,1.8096,0.012
"2019-04-26,03:07:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:08:00",2,3,0,0,1,1,0.3994666666666667,0.0232
"2019-04-26,03:09:00",3,5,0,0,2,2,0.10826666666666666,0.0844
"2019-04-26,03:10:00",2,3,0,0,1,1,0.3994666666666667,0.012
"2019-04-26,03:11:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:12:00",1,1,0,0,0,0,0.0061333333333333335,0.012
"2019-04-26,03:13:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:14:00",6,8,3,3,5,5,0.8096,2.1326666666666667
"2019-04-26,03:15:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:16:00",2,3,1,1,1,1,1.2274666666666667,0.0192
"2019-04-26,03:17:00",1,2,0,0,0,0,0.012266666666666667,0.0232
"2019-04-26,03:18:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:19:00",5,7,3,3,2,2,0.162,0.116
"2019-04-26,03:20:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:21:00",4,5,9,9,1,1,1.8130666666666666,0.0232
"2019-04-26,03:22:00",4,6,6,4,2,2,1.2413333333333334,0.8016
"2019-04-26,03:23:00",4,6,3,2,2,2,0.15653333333333333,0.07653333333333333
"2019-04-26,03:24:00",1,1,1,1,0,0,0.019333333333333334,0.012
"2019-04-26,03:25:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:26:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:27:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:28:00",3,5,0,0,2,2,0.10826666666666666,0.058133333333333335
"2019-04-26,03:29:00",1,2,0,0,0,0,0.012266666666666667,0.027066666666666666
"2019-04-26,03:30:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:31:00",1,2,0,0,2,2,1.2877333333333334,0.012
"2019-04-26,03:32:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:33:00",2,2,0,0,2,2,0.04613333333333333,0.058133333333333335
"2019-04-26,03:34:00",4,6,3,3,4,4,0.7792,2.0132
"2019-04-26,03:35:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:36:00",4,4,4,5,0,0,1.1172,0.0376
"2019-04-26,03:37:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:38:00",3,5,0,0,2,2,0.10826666666666666,0.058133333333333335
"2019-04-26,03:39:00",1,2,0,0,0,0,0.012266666666666667,0.027066666666666666
"2019-04-26,03:40:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:41:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:42:00",1,3,1,1,0,0,0.21413333333333334,0.0232
"2019-04-26,03:43:00",4,7,3,3,3,3,0.22693333333333332,0.1
"2019-04-26,03:44:00",3,5,2,2,2,2,0.6438666666666667,0.8021333333333334
"2019-04-26,03:45:00",1,2,0,0,0,0,0.012266666666666667,0.012
"2019-04-26,03:46:00",1,2,0,0,1,1,1.2274666666666667,0.012
"2019-04-26,03:47:00",1,2,0,0,1,1,0.03626666666666667,0.012
"2019-04-26,03:48:00",6,8,4,4,6,6,3.8512,2.7485333333333335
"2019-04-26,03:49:00",3,5,2,2,2,2,0.6553333333333333,0.8172
"2019-04-26,03:50:00",3,2,1,2,0,0,0.0061333333333333335,0.0376
"2019-04-26,03:51:00",2,4,3,3,0,0,0.8669333333333333,0.012
"2019-04-26,03:52:00",6,8,4,4,6,6,3.6213333333333333,1.2869333333333333
"2019-04-26,03:53:00",2,5,4,3,0,0,0.0852,0.0552
"2019-04-26,03:54:00",1,2,0,0,0,0,0.012266666666666667,0.012
