time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",6,7,6,6,6,6,0.1976,0.3353333333333333
"2019-04-28,07:01:00",3,4,4,4,1,1,0.17973333333333333,0.1904
"2019-04-28,07:02:00",8,10,7,7,8,8,0.3725333333333333,0.3704
"2019-04-28,07:03:00",3,5,4,4,1,1,0.0992,0.0988
"2019-04-28,07:04:00",6,8,6,6,6,6,0.20373333333333332,0.3353333333333333
"2019-04-28,07:05:00",3,5,4,4,1,1,0.12373333333333333,0.11986666666666666
"2019-04-28,07:06:00",6,8,6,6,6,6,0.28426666666666667,0.42693333333333333
"2019-04-28,07:07:00",4,6,4,4,3,3,0.24186666666666667,0.13106666666666666
"2019-04-28,07:08:00",6,7,6,6,6,6,0.2064,0.34186666666666665
"2019-04-28,07:09:00",4,5,5,5,1,1,0.14373333333333332,0.14893333333333333
"2019-04-28,07:10:00",7,8,7,7,6,6,0.22293333333333334,0.36373333333333335
"2019-04-28,07:11:00",3,5,4,4,1,1,0.19813333333333333,0.21146666666666666
"2019-04-28,07:12:00",8,9,7,7,8,8,0.3384,0.32466666666666666
"2019-04-28,07:13:00",3,4,4,4,1,1,0.11146666666666667,0.11986666666666666
"2019-04-28,07:14:00",7,8,6,6,8,8,0.2096,0.3473333333333333
"2019-04-28,07:15:00",4,5,5,5,1,1,0.1744,0.176
"2019-04-28,07:16:00",6,8,6,6,6,6,0.24746666666666667,0.3848
"2019-04-28,07:17:00",4,6,4,4,3,3,0.24186666666666667,0.11986666666666666
"2019-04-28,07:18:00",6,8,6,6,6,6,0.20373333333333332,0.32413333333333333
"2019-04-28,07:19:00",3,4,4,4,1,1,0.11146666666666667,0.13493333333333332
"2019-04-28,07:20:00",6,7,6,6,6,6,0.2344,0.3774666666666667
"2019-04-28,07:21:00",3,5,4,4,1,1,0.16133333333333333,0.16933333333333334
"2019-04-28,07:22:00",7,8,6,6,8,8,0.3218666666666667,0.3353333333333333
"2019-04-28,07:23:00",4,5,5,5,1,1,0.1464,0.1516
"2019-04-28,07:24:00",7,8,7,7,6,6,0.26053333333333334,0.3914666666666667
"2019-04-28,07:25:00",3,4,4,4,1,1,0.1264,0.1376
"2019-04-28,07:26:00",7,8,7,7,6,6,0.24906666666666666,0.3777333333333333
"2019-04-28,07:27:00",4,5,4,4,3,3,0.23573333333333332,0.11986666666666666
"2019-04-28,07:28:00",6,7,6,6,6,6,0.1976,0.3353333333333333
"2019-04-28,07:29:00",7,9,6,6,6,6,0.4592,1.1194666666666666
"2019-04-28,07:30:00",6,7,6,6,6,6,0.1976,0.3353333333333333
"2019-04-28,07:31:00",4,6,4,4,3,3,0.17333333333333334,0.19253333333333333
"2019-04-28,07:32:00",7,8,6,6,8,8,0.3218666666666667,0.34653333333333336
"2019-04-28,07:33:00",3,4,4,4,1,1,0.12986666666666666,0.14093333333333333
"2019-04-28,07:34:00",6,7,6,6,6,6,0.1976,0.34653333333333336
"2019-04-28,07:35:00",3,4,4,4,1,1,0.11146666666666667,0.106
"2019-04-28,07:36:00",6,7,6,6,6,6,0.24133333333333334,0.4048
"2019-04-28,07:37:00",5,7,5,5,3,3,0.27573333333333333,0.138
"2019-04-28,07:38:00",7,8,7,7,6,6,0.29906666666666665,1.5473333333333332
"2019-04-28,07:39:00",4,5,5,5,1,1,0.1192,0.12786666666666666
"2019-04-28,07:40:00",6,7,6,6,6,6,0.21253333333333332,0.35306666666666664
"2019-04-28,07:41:00",3,4,4,4,1,1,0.1552,0.18053333333333332
"2019-04-28,07:42:00",7,8,6,6,8,8,0.3586666666666667,0.3774666666666667
"2019-04-28,07:43:00",4,6,5,5,1,1,0.14986666666666668,0.13386666666666666
"2019-04-28,07:44:00",6,7,6,6,6,6,0.1976,0.3353333333333333
"2019-04-28,07:45:00",3,4,4,4,1,1,0.1176,0.12866666666666668
"2019-04-28,07:46:00",6,7,6,6,6,6,0.24133333333333334,0.4048
"2019-04-28,07:47:00",4,5,4,4,3,3,0.27253333333333335,0.1732
"2019-04-28,07:48:00",8,9,8,7,12,12,0.5314666666666666,1.2448
"2019-04-28,07:49:00",3,5,4,4,1,1,0.1176,0.12373333333333333
"2019-04-28,07:50:00",7,8,7,7,6,6,0.22986666666666666,0.34933333333333333
"2019-04-28,07:51:00",4,6,5,5,1,1,0.20586666666666667,0.2044
"2019-04-28,07:52:00",7,9,6,6,8,8,0.328,0.3353333333333333
"2019-04-28,07:53:00",4,6,5,5,1,1,0.15866666666666668,0.12893333333333334
"2019-04-28,07:54:00",6,7,6,6,6,6,0.1792,0.3142666666666667
"2019-04-28,07:55:00",3,5,4,4,1,1,0.1264,0.1352
"2019-04-28,07:56:00",7,8,7,7,6,6,0.2869333333333333,0.4686666666666667
"2019-04-28,07:57:00",5,6,5,5,3,3,0.2618666666666667,0.13386666666666666
"2019-04-28,07:58:00",7,8,9,9,12,12,1.152,3.6858666666666666
"2019-04-28,07:59:00",3,4,4,4,1,1,0.11146666666666667,0.12373333333333333
"2019-04-28,08:00:00",6,7,6,6,6,6,0.216,0.3564
"2019-04-28,08:01:00",3,4,4,4,1,1,0.1552,0.14666666666666667
"2019-04-28,08:02:00",7,8,6,6,8,8,0.3218666666666667,0.3353333333333333
"2019-04-28,08:03:00",3,4,4,4,1,1,0.11146666666666667,0.0972
"2019-04-28,08:04:00",7,8,7,7,6,6,0.21146666666666666,0.32826666666666665
"2019-04-28,08:05:00",5,6,5,5,3,3,0.1864,0.1992
"2019-04-28,08:06:00",6,7,6,6,6,6,0.24133333333333334,0.3848
"2019-04-28,08:07:00",5,6,5,5,3,3,0.2618666666666667,0.13386666666666666
"2019-04-28,08:08:00",6,7,6,6,6,6,0.2064,0.35306666666666664
"2019-04-28,08:09:00",3,5,4,4,1,1,0.14213333333333333,0.1448
"2019-04-28,08:10:00",7,9,7,7,6,6,0.26586666666666664,0.40586666666666665
"2019-04-28,08:11:00",3,4,4,4,1,1,0.1552,0.18053333333333332
"2019-04-28,08:12:00",7,8,6,6,8,8,0.33066666666666666,0.3544
"2019-04-28,08:13:00",3,4,4,4,1,1,0.11146666666666667,0.11986666666666666
"2019-04-28,08:14:00",6,7,6,6,6,6,0.216,0.3564
"2019-04-28,08:15:00",3,4,4,4,1,1,0.1176,0.10866666666666666
"2019-04-28,08:16:00",6,7,6,6,6,6,0.24746666666666667,0.37333333333333335
"2019-04-28,08:17:00",4,5,4,4,3,3,0.24186666666666667,0.0972
"2019-04-28,08:18:00",7,8,7,7,6,6,0.17893333333333333,0.24346666666666666
"2019-04-28,08:19:00",5,6,7,7,1,1,0.1824,0.2436
"2019-04-28,08:20:00",3,4,4,4,1,1,0.09333333333333334,0.10493333333333334
"2019-04-28,08:21:00",7,8,7,7,6,6,0.29173333333333334,0.41373333333333334
"2019-04-28,08:22:00",5,6,4,4,5,5,0.20506666666666667,0.09586666666666667
"2019-04-28,08:23:00",6,7,6,6,6,6,0.24906666666666666,0.38906666666666667
"2019-04-28,08:24:00",4,5,5,5,1,1,0.11333333333333333,0.11893333333333334
"2019-04-28,08:25:00",6,7,6,6,6,6,0.2368,0.3568
"2019-04-28,08:26:00",3,4,4,4,1,1,0.13093333333333335,0.1656
"2019-04-28,08:27:00",7,8,6,6,8,8,0.34613333333333335,0.35026666666666667
"2019-04-28,08:28:00",4,6,5,5,1,1,0.2044,1.3202666666666667
"2019-04-28,08:29:00",7,8,7,7,10,10,0.5005333333333334,1.254
"2019-04-28,08:30:00",3,4,4,4,1,1,0.0872,0.10493333333333334
"2019-04-28,08:31:00",6,7,6,6,6,6,0.2656,0.38853333333333334
"2019-04-28,08:32:00",5,6,5,5,3,3,0.3005333333333333,0.18626666666666666
"2019-04-28,08:33:00",6,8,6,6,6,6,0.23413333333333333,0.3390666666666667
"2019-04-28,08:34:00",4,5,5,5,1,1,0.11333333333333333,0.13013333333333332
"2019-04-28,08:35:00",6,7,6,6,6,6,0.22186666666666666,0.3390666666666667
"2019-04-28,08:36:00",3,4,4,4,1,1,0.12213333333333333,0.1516
"2019-04-28,08:37:00",7,9,6,6,8,8,0.39786666666666665,0.4064
"2019-04-28,08:38:00",4,5,5,5,1,1,0.10373333333333333,0.09293333333333334
"2019-04-28,08:39:00",7,9,6,6,8,8,0.24,0.3661333333333333
"2019-04-28,08:40:00",3,4,4,4,1,1,0.0872,0.10493333333333334
"2019-04-28,08:41:00",6,7,6,6,6,6,0.2850666666666667,0.4456
"2019-04-28,08:42:00",4,5,4,4,3,3,0.2376,0.13013333333333332
"2019-04-28,08:43:00",6,8,6,6,6,6,0.228,0.3390666666666667
"2019-04-28,08:44:00",3,4,4,4,1,1,0.0872,0.08226666666666667
"2019-04-28,08:45:00",7,8,7,7,6,6,0.248,0.3416
