time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",3,2,1,1,2,2,0.0928,0.032
"2019-04-26,03:01:00",1,1,1,1,0,0,0.0,0.0216
"2019-04-26,03:02:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:03:00",1,1,1,1,0,0,0.0,0.0216
"2019-04-26,03:04:00",4,4,3,3,2,2,0.2872,0.10546666666666667
"2019-04-26,03:05:00",1,1,1,1,0,0,0.0088,0.0112
"2019-04-26,03:06:00",2,3,3,3,0,0,0.05706666666666667,0.04373333333333333
"2019-04-26,03:07:00",2,2,0,0,3,3,0.02666666666666667,0.0728
"2019-04-26,03:08:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:09:00",2,2,0,0,2,2,0.0928,0.026533333333333332
"2019-04-26,03:10:00",5,10,6,5,8,5,2.1561333333333335,3.9114666666666666
"2019-04-26,03:11:00",2,2,0,0,2,2,0.009866666666666666,0.012
"2019-04-26,03:12:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-26,03:13:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:14:00",3,3,2,2,2,2,0.2204,0.07906666666666666
"2019-04-26,03:15:00",6,7,6,6,3,3,0.904,1.4841333333333333
"2019-04-26,03:16:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:17:00",2,2,2,2,0,0,0.022266666666666667,0.0244
"2019-04-26,03:18:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:19:00",4,4,3,3,2,2,0.112,0.05293333333333333
"2019-04-26,03:20:00",1,1,1,1,0,0,0.0,0.0736
"2019-04-26,03:21:00",1,1,1,1,0,0,0.0,0.0216
"2019-04-26,03:22:00",1,1,1,1,0,0,0.0,0.016
"2019-04-26,03:23:00",0,0,0,0,0,0,0.0,0.0056
"2019-04-26,03:24:00",3,3,2,2,2,2,0.1208,0.0464
"2019-04-26,03:25:00",1,1,1,1,0,0,0.0088,0.0056
"2019-04-26,03:26:00",2,2,2,2,0,0,0.048933333333333336,0.0444
"2019-04-26,03:27:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:28:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:29:00",2,2,0,0,2,2,0.0928,0.026533333333333332
"2019-04-26,03:30:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:31:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:32:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:33:00",2,2,0,0,2,2,0.0928,0.0112
"2019-04-26,03:34:00",2,2,2,2,0,0,0.12853333333333333,0.08866666666666667
"2019-04-26,03:35:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:36:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:37:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:38:00",2,2,0,0,2,2,0.0928,0.0112
"2019-04-26,03:39:00",0,0,0,0,0,0,0.0,0.015333333333333332
"2019-04-26,03:40:00",6,6,6,6,2,2,1.5664,1.0310666666666666
"2019-04-26,03:41:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:42:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:43:00",2,2,0,0,2,2,0.0928,0.0112
"2019-04-26,03:44:00",2,2,3,3,0,0,0.0176,0.0288
"2019-04-26,03:45:00",2,2,2,2,0,0,0.1276,0.07906666666666666
"2019-04-26,03:46:00",3,3,4,4,0,0,0.07053333333333334,0.056933333333333336
"2019-04-26,03:47:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:48:00",2,2,0,0,2,2,0.0928,0.0112
"2019-04-26,03:49:00",0,0,0,0,0,0,0.0,0.015333333333333332
"2019-04-26,03:50:00",2,2,2,2,0,0,0.028,0.0408
"2019-04-26,03:51:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:52:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:53:00",2,2,0,0,2,2,0.0928,0.0112
"2019-04-26,03:54:00",2,2,2,2,0,0,0.0192,0.0216
"2019-04-26,03:55:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:56:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:57:00",2,2,0,0,2,2,0.0928,0.0
"2019-04-26,03:58:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-26,03:59:00",1,1,1,1,0,0,0.0,0.07853333333333333
"2019-04-26,04:00:00",1,1,1,1,0,0,0.0,0.032
"2019-04-26,04:01:00",1,1,1,1,0,0,0.0,0.0216
"2019-04-26,04:02:00",3,2,1,1,2,2,0.0928,0.0216
"2019-04-26,04:03:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,04:04:00",2,2,2,2,0,0,0.028,0.0408
"2019-04-26,04:05:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,04:06:00",2,2,2,2,0,0,0.048266666666666666,0.04373333333333333
"2019-04-26,04:07:00",2,2,0,0,2,2,0.0928,0.0112
"2019-04-26,04:08:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,04:09:00",1,1,1,1,0,0,0.0,0.07853333333333333
