time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",5,8,3,3,8,8,0.6194666666666667,0.34053333333333335
"2019-04-28,07:01:00",6,9,3,3,8,8,1.4568,0.6428
"2019-04-28,07:02:00",5,8,3,3,5,5,0.4268,0.34373333333333334
"2019-04-28,07:03:00",6,9,3,3,9,9,0.5778666666666666,0.41333333333333333
"2019-04-28,07:04:00",5,8,3,3,6,6,0.6105333333333334,0.33253333333333335
"2019-04-28,07:05:00",5,9,3,3,9,9,1.0553333333333332,0.3602666666666667
"2019-04-28,07:06:00",6,9,3,3,8,8,1.4457333333333333,0.6628
"2019-04-28,07:07:00",7,10,6,6,8,8,1.5737333333333334,0.9105333333333333
"2019-04-28,07:08:00",7,10,6,6,5,5,0.462,0.36773333333333336
"2019-04-28,07:09:00",7,10,6,6,6,6,0.7517333333333334,0.37933333333333336
"2019-04-28,07:10:00",7,10,6,6,7,7,0.5436,0.36133333333333334
"2019-04-28,07:11:00",7,10,6,6,8,8,1.54,0.7081333333333333
"2019-04-28,07:12:00",5,8,3,3,6,6,0.5026666666666667,0.3413333333333333
"2019-04-28,07:13:00",5,8,3,3,6,6,0.48,0.3612
"2019-04-28,07:14:00",4,7,3,3,5,5,0.4205333333333333,0.3032
"2019-04-28,07:15:00",5,8,3,3,8,8,0.6144,0.3490666666666667
"2019-04-28,07:16:00",6,9,3,3,7,7,1.2202666666666666,0.6665333333333333
"2019-04-28,07:17:00",5,6,3,3,6,6,0.4968,0.3490666666666667
"2019-04-28,07:18:00",5,8,3,3,5,5,0.4268,0.34373333333333334
"2019-04-28,07:19:00",5,8,3,3,6,6,0.524,0.37293333333333334
"2019-04-28,07:20:00",6,9,3,3,11,11,0.6498666666666667,0.4104
"2019-04-28,07:21:00",6,6,3,3,7,7,1.3528,0.8574666666666667
"2019-04-28,07:22:00",5,8,3,3,6,6,0.8608,0.3413333333333333
"2019-04-28,07:23:00",5,8,3,3,5,5,0.42333333333333334,0.3602666666666667
"2019-04-28,07:24:00",5,8,3,3,6,6,0.5186666666666667,0.34373333333333334
"2019-04-28,07:25:00",5,8,3,3,8,8,0.6857333333333333,0.36906666666666665
"2019-04-28,07:26:00",6,9,3,3,7,7,1.2032,0.6244
"2019-04-28,07:27:00",5,8,3,3,6,6,0.5886666666666667,0.3602666666666667
"2019-04-28,07:28:00",5,8,3,3,5,5,0.4356,0.3413333333333333
"2019-04-28,07:29:00",4,7,3,3,5,5,0.46373333333333333,0.3236
"2019-04-28,07:30:00",5,8,3,3,7,7,0.526,0.3317333333333333
"2019-04-28,07:31:00",6,9,3,3,8,8,1.3949333333333334,0.6550666666666667
"2019-04-28,07:32:00",5,6,3,3,6,6,0.64,0.34373333333333334
"2019-04-28,07:33:00",5,8,3,3,6,6,0.5370666666666667,0.3604
"2019-04-28,07:34:00",5,8,3,3,5,5,0.4356,0.3526666666666667
"2019-04-28,07:35:00",6,7,3,3,12,12,2.5613333333333332,1.1232
"2019-04-28,07:36:00",16,17,23,23,22,22,13.139333333333333,92.65253333333334
"2019-04-28,07:37:00",14,17,17,17,9,9,3.5974666666666666,2.2297333333333333
"2019-04-28,07:38:00",14,17,16,16,6,6,0.7218666666666667,0.5682666666666667
"2019-04-28,07:39:00",14,17,16,16,5,5,0.5322666666666667,0.47386666666666666
"2019-04-28,07:40:00",13,16,16,16,8,8,0.9930666666666667,0.7624
"2019-04-28,07:41:00",7,8,5,5,8,8,1.1322666666666668,1.034
"2019-04-28,07:42:00",7,10,5,5,7,7,1.3552,0.6372
"2019-04-28,07:43:00",6,9,5,5,6,6,0.5986666666666667,0.3612
"2019-04-28,07:44:00",6,9,5,5,6,6,0.7929333333333334,0.38893333333333335
"2019-04-28,07:45:00",6,9,5,5,6,6,0.44533333333333336,0.32066666666666666
"2019-04-28,07:46:00",8,11,5,5,19,19,1.0856,0.8786666666666667
"2019-04-28,07:47:00",7,10,5,5,7,7,1.2741333333333333,0.6945333333333333
"2019-04-28,07:48:00",6,7,5,5,6,6,0.6044,0.5541333333333334
"2019-04-28,07:49:00",6,9,5,5,5,5,0.44426666666666664,0.3762666666666667
"2019-04-28,07:50:00",6,9,5,5,8,8,0.9673333333333334,0.5609333333333333
"2019-04-28,07:51:00",6,7,5,5,6,6,0.6289333333333333,0.3612
"2019-04-28,07:52:00",7,10,5,5,7,7,1.4446666666666668,0.8945333333333333
"2019-04-28,07:53:00",6,9,5,5,6,6,0.7345333333333334,0.3676
"2019-04-28,07:54:00",6,9,5,5,5,5,0.42333333333333334,0.3490666666666667
"2019-04-28,07:55:00",6,7,5,5,8,8,0.6794666666666667,0.338
"2019-04-28,07:56:00",6,9,5,5,6,6,0.6857333333333333,0.3778666666666667
"2019-04-28,07:57:00",7,10,5,5,8,8,1.2748,0.6306666666666667
"2019-04-28,07:58:00",6,9,5,5,6,6,0.5370666666666667,0.33786666666666665
"2019-04-28,07:59:00",6,9,5,5,5,5,0.46186666666666665,0.39386666666666664
"2019-04-28,08:00:00",7,10,5,5,10,10,0.5701333333333334,0.3416
"2019-04-28,08:01:00",6,9,5,5,5,5,0.44426666666666664,0.3724
"2019-04-28,08:02:00",7,10,5,5,8,8,1.5108,0.6532
"2019-04-28,08:03:00",6,7,5,5,6,6,0.5177333333333334,0.35
"2019-04-28,08:04:00",6,9,5,5,5,5,0.4321333333333333,0.35786666666666667
"2019-04-28,08:05:00",6,9,5,5,8,8,0.6441333333333333,0.37
"2019-04-28,08:06:00",6,9,5,5,5,5,0.42333333333333334,0.3602666666666667
"2019-04-28,08:07:00",7,10,5,5,8,8,1.5037333333333334,0.6910666666666667
"2019-04-28,08:08:00",8,11,8,8,8,8,1.6290666666666667,0.9134666666666666
"2019-04-28,08:09:00",8,11,8,8,5,5,0.47946666666666665,0.40026666666666666
"2019-04-28,08:10:00",8,11,8,8,8,8,0.8170666666666667,0.37546666666666667
"2019-04-28,08:11:00",8,11,8,8,5,5,0.4706666666666667,0.3988
"2019-04-28,08:12:00",8,11,8,8,8,8,1.5509333333333333,0.7405333333333334
"2019-04-28,08:13:00",6,9,5,5,6,6,0.5449333333333334,0.37
"2019-04-28,08:14:00",6,9,5,5,5,5,0.4321333333333333,0.36906666666666665
"2019-04-28,08:15:00",6,9,5,5,7,7,0.7874666666666666,0.31826666666666664
"2019-04-28,08:16:00",6,9,5,5,5,5,0.4321333333333333,0.3562666666666667
"2019-04-28,08:17:00",6,9,3,3,8,8,1.4501333333333333,0.6534666666666666
"2019-04-28,08:18:00",5,8,3,3,6,6,0.7049333333333333,0.3290666666666667
"2019-04-28,08:19:00",5,8,3,3,5,5,0.44426666666666664,0.3762666666666667
"2019-04-28,08:20:00",6,9,3,3,11,11,0.7488,0.38453333333333334
"2019-04-28,08:21:00",5,8,3,3,5,5,0.43546666666666667,0.3524
"2019-04-28,08:22:00",6,9,3,3,8,8,1.4985333333333333,1.0304
