time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-27,03:00:00",0,0,0,0,0,0,0.33986666666666665,0.0112
"2019-04-27,03:01:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:02:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:03:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:04:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:05:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:06:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:07:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:08:00",0,0,0,0,0,0,0.3158666666666667,0.0112
"2019-04-27,03:09:00",4,5,2,2,3,3,0.0,1.8069333333333333
"2019-04-27,03:10:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:11:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:12:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:13:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:14:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:15:00",0,0,0,0,0,0,1.1905333333333334,0.0112
"2019-04-27,03:16:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:17:00",8,9,4,4,4,4,0.0,0.28146666666666664
"2019-04-27,03:18:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:19:00",0,0,0,0,0,0,0.0,0.030133333333333335
"2019-04-27,03:20:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:21:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:22:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:23:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:24:00",5,6,3,3,5,5,0.0,2.7208
"2019-04-27,03:25:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:26:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:27:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:28:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:29:00",0,0,0,0,0,0,0.0,0.026266666666666667
"2019-04-27,03:30:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:31:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:32:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:33:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:34:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:35:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:36:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-27,03:37:00",0,0,0,0,0,0,0.0,0.0
"2019-04-27,03:38:00",0,0,0,0,0,0,0.1156,0.0112
"2019-04-27,03:39:00",0,0,0,0,0,0,0.0,0.04133333333333333
"2019-04-27,03:40:00",0,0,0,0,0,0,0.0,0.0
