time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",5,6,0,0,4,4,0.1312,0.044
"2019-04-26,03:01:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,03:02:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-26,03:03:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-26,03:04:00",0,0,0,0,0,0,0.0,0.0112
"2019-04-26,03:05:00",2,2,0,0,2,2,0.08906666666666667,0.0336
"2019-04-26,03:06:00",0,0,0,0,0,0,0.0,0.0224
"2019-04-26,03:07:00",0,0,0,0,0,0,0.0,0.0224
"2019-04-26,03:08:00",0,0,0,0,0,0,0.0,0.0224
"2019-04-26,03:09:00",0,0,0,0,0,0,0.0,0.026266666666666667
"2019-04-26,03:10:00",2,2,0,0,2,2,0.08906666666666667,0.0224
"2019-04-26,03:11:00",5,5,0,0,5,5,0.039066666666666666,0.07213333333333333
"2019-04-26,03:12:00",4,5,0,0,2,2,0.042133333333333335,0.0328
"2019-04-26,03:13:00",4,5,0,0,2,2,0.07813333333333333,0.0656
"2019-04-26,03:14:00",4,4,0,0,2,2,0.036,0.0328
"2019-04-26,03:15:00",5,7,0,0,6,6,0.2946666666666667,0.1088
"2019-04-26,03:16:00",4,4,0,0,2,2,0.036,0.0216
"2019-04-26,03:17:00",4,5,0,0,2,2,0.07813333333333333,0.0768
"2019-04-26,03:18:00",4,5,0,0,2,2,0.042133333333333335,0.0216
"2019-04-26,03:19:00",4,5,0,0,2,2,0.042133333333333335,0.05906666666666667
"2019-04-26,03:20:00",5,7,0,0,5,5,0.26426666666666665,0.0656
"2019-04-26,03:21:00",4,5,0,0,2,2,0.1448,0.112
"2019-04-26,03:22:00",4,5,0,0,2,2,0.042133333333333335,0.0216
"2019-04-26,03:23:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,03:24:00",4,5,0,0,2,2,0.07813333333333333,0.088
"2019-04-26,03:25:00",5,7,0,0,5,5,0.22826666666666667,0.0328
"2019-04-26,03:26:00",4,5,0,0,3,3,0.1448,0.112
"2019-04-26,03:27:00",4,5,0,0,2,2,0.042133333333333335,0.0328
"2019-04-26,03:28:00",5,6,0,0,6,6,0.1172,0.11533333333333333
"2019-04-26,03:29:00",4,5,0,0,2,2,0.042133333333333335,0.04786666666666667
"2019-04-26,03:30:00",5,7,0,0,5,5,0.22213333333333332,0.0328
"2019-04-26,03:31:00",4,5,0,0,2,2,0.09653333333333333,0.0656
"2019-04-26,03:32:00",4,5,0,0,2,2,0.13253333333333334,0.0896
"2019-04-26,03:33:00",4,5,0,0,2,2,0.042133333333333335,0.0328
"2019-04-26,03:34:00",4,5,0,0,2,2,0.042133333333333335,0.0328
"2019-04-26,03:35:00",5,7,0,0,5,5,0.2581333333333333,0.0544
"2019-04-26,03:36:00",1,1,0,0,0,0,0.0184,0.0
"2019-04-26,03:37:00",4,5,0,0,3,3,0.13253333333333334,0.112
"2019-04-26,03:38:00",4,5,0,0,2,2,0.042133333333333335,0.0328
"2019-04-26,03:39:00",4,5,0,0,2,2,0.042133333333333335,0.04786666666666667
"2019-04-26,03:40:00",5,7,0,0,5,5,0.2581333333333333,0.0656
"2019-04-26,03:41:00",4,5,0,0,2,2,0.0544,0.0328
"2019-04-26,03:42:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,03:43:00",4,5,0,0,3,3,0.13253333333333334,0.112
"2019-04-26,03:44:00",4,5,0,0,2,2,0.07813333333333333,0.0656
"2019-04-26,03:45:00",6,7,0,0,8,8,0.17026666666666668,0.11613333333333334
"2019-04-26,03:46:00",4,6,0,0,3,3,0.15146666666666667,0.044
"2019-04-26,03:47:00",4,5,0,0,2,2,0.07813333333333333,0.0768
"2019-04-26,03:48:00",4,5,0,0,2,2,0.042133333333333335,0.0328
"2019-04-26,03:49:00",4,5,0,0,2,2,0.13253333333333334,0.13826666666666668
"2019-04-26,03:50:00",5,6,0,0,4,4,0.1312,0.044
"2019-04-26,03:51:00",4,6,0,0,3,3,0.14533333333333334,0.044
"2019-04-26,03:52:00",4,5,0,0,2,2,0.07813333333333333,0.088
"2019-04-26,03:53:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,03:54:00",4,5,0,0,3,3,0.13253333333333334,0.1232
"2019-04-26,03:55:00",5,6,0,0,4,4,0.1312,0.0552
"2019-04-26,03:56:00",4,6,0,0,3,3,0.15146666666666667,0.044
"2019-04-26,03:57:00",4,5,0,0,2,2,0.05413333333333333,0.0736
"2019-04-26,03:58:00",4,4,0,0,2,2,0.036,0.044
"2019-04-26,03:59:00",4,5,0,0,2,2,0.042133333333333335,0.05906666666666667
"2019-04-26,04:00:00",5,6,0,0,5,5,0.2216,0.1232
"2019-04-26,04:01:00",4,5,0,0,2,2,0.060533333333333335,0.044
"2019-04-26,04:02:00",6,6,0,0,5,5,0.039066666666666666,0.07213333333333333
"2019-04-26,04:03:00",4,5,0,0,2,2,0.07813333333333333,0.088
"2019-04-26,04:04:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:05:00",5,6,0,0,4,4,0.1312,0.044
"2019-04-26,04:06:00",4,6,0,0,4,4,0.2296,0.1232
"2019-04-26,04:07:00",4,5,0,0,2,2,0.07813333333333333,0.088
"2019-04-26,04:08:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:09:00",4,5,0,0,2,2,0.042133333333333335,0.03666666666666667
"2019-04-26,04:10:00",5,6,0,0,4,4,0.1672,0.0656
"2019-04-26,04:11:00",4,6,0,0,4,4,0.2296,0.112
"2019-04-26,04:12:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:13:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:14:00",4,5,0,0,2,2,0.07813333333333333,0.0656
"2019-04-26,04:15:00",5,6,0,0,4,4,0.1312,0.044
"2019-04-26,04:16:00",4,6,0,0,3,3,0.1392,0.044
"2019-04-26,04:17:00",4,5,0,0,3,3,0.13253333333333334,0.112
"2019-04-26,04:18:00",4,4,0,0,2,2,0.072,0.0656
"2019-04-26,04:19:00",5,6,0,0,6,6,0.0812,0.12
"2019-04-26,04:20:00",5,6,0,0,4,4,0.1312,0.044
"2019-04-26,04:21:00",4,6,0,0,3,3,0.18133333333333335,0.0768
"2019-04-26,04:22:00",4,5,0,0,3,3,0.09653333333333333,0.072
"2019-04-26,04:23:00",4,5,0,0,2,2,0.07813333333333333,0.0656
"2019-04-26,04:24:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:25:00",5,6,0,0,4,4,0.1672,0.0656
"2019-04-26,04:26:00",4,6,0,0,3,3,0.1392,0.0664
"2019-04-26,04:27:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:28:00",4,5,0,0,3,3,0.08426666666666667,0.07386666666666666
"2019-04-26,04:29:00",4,5,0,0,2,2,0.07813333333333333,0.08066666666666666
"2019-04-26,04:30:00",5,6,0,0,4,4,0.1312,0.0664
"2019-04-26,04:31:00",4,6,0,0,3,3,0.1392,0.044
"2019-04-26,04:32:00",4,5,0,0,2,2,0.07813333333333333,0.0808
"2019-04-26,04:33:00",4,5,0,0,2,2,0.042133333333333335,0.044
"2019-04-26,04:34:00",4,5,0,0,2,2,0.13253333333333334,0.1048
"2019-04-26,04:35:00",2,3,0,0,2,2,0.018133333333333335,0.0296
"2019-04-26,04:36:00",6,8,0,0,9,9,0.30946666666666667,0.11533333333333333
"2019-04-26,04:37:00",4,5,0,0,2,2,0.042133333333333335,0.0664
"2019-04-26,04:38:00",4,4,0,0,2,2,0.036,0.044
"2019-04-26,04:39:00",4,5,0,0,3,3,0.13253333333333334,0.12706666666666666
"2019-04-26,04:40:00",4,4,0,0,2,2,0.036,0.0328
"2019-04-26,04:41:00",5,7,0,0,5,5,0.26426666666666665,0.0656
"2019-04-26,04:42:00",2,3,0,0,2,2,0.018133333333333335,0.07333333333333333
"2019-04-26,04:43:00",4,5,0,0,2,2,0.07813333333333333,0.0432
"2019-04-26,04:44:00",4,5,0,0,2,2,0.042133333333333335,0.0664
"2019-04-26,04:45:00",4,5,0,0,2,2,0.13253333333333334,0.112
