time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,07:01:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:02:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:03:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:04:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:05:00",3,3,2,2,2,2,0.19266666666666668,0.11933333333333333
"2019-04-28,07:06:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:07:00",2,2,2,2,0,0,0.09986666666666667,0.15573333333333333
"2019-04-28,07:08:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:09:00",2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
"2019-04-28,07:10:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,07:11:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:12:00",2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
"2019-04-28,07:13:00",2,2,2,2,0,0,0.072,0.09466666666666666
"2019-04-28,07:14:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:15:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,07:16:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:17:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:18:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:19:00",2,2,2,2,0,0,0.09986666666666667,0.14586666666666667
"2019-04-28,07:20:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:21:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,07:22:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:23:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:24:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:25:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:26:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,07:27:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:28:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:29:00",2,2,2,2,0,0,0.09266666666666666,0.13866666666666666
"2019-04-28,07:30:00",2,2,2,2,0,0,0.09986666666666667,0.142
"2019-04-28,07:31:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,07:32:00",2,2,2,2,0,0,0.09986666666666667,0.13053333333333333
"2019-04-28,07:33:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:34:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:35:00",2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
"2019-04-28,07:36:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,07:37:00",2,2,2,2,0,0,0.09986666666666667,0.142
"2019-04-28,07:38:00",2,2,2,2,0,0,0.072,0.09466666666666666
"2019-04-28,07:39:00",2,2,2,2,0,0,0.09986666666666667,0.14586666666666667
"2019-04-28,07:40:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:41:00",3,3,2,2,2,2,0.18546666666666667,0.1124
"2019-04-28,07:42:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:43:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,07:44:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:45:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:46:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,07:47:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,07:48:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:49:00",2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
"2019-04-28,07:50:00",2,2,2,2,0,0,0.09266666666666666,0.10093333333333333
"2019-04-28,07:51:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:52:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,07:53:00",2,2,2,2,0,0,0.09986666666666667,0.10813333333333333
"2019-04-28,07:54:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:55:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,07:56:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:57:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,07:58:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,07:59:00",2,2,2,2,0,0,0.09266666666666666,0.12746666666666667
"2019-04-28,08:00:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:01:00",2,2,2,2,0,0,0.09266666666666666,0.10093333333333333
"2019-04-28,08:02:00",5,5,5,5,4,4,0.5428,0.6768
"2019-04-28,08:03:00",2,2,2,2,0,0,0.09986666666666667,0.10813333333333333
"2019-04-28,08:04:00",2,2,2,2,0,0,0.072,0.0944
"2019-04-28,08:05:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:06:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:07:00",3,3,2,2,2,2,0.19266666666666668,0.1196
"2019-04-28,08:08:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:09:00",2,2,2,2,0,0,0.09266666666666666,0.12746666666666667
"2019-04-28,08:10:00",2,2,2,2,0,0,0.10706666666666667,0.138
"2019-04-28,08:11:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:12:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:13:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,08:14:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:15:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:16:00",2,2,2,2,0,0,0.10706666666666667,0.14453333333333335
"2019-04-28,08:17:00",2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
"2019-04-28,08:18:00",3,3,2,2,2,2,0.18546666666666667,0.10093333333333333
"2019-04-28,08:19:00",2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
"2019-04-28,08:20:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:21:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:22:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:23:00",3,3,2,2,2,2,0.18546666666666667,0.1124
"2019-04-28,08:24:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:25:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:26:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:27:00",2,2,2,2,0,0,0.09266666666666666,0.1348
"2019-04-28,08:28:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,08:29:00",2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
"2019-04-28,08:30:00",2,2,2,2,0,0,0.072,0.09466666666666666
"2019-04-28,08:31:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:32:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:33:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,08:34:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:35:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:36:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:37:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:38:00",2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
"2019-04-28,08:39:00",3,3,2,2,2,2,0.18546666666666667,0.12746666666666667
"2019-04-28,08:40:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:41:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:42:00",2,2,2,2,0,0,0.10706666666666667,0.1268
"2019-04-28,08:43:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:44:00",3,3,2,2,2,2,0.18546666666666667,0.11213333333333333
"2019-04-28,08:45:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:46:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,08:47:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:48:00",2,2,2,2,0,0,0.09266666666666666,0.12333333333333334
"2019-04-28,08:49:00",3,3,2,2,2,2,0.19266666666666668,0.13466666666666666
"2019-04-28,08:50:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:51:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:52:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,08:53:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:54:00",3,3,2,2,2,2,0.19266666666666668,0.1196
"2019-04-28,08:55:00",2,2,2,2,0,0,0.072,0.0944
"2019-04-28,08:56:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,08:57:00",2,2,2,2,0,0,0.09986666666666667,0.10813333333333333
"2019-04-28,08:58:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,08:59:00",3,3,2,2,2,2,0.19266666666666668,0.13466666666666666
"2019-04-28,09:00:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:01:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:02:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:03:00",2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
"2019-04-28,09:04:00",4,4,5,5,2,2,0.44493333333333335,0.6736
"2019-04-28,09:05:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,09:06:00",2,2,2,2,0,0,0.09986666666666667,0.142
"2019-04-28,09:07:00",2,2,2,2,0,0,0.09266666666666666,0.11213333333333333
"2019-04-28,09:08:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:09:00",2,2,2,2,0,0,0.09266666666666666,0.14986666666666668
"2019-04-28,09:10:00",3,3,2,2,2,2,0.19266666666666668,0.142
"2019-04-28,09:11:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:12:00",2,2,2,2,0,0,0.09986666666666667,0.142
"2019-04-28,09:13:00",2,2,2,2,0,0,0.09986666666666667,0.142
"2019-04-28,09:14:00",2,2,2,2,0,0,0.09266666666666666,0.10093333333333333
"2019-04-28,09:15:00",3,3,2,2,2,2,0.19266666666666668,0.1196
"2019-04-28,09:16:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:17:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:18:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:19:00",2,2,2,2,0,0,0.09266666666666666,0.12746666666666667
"2019-04-28,09:20:00",3,3,2,2,2,2,0.19266666666666668,0.1196
"2019-04-28,09:21:00",2,2,2,2,0,0,0.072,0.10586666666666666
"2019-04-28,09:22:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:23:00",2,2,2,2,0,0,0.09266666666666666,0.10093333333333333
"2019-04-28,09:24:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:25:00",3,3,2,2,2,2,0.19266666666666668,0.1196
"2019-04-28,09:26:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:27:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:28:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:29:00",2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
"2019-04-28,09:30:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:31:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,09:32:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:33:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:34:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:35:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:36:00",3,3,2,2,2,2,0.19266666666666668,0.11933333333333333
"2019-04-28,09:37:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:38:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:39:00",2,2,2,2,0,0,0.09986666666666667,0.14586666666666667
"2019-04-28,09:40:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:41:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,09:42:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:43:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:44:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:45:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:46:00",3,3,2,2,2,2,0.19266666666666668,0.11933333333333333
"2019-04-28,09:47:00",2,2,2,2,0,0,0.072,0.11706666666666667
"2019-04-28,09:48:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,09:49:00",2,2,2,2,0,0,0.09266666666666666,0.1272
"2019-04-28,09:50:00",2,2,2,2,0,0,0.09986666666666667,0.10813333333333333
"2019-04-28,09:51:00",3,3,2,2,2,2,0.18546666666666667,0.1236
"2019-04-28,09:52:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:53:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:54:00",2,2,2,2,0,0,0.09266666666666666,0.1236
"2019-04-28,09:55:00",2,2,2,2,0,0,0.09266666666666666,0.1124
"2019-04-28,09:56:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:57:00",3,3,2,2,2,2,0.19266666666666668,0.1308
"2019-04-28,09:58:00",2,2,2,2,0,0,0.09986666666666667,0.1196
"2019-04-28,09:59:00",2,2,2,2,0,0,0.09266666666666666,0.12746666666666667
"2019-04-28,10:00:00",2,2,2,2,0,0,0.09986666666666667,0.1308
"2019-04-28,10:01:00",2,2,2,2,0,0,0.09266666666666666,0.11213333333333333
