time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",2,2,0,0,2,2,0.12426666666666666,0.0112
"2019-04-28,07:01:00",1,1,1,1,0,0,0.0,0.02
"2019-04-28,07:02:00",2,2,2,2,0,0,0.0072,0.02
"2019-04-28,07:03:00",1,1,1,1,0,0,0.0,0.02
"2019-04-28,07:04:00",2,2,2,2,0,0,0.0072,0.02
"2019-04-28,07:05:00",1,1,1,1,0,0,0.0,0.02
"2019-04-28,07:06:00",2,2,2,2,0,0,0.0072,0.02
"2019-04-28,07:07:00",1,1,1,1,0,0,0.0,0.02
"2019-04-28,07:08:00",2,2,2,2,0,0,0.0072,0.02
"2019-04-28,07:09:00",5,4,3,3,3,3,1.1066666666666667,0.8596
"2019-04-28,07:10:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:11:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:12:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:13:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:14:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:15:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:16:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:17:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:18:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:19:00",5,5,5,6,3,3,1.8248,1.9634666666666667
"2019-04-28,07:20:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:21:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:22:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:23:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:24:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:25:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:26:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:27:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:28:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:29:00",6,5,3,3,5,5,0.2617333333333333,1.3218666666666667
"2019-04-28,07:30:00",3,3,2,2,2,2,0.4342666666666667,0.8496
"2019-04-28,07:31:00",1,1,1,1,0,0,0.0,0.02
"2019-04-28,07:32:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:33:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:34:00",0,0,0,0,0,0,0.0,0.0
"2019-04-28,07:35:00",2,2,2,2,0,0,0.0072,0.0288
"2019-04-28,07:36:00",0,0,0,0,0,0,0.0,0.0
