time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-27,03:00:00",1,1,0,0,1,1,0.0544,0.076
"2019-04-27,03:01:00",3,4,0,0,5,5,0.15946666666666667,0.07146666666666666
"2019-04-27,03:02:00",2,3,0,0,3,3,0.06586666666666667,0.1028
"2019-04-27,03:03:00",4,5,4,4,3,3,0.12866666666666668,0.042
"2019-04-27,03:04:00",2,3,2,2,1,1,0.07666666666666666,0.02
"2019-04-27,03:05:00",1,1,0,0,1,1,0.0544,0.06266666666666666
"2019-04-27,03:06:00",3,4,0,0,5,5,0.15946666666666667,0.08213333333333334
"2019-04-27,03:07:00",3,4,2,2,3,3,0.08506666666666667,0.0596
"2019-04-27,03:08:00",3,4,2,2,3,3,0.10066666666666667,0.046266666666666664
"2019-04-27,03:09:00",1,1,0,0,1,1,0.0544,0.02
"2019-04-27,03:10:00",1,1,0,0,1,1,0.0544,0.08613333333333334
"2019-04-27,03:11:00",3,4,0,0,5,5,0.15946666666666667,0.0736
"2019-04-27,03:12:00",2,3,0,0,3,3,0.06586666666666667,0.096
"2019-04-27,03:13:00",5,6,6,6,3,3,0.15093333333333334,0.0
"2019-04-27,03:14:00",1,1,0,0,1,1,0.0544,0.0
"2019-04-27,03:15:00",1,1,0,0,1,1,0.0544,0.692
"2019-04-27,03:16:00",4,5,2,2,6,6,1.0065333333333333,0.1016
"2019-04-27,03:17:00",3,4,2,2,3,3,0.08506666666666667,0.0
"2019-04-27,03:18:00",1,1,0,0,1,1,0.0544,4.8712
"2019-04-27,03:19:00",4,5,7,7,5,5,1.9965333333333333,3.4910666666666668
"2019-04-27,03:20:00",6,7,7,7,3,3,1.5957333333333332,0.0784
"2019-04-27,03:21:00",4,5,2,2,5,5,0.19,0.1148
"2019-04-27,03:22:00",3,4,2,2,3,3,0.08813333333333333,0.0408
"2019-04-27,03:23:00",3,4,4,4,1,1,0.0912,0.061733333333333335
"2019-04-27,03:24:00",3,4,3,3,3,3,0.08613333333333334,0.0296
"2019-04-27,03:25:00",2,3,2,2,1,1,0.06733333333333333,0.0648
"2019-04-27,03:26:00",3,4,0,0,5,5,0.15946666666666667,0.09306666666666667
"2019-04-27,03:27:00",3,4,2,2,3,3,0.08506666666666667,0.02
"2019-04-27,03:28:00",1,1,0,0,1,1,0.0544,0.0496
"2019-04-27,03:29:00",2,3,0,0,3,3,0.0644,0.0
"2019-04-27,03:30:00",1,1,0,0,1,1,0.0544,0.06266666666666666
"2019-04-27,03:31:00",3,4,0,0,5,5,0.15946666666666667,1.5101333333333333
"2019-04-27,03:32:00",8,10,13,12,15,9,3.494266666666667,2.5318666666666667
"2019-04-27,03:33:00",7,9,9,9,6,6,13.214666666666666,0.0448
"2019-04-27,03:34:00",2,3,2,2,1,1,0.072,0.02
"2019-04-27,03:35:00",1,1,0,0,1,1,0.0544,0.12986666666666666
"2019-04-27,03:36:00",4,5,2,2,5,5,0.17866666666666667,0.14786666666666667
"2019-04-27,03:37:00",5,6,7,7,4,4,0.14893333333333333,0.0288
"2019-04-27,03:38:00",2,3,3,3,1,1,0.09786666666666667,0.026266666666666667
"2019-04-27,03:39:00",1,1,0,0,1,1,0.0544,0.02
"2019-04-27,03:40:00",1,1,0,0,1,1,0.0544,2.2812
"2019-04-27,03:41:00",6,7,14,14,6,6,6.3464,1.5701333333333334
"2019-04-27,03:42:00",4,5,11,11,4,4,2.6886666666666668,0.052
"2019-04-27,03:43:00",2,3,2,2,1,1,0.0824,0.02
"2019-04-27,03:44:00",1,1,0,0,1,1,0.0544,0.02
"2019-04-27,03:45:00",1,1,0,0,1,1,0.0544,0.15666666666666668
"2019-04-27,03:46:00",5,6,8,8,6,6,0.3001333333333333,0.1968
"2019-04-27,03:47:00",4,5,8,8,3,3,0.20253333333333334,0.0424
"2019-04-27,03:48:00",2,3,2,2,1,1,0.21946666666666667,6.7532
"2019-04-27,03:49:00",4,5,3,3,4,4,2.44,0.022
"2019-04-27,03:50:00",2,3,2,2,1,1,0.07666666666666666,0.48893333333333333
"2019-04-27,03:51:00",4,5,0,0,9,9,0.6245333333333334,0.08186666666666667
"2019-04-27,03:52:00",3,4,0,0,5,5,0.07453333333333333,0.0808
"2019-04-27,03:53:00",4,5,5,5,1,1,0.1,0.0368
"2019-04-27,03:54:00",3,4,3,3,1,1,0.07093333333333333,0.02
"2019-04-27,03:55:00",1,1,0,0,1,1,0.0544,0.11933333333333333
"2019-04-27,03:56:00",3,4,0,0,6,6,0.16946666666666665,0.07093333333333333
"2019-04-27,03:57:00",3,4,2,2,3,3,0.08506666666666667,0.0
"2019-04-27,03:58:00",1,1,0,0,1,1,0.0544,0.026266666666666667
"2019-04-27,03:59:00",1,1,0,0,1,1,0.0544,0.0244
"2019-04-27,04:00:00",2,3,2,2,1,1,0.07666666666666666,0.21106666666666668
"2019-04-27,04:01:00",4,5,2,2,6,6,0.27773333333333333,0.055733333333333336
"2019-04-27,04:02:00",2,3,0,0,3,3,0.06586666666666667,0.9544
"2019-04-27,04:03:00",4,5,4,4,3,3,0.38813333333333333,0.0
"2019-04-27,04:04:00",1,1,0,0,1,1,0.0544,0.0
