time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-27,03:00:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,03:01:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:02:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,03:03:00",2,2,0,0,2,2,0.039466666666666664,0.045066666666666665
"2019-04-27,03:04:00",2,2,0,0,2,2,0.039466666666666664,0.045066666666666665
"2019-04-27,03:05:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,03:06:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:07:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,03:08:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:09:00",3,3,0,0,4,4,0.22106666666666666,0.14013333333333333
"2019-04-27,03:10:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:11:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:12:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:13:00",2,2,0,0,2,2,0.039466666666666664,0.0296
"2019-04-27,03:14:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,03:15:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:16:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,03:17:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:18:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:19:00",3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
"2019-04-27,03:20:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:21:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:22:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:23:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:24:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,03:25:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,03:26:00",2,2,0,0,2,2,0.039466666666666664,0.060533333333333335
"2019-04-27,03:27:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:28:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:29:00",3,3,0,0,4,4,0.13226666666666667,0.06573333333333334
"2019-04-27,03:30:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:31:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:32:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:33:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:34:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,03:35:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,03:36:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:37:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:38:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:39:00",3,3,0,0,4,4,0.2112,0.1212
"2019-04-27,03:40:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:41:00",2,2,0,0,2,2,0.039466666666666664,0.052
"2019-04-27,03:42:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:43:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:44:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,03:45:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:46:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,03:47:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:48:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:49:00",3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
"2019-04-27,03:50:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:51:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:52:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:53:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,03:54:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,03:55:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,03:56:00",2,2,0,0,2,2,0.0296,0.06186666666666667
"2019-04-27,03:57:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:58:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,03:59:00",3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
"2019-04-27,04:00:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,04:01:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:02:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:03:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:04:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,04:05:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:06:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,04:07:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:08:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:09:00",3,3,0,0,4,4,0.2112,0.13026666666666667
"2019-04-27,04:10:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:11:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:12:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:13:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:14:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,04:15:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:16:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:17:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,04:18:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:19:00",3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
"2019-04-27,04:20:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:21:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:22:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:23:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:24:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,04:25:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:26:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:27:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:28:00",2,2,0,0,2,2,0.0296,0.052
"2019-04-27,04:29:00",3,3,0,0,4,4,0.13226666666666667,0.092
"2019-04-27,04:30:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:31:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:32:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:33:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:34:00",3,3,0,0,4,4,0.14213333333333333,0.07173333333333333
"2019-04-27,04:35:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:36:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:37:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:38:00",2,2,0,0,2,2,0.0296,0.042133333333333335
"2019-04-27,04:39:00",3,3,0,0,4,4,0.22106666666666666,0.14013333333333333
"2019-04-27,04:40:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:41:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:42:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:43:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:44:00",3,3,0,0,4,4,0.22506666666666666,0.06186666666666667
"2019-04-27,04:45:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,04:46:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-27,04:47:00",2,2,0,0,2,2,0.039466666666666664,0.0464
"2019-04-27,04:48:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:49:00",3,3,0,0,4,4,0.13226666666666667,0.06573333333333334
"2019-04-27,04:50:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:51:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:52:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:53:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,04:54:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,04:55:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:56:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-27,04:57:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,04:58:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,04:59:00",3,4,0,0,4,4,0.2768,0.17266666666666666
"2019-04-27,05:00:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,05:01:00",2,2,0,0,2,2,0.04933333333333333,0.06186666666666667
"2019-04-27,05:02:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:03:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,05:04:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,05:05:00",2,2,0,0,2,2,0.04933333333333333,0.06186666666666667
"2019-04-27,05:06:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:07:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-27,05:08:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,05:09:00",2,2,0,0,2,2,0.04933333333333333,0.0756
"2019-04-27,05:10:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:11:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:12:00",3,3,0,0,2,2,0.2024,0.14986666666666668
"2019-04-27,05:13:00",3,3,0,0,4,4,0.152,0.0704
"2019-04-27,05:14:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,05:15:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:16:00",2,2,0,0,2,2,0.04933333333333333,0.050666666666666665
"2019-04-27,05:17:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-27,05:18:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,05:19:00",2,2,0,0,2,2,0.039466666666666664,0.06573333333333334
"2019-04-27,05:20:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:21:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,05:22:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:23:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,05:24:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:25:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:26:00",2,2,0,0,2,2,0.039466666666666664,0.030933333333333334
"2019-04-27,05:27:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,05:28:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,05:29:00",2,2,0,0,2,2,0.039466666666666664,0.05586666666666667
"2019-04-27,05:30:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,05:31:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:32:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,05:33:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,05:34:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,05:35:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:36:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:37:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,05:38:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-27,05:39:00",2,2,0,0,2,2,0.039466666666666664,0.046
"2019-04-27,05:40:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-27,05:41:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:42:00",2,2,0,0,2,2,0.12613333333333332,0.11733333333333333
"2019-04-27,05:43:00",3,3,0,0,4,4,0.13226666666666667,0.0296
"2019-04-27,05:44:00",3,3,0,0,2,2,0.24106666666666668,0.1736
"2019-04-27,05:45:00",2,2,0,0,2,2,0.26213333333333333,0.21866666666666668
"2019-04-27,05:46:00",2,2,0,0,2,2,0.04933333333333333,0.030933333333333334
"2019-04-27,05:47:00",2,2,0,0,2,2,0.21226666666666666,0.12026666666666666
"2019-04-27,05:48:00",4,5,0,0,4,4,0.4962666666666667,0.22853333333333334
"2019-04-27,05:49:00",3,3,0,0,2,2,0.20373333333333332,0.16493333333333332
"2019-04-27,05:50:00",2,2,0,0,2,2,0.0592,0.0816
"2019-04-27,05:51:00",2,2,0,0,2,2,0.04933333333333333,0.050666666666666665
"2019-04-27,05:52:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,05:53:00",3,3,0,0,4,4,0.14213333333333333,0.050666666666666665
"2019-04-27,05:54:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,05:55:00",2,2,0,0,2,2,0.039466666666666664,0.0408
"2019-04-27,05:56:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,05:57:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-27,05:58:00",3,3,0,0,4,4,0.14213333333333333,0.0408
"2019-04-27,05:59:00",2,2,0,0,2,2,0.184,0.19373333333333334
"2019-04-27,06:00:00",3,3,0,0,2,2,0.45253333333333334,0.2664
"2019-04-27,06:01:00",2,2,0,0,2,2,0.06906666666666667,0.08026666666666667
"2019-04-27,06:02:00",2,2,0,0,2,2,0.04933333333333333,0.07173333333333333
"2019-04-27,06:03:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-27,06:04:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,06:05:00",2,2,0,0,2,2,0.04933333333333333,0.050666666666666665
"2019-04-27,06:06:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-27,06:07:00",3,3,0,0,2,2,0.25093333333333334,0.13013333333333332
"2019-04-27,06:08:00",3,4,0,0,4,4,0.30506666666666665,0.14
"2019-04-27,06:09:00",2,2,0,0,2,2,0.0592,0.08546666666666666
"2019-04-27,06:10:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,06:11:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-27,06:12:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,06:13:00",4,4,0,0,4,4,0.5368,0.3416
"2019-04-27,06:14:00",2,2,0,0,2,2,0.0592,0.060533333333333335
"2019-04-27,06:15:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-27,06:16:00",2,3,0,0,2,2,0.17413333333333333,0.13786666666666667
"2019-04-27,06:17:00",2,2,0,0,2,2,0.0592,0.060533333333333335
"2019-04-27,06:18:00",3,3,0,0,4,4,0.14213333333333333,0.030933333333333334
"2019-04-27,06:19:00",2,2,0,0,2,2,0.17413333333333333,0.16493333333333332
"2019-04-27,06:20:00",2,3,0,0,2,2,0.19386666666666666,0.14
"2019-04-27,06:21:00",2,2,0,0,2,2,0.0592,0.060533333333333335
"2019-04-27,06:22:00",2,3,0,0,2,2,0.184,0.12026666666666666
"2019-04-27,06:23:00",4,4,0,0,4,4,0.4016,0.24053333333333332
