time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,07:01:00",3,4,4,4,0,0,0.03253333333333333,0.10893333333333333
"2019-04-28,07:02:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:03:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,07:04:00",5,5,4,4,2,2,0.0968,0.18453333333333333
"2019-04-28,07:05:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:06:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,07:07:00",2,3,2,2,0,0,0.014933333333333333,0.0648
"2019-04-28,07:08:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:09:00",5,5,4,4,2,2,0.0968,0.2084
"2019-04-28,07:10:00",2,3,2,2,0,0,0.014933333333333333,0.0648
"2019-04-28,07:11:00",3,4,3,3,1,1,1.1844,0.0784
"2019-04-28,07:12:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,07:13:00",2,3,2,2,0,0,0.014933333333333333,0.0648
"2019-04-28,07:14:00",6,7,5,4,4,4,0.5814666666666667,0.7084
"2019-04-28,07:15:00",3,4,6,6,0,0,0.04133333333333333,0.1024
"2019-04-28,07:16:00",3,4,4,4,0,0,0.03253333333333333,0.10893333333333333
"2019-04-28,07:17:00",1,1,0,0,0,0,0.0061333333333333335,0.056
"2019-04-28,07:18:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,07:19:00",5,5,4,4,2,2,0.0968,0.1996
"2019-04-28,07:20:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:21:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,07:22:00",2,2,2,2,0,0,0.0088,0.0648
"2019-04-28,07:23:00",5,7,10,7,2,2,1.8709333333333333,1.3393333333333333
"2019-04-28,07:24:00",7,7,6,6,4,4,0.11653333333333334,0.24613333333333334
"2019-04-28,07:25:00",4,5,4,4,2,2,0.0456,0.15973333333333334
"2019-04-28,07:26:00",3,4,2,2,2,2,0.05333333333333334,0.13453333333333334
"2019-04-28,07:27:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,07:28:00",2,3,2,2,0,0,0.014933333333333333,0.0648
"2019-04-28,07:29:00",6,7,5,4,4,4,0.5285333333333333,0.7162666666666667
"2019-04-28,07:30:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,07:31:00",5,5,7,6,1,1,0.8861333333333333,0.13373333333333334
"2019-04-28,07:32:00",2,2,1,1,0,0,0.030266666666666667,0.0672
"2019-04-28,07:33:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,07:34:00",5,5,4,4,2,2,0.0968,0.17333333333333334
"2019-04-28,07:35:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:36:00",5,6,7,7,3,3,0.6090666666666666,7.2432
"2019-04-28,07:37:00",3,4,4,4,0,0,0.32426666666666665,0.7876
"2019-04-28,07:38:00",2,3,2,2,0,0,0.1608,0.432
"2019-04-28,07:39:00",5,5,4,4,2,2,0.0968,0.1884
"2019-04-28,07:40:00",3,4,4,4,0,0,0.023733333333333332,0.0848
"2019-04-28,07:41:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:42:00",3,4,4,4,0,0,0.023733333333333332,0.0848
"2019-04-28,07:43:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,07:44:00",6,7,5,4,4,4,0.5813333333333334,0.6972
"2019-04-28,07:45:00",2,2,2,2,0,0,0.0088,0.076
"2019-04-28,07:46:00",3,4,4,4,0,0,0.03253333333333333,0.10893333333333333
"2019-04-28,07:47:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,07:48:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,07:49:00",5,5,4,4,2,2,0.0968,0.1884
"2019-04-28,07:50:00",1,1,0,0,0,0,0.0061333333333333335,0.056
"2019-04-28,07:51:00",4,5,5,5,1,1,1.1932,0.0872
"2019-04-28,07:52:00",2,3,2,2,0,0,0.014933333333333333,0.0648
"2019-04-28,07:53:00",1,1,0,0,0,0,0.0061333333333333335,0.0784
"2019-04-28,07:54:00",5,5,4,4,2,2,0.0968,0.17333333333333334
"2019-04-28,07:55:00",2,3,2,2,0,0,0.014933333333333333,0.0648
"2019-04-28,07:56:00",4,6,4,3,3,3,1.1797333333333333,1.6606666666666667
"2019-04-28,07:57:00",4,5,4,4,2,2,0.04346666666666667,0.14666666666666667
"2019-04-28,07:58:00",3,4,2,2,2,2,0.025866666666666666,0.12466666666666666
"2019-04-28,07:59:00",7,8,8,7,5,5,0.7168,0.7804
"2019-04-28,08:00:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:01:00",2,3,2,2,0,0,0.023733333333333332,0.08893333333333334
"2019-04-28,08:02:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:03:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:04:00",4,4,2,2,2,2,0.088,0.15333333333333332
"2019-04-28,08:05:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:06:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:07:00",1,1,0,0,0,0,0.0061333333333333335,0.056
"2019-04-28,08:08:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:09:00",5,5,4,4,2,2,0.0968,0.1884
"2019-04-28,08:10:00",1,1,0,0,0,0,0.0061333333333333335,0.056
"2019-04-28,08:11:00",4,5,6,5,1,1,1.3950666666666667,0.1008
"2019-04-28,08:12:00",3,3,3,3,0,0,0.039066666666666666,0.076
"2019-04-28,08:13:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,08:14:00",7,8,7,6,4,4,0.5901333333333333,0.706
"2019-04-28,08:15:00",3,4,6,6,0,0,0.04133333333333333,0.1248
"2019-04-28,08:16:00",2,3,2,2,0,0,0.023733333333333332,0.08893333333333334
"2019-04-28,08:17:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:18:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:19:00",4,4,2,2,2,2,0.088,0.1684
"2019-04-28,08:20:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:21:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:22:00",1,1,0,0,0,0,0.0061333333333333335,0.056
"2019-04-28,08:23:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:24:00",5,5,4,4,2,2,0.0968,0.18453333333333333
"2019-04-28,08:25:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,08:26:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:27:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:28:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,08:29:00",9,12,16,11,5,5,2.402,1.9872
"2019-04-28,08:30:00",4,5,4,4,2,2,0.034666666666666665,0.1376
"2019-04-28,08:31:00",6,6,6,5,3,3,0.8802666666666666,0.1352
"2019-04-28,08:32:00",5,5,5,5,2,2,0.08626666666666667,0.13213333333333332
"2019-04-28,08:33:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:34:00",4,4,2,2,2,2,0.088,0.15333333333333332
"2019-04-28,08:35:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:36:00",5,6,7,7,3,3,0.5368,2.356533333333333
"2019-04-28,08:37:00",2,3,2,2,0,0,0.29773333333333335,0.7670666666666667
"2019-04-28,08:38:00",4,5,5,5,0,0,0.2996,6.6470666666666665
"2019-04-28,08:39:00",5,5,4,4,2,2,0.0968,0.1884
"2019-04-28,08:40:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,08:41:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:42:00",4,5,5,5,0,0,0.03253333333333333,0.0936
"2019-04-28,08:43:00",1,1,0,0,0,0,0.0061333333333333335,0.0672
"2019-04-28,08:44:00",7,7,7,6,4,4,0.5901333333333333,0.6972
"2019-04-28,08:45:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:46:00",2,3,2,2,0,0,0.023733333333333332,0.08893333333333334
"2019-04-28,08:47:00",2,3,2,2,0,0,0.014933333333333333,0.076
"2019-04-28,08:48:00",2,2,2,2,0,0,0.0088,0.0872
"2019-04-28,08:49:00",4,4,2,2,2,2,0.088,0.1796
"2019-04-28,08:50:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:51:00",4,5,6,6,1,1,1.7197333333333333,0.076
"2019-04-28,08:52:00",1,1,0,0,0,0,0.0061333333333333335,0.056
"2019-04-28,08:53:00",2,3,2,2,0,0,0.014933333333333333,0.0872
"2019-04-28,08:54:00",5,5,4,4,2,2,0.0968,0.18213333333333334
