time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:01:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:02:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:03:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:04:00",2,4,2,2,1,1,0.1368,0.07893333333333333
"2019-04-28,07:05:00",2,3,2,2,0,0,0.03186666666666667,0.048266666666666666
"2019-04-28,07:06:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:07:00",2,3,2,2,0,0,0.12186666666666666,0.058133333333333335
"2019-04-28,07:08:00",2,3,2,2,0,0,0.058133333333333335,0.058133333333333335
"2019-04-28,07:09:00",2,4,2,2,1,1,0.1368,0.094
"2019-04-28,07:10:00",2,3,2,2,0,0,0.058133333333333335,0.06533333333333333
"2019-04-28,07:11:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:12:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:13:00",2,3,2,2,0,0,0.09826666666666667,0.06533333333333333
"2019-04-28,07:14:00",2,4,2,2,1,1,0.1456,0.0928
"2019-04-28,07:15:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:16:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:17:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:18:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:19:00",2,4,2,2,1,1,0.1368,0.0828
"2019-04-28,07:20:00",2,3,2,2,0,0,0.06693333333333333,0.076
"2019-04-28,07:21:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:22:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:23:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:24:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:25:00",2,4,2,2,1,1,0.1456,0.0928
"2019-04-28,07:26:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:27:00",2,3,2,2,0,0,0.12186666666666666,0.06533333333333333
"2019-04-28,07:28:00",2,3,2,2,0,0,0.09826666666666667,0.06533333333333333
"2019-04-28,07:29:00",2,3,2,2,0,0,0.058133333333333335,0.0772
"2019-04-28,07:30:00",2,4,2,2,1,1,0.1368,0.07893333333333333
"2019-04-28,07:31:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:32:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:33:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:34:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:35:00",2,4,2,2,1,1,0.1368,0.09013333333333333
"2019-04-28,07:36:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:37:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:38:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:39:00",2,3,2,2,0,0,0.058133333333333335,0.066
"2019-04-28,07:40:00",2,4,2,2,1,1,0.1368,0.06773333333333334
"2019-04-28,07:41:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:42:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:43:00",2,3,2,2,0,0,0.09826666666666667,0.06533333333333333
"2019-04-28,07:44:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:45:00",2,4,2,2,1,1,0.1368,0.07893333333333333
"2019-04-28,07:46:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:47:00",2,3,2,2,0,0,0.12186666666666666,0.07653333333333333
"2019-04-28,07:48:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,07:49:00",2,3,2,2,0,0,0.058133333333333335,0.066
"2019-04-28,07:50:00",2,4,2,2,1,1,0.1368,0.06773333333333334
"2019-04-28,07:51:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:52:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:53:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:54:00",2,3,2,2,0,0,0.0772,0.05973333333333333
"2019-04-28,07:55:00",2,4,2,2,1,1,0.1368,0.07493333333333334
"2019-04-28,07:56:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:57:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,07:58:00",2,3,2,2,0,0,0.09826666666666667,0.06533333333333333
"2019-04-28,07:59:00",2,3,2,2,0,0,0.058133333333333335,0.066
"2019-04-28,08:00:00",2,4,2,2,1,1,0.1456,0.0816
"2019-04-28,08:01:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:02:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:03:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:04:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:05:00",2,4,2,2,1,1,0.1368,0.05093333333333333
"2019-04-28,08:06:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:07:00",2,4,2,2,1,1,0.20053333333333334,0.07493333333333334
"2019-04-28,08:08:00",2,3,2,2,0,0,0.058133333333333335,0.058133333333333335
"2019-04-28,08:09:00",2,3,2,2,0,0,0.0772,0.0748
"2019-04-28,08:10:00",2,3,2,2,0,0,0.058133333333333335,0.058133333333333335
"2019-04-28,08:11:00",2,4,2,2,1,1,0.1368,0.05093333333333333
"2019-04-28,08:12:00",2,4,2,2,1,1,0.1368,0.06773333333333334
"2019-04-28,08:13:00",2,3,2,2,0,0,0.09826666666666667,0.06533333333333333
"2019-04-28,08:14:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:15:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:16:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:17:00",2,4,2,2,1,1,0.1368,0.06773333333333334
"2019-04-28,08:18:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:19:00",2,3,2,2,0,0,0.058133333333333335,0.066
"2019-04-28,08:20:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:21:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:22:00",2,4,2,2,1,1,0.1456,0.0816
"2019-04-28,08:23:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:24:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,08:25:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
"2019-04-28,08:26:00",2,3,2,2,0,0,0.058133333333333335,0.06933333333333333
"2019-04-28,08:27:00",2,4,2,2,1,1,0.20053333333333334,0.09333333333333334
"2019-04-28,08:28:00",2,3,2,2,0,0,0.09826666666666667,0.08373333333333334
"2019-04-28,08:29:00",2,3,2,2,0,0,0.058133333333333335,0.066
"2019-04-28,08:30:00",2,3,2,2,0,0,0.06693333333333333,0.0648
"2019-04-28,08:31:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:32:00",2,4,2,2,1,1,0.1368,0.06773333333333334
"2019-04-28,08:33:00",2,3,2,2,0,0,0.058133333333333335,0.05093333333333333
"2019-04-28,08:34:00",2,3,2,2,0,0,0.07573333333333333,0.07866666666666666
"2019-04-28,08:35:00",2,3,2,2,0,0,0.058133333333333335,0.06213333333333333
