time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",5,6,4,4,11,4,0.6689333333333334,0.19853333333333334
"2019-04-26,03:01:00",5,5,4,4,10,4,0.854,0.23453333333333334
"2019-04-26,03:02:00",4,5,4,4,3,3,0.33026666666666665,0.16466666666666666
"2019-04-26,03:03:00",5,5,4,4,11,4,0.5710666666666666,0.23666666666666666
"2019-04-26,03:04:00",6,7,5,5,13,6,1.142,0.5521333333333334
"2019-04-26,03:05:00",5,5,4,4,11,4,0.6932,0.2136
"2019-04-26,03:06:00",5,6,4,4,11,4,0.954,0.25053333333333333
"2019-04-26,03:07:00",5,5,4,4,5,4,0.44253333333333333,0.17093333333333333
"2019-04-26,03:08:00",4,5,4,4,8,3,0.2985333333333333,0.13426666666666667
"2019-04-26,03:09:00",6,6,4,4,13,6,0.8232,0.22853333333333334
"2019-04-26,03:10:00",5,6,9,9,10,3,1.2677333333333334,0.34186666666666665
"2019-04-26,03:11:00",5,7,5,5,11,4,1.0278666666666667,0.6106666666666667
"2019-04-26,03:12:00",5,5,4,4,7,4,0.38986666666666664,0.16066666666666668
"2019-04-26,03:13:00",4,5,4,4,6,3,0.3413333333333333,0.15186666666666668
"2019-04-26,03:14:00",6,7,4,4,13,6,0.4912,0.13533333333333333
"2019-04-26,03:15:00",5,5,4,4,11,4,0.6512,0.20106666666666667
"2019-04-26,03:16:00",6,6,5,5,12,5,1.5856,0.6593333333333333
"2019-04-26,03:17:00",5,5,4,4,9,4,0.6050666666666666,0.18973333333333334
"2019-04-26,03:18:00",4,5,4,4,4,3,0.2736,0.13573333333333334
"2019-04-26,03:19:00",6,6,4,4,13,6,0.5884,0.14933333333333335
"2019-04-26,03:20:00",5,5,4,4,11,4,0.6106666666666667,0.19226666666666667
"2019-04-26,03:21:00",6,6,5,5,12,5,1.3830666666666667,0.6862666666666667
"2019-04-26,03:22:00",5,5,4,4,11,4,0.6476,0.21093333333333333
"2019-04-26,03:23:00",4,6,4,4,3,3,0.19693333333333332,0.12066666666666667
"2019-04-26,03:24:00",6,7,4,4,12,6,0.6176,0.208
"2019-04-26,03:25:00",4,5,4,4,10,3,0.4964,0.16693333333333332
"2019-04-26,03:26:00",5,6,4,4,11,4,0.9485333333333333,0.26786666666666664
"2019-04-26,03:27:00",6,7,5,5,12,5,0.8885333333333333,0.6018666666666667
"2019-04-26,03:28:00",5,5,4,4,6,4,0.7190666666666666,0.1856
"2019-04-26,03:29:00",5,7,4,4,9,5,0.47173333333333334,0.15813333333333332
"2019-04-26,03:30:00",5,5,4,4,11,4,0.532,0.1644
"2019-04-26,03:31:00",5,5,4,4,11,4,0.9537333333333333,0.25466666666666665
"2019-04-26,03:32:00",5,5,4,4,11,4,0.6042666666666666,0.1908
"2019-04-26,03:33:00",6,7,5,5,9,5,0.7689333333333334,0.6142666666666666
"2019-04-26,03:34:00",5,6,4,4,7,5,0.41786666666666666,0.13573333333333334
"2019-04-26,03:35:00",5,5,4,4,11,4,0.6849333333333333,0.196
"2019-04-26,03:36:00",5,6,4,4,11,4,0.954,0.25053333333333333
"2019-04-26,03:37:00",5,6,4,4,11,4,0.6361333333333333,0.20213333333333333
"2019-04-26,03:38:00",6,6,5,5,11,5,0.6868,0.5342666666666667
"2019-04-26,03:39:00",5,7,4,4,5,5,0.4276,0.1672
"2019-04-26,03:40:00",5,5,4,4,11,4,1.0801333333333334,0.24586666666666668
