time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-27,03:00:00",5,5,4,4,4,4,0.3798666666666667,0.1856
"2019-04-27,03:01:00",5,5,5,5,3,3,0.42506666666666665,0.5305333333333333
"2019-04-27,03:02:00",4,4,4,4,2,2,0.28746666666666665,0.1496
"2019-04-27,03:03:00",4,4,4,4,2,2,0.21146666666666666,0.16573333333333334
"2019-04-27,03:04:00",4,4,4,4,2,2,0.18373333333333333,0.132
"2019-04-27,03:05:00",5,6,4,4,4,4,0.826,0.20973333333333333
"2019-04-27,03:06:00",5,5,5,5,3,3,0.5993333333333334,0.576
"2019-04-27,03:07:00",4,4,4,4,2,2,0.23706666666666668,0.18413333333333334
"2019-04-27,03:08:00",4,4,4,4,2,2,0.1328,0.1368
"2019-04-27,03:09:00",4,4,4,4,2,2,0.3529333333333333,0.22333333333333333
"2019-04-27,03:10:00",5,5,4,4,4,4,0.2876,0.15773333333333334
"2019-04-27,03:11:00",5,5,5,5,3,3,0.4766666666666667,0.5456
"2019-04-27,03:12:00",4,4,4,4,2,2,0.21293333333333334,0.1408
"2019-04-27,03:13:00",4,4,4,4,2,2,0.15693333333333334,0.16173333333333334
"2019-04-27,03:14:00",4,4,4,4,2,2,0.10213333333333334,0.1056
"2019-04-27,03:15:00",5,5,4,4,4,4,0.34213333333333334,0.14333333333333334
"2019-04-27,03:16:00",4,4,4,4,2,2,0.12626666666666667,0.14413333333333334
"2019-04-27,03:17:00",4,4,4,4,2,2,0.6246666666666667,0.1936
"2019-04-27,03:18:00",5,5,5,5,3,3,0.4404,0.5232
"2019-04-27,03:19:00",4,5,4,4,2,2,0.13426666666666667,0.13053333333333333
"2019-04-27,03:20:00",5,5,4,4,4,4,0.4608,0.17453333333333335
"2019-04-27,03:21:00",4,4,4,4,2,2,0.29173333333333334,0.176
"2019-04-27,03:22:00",4,5,4,4,2,2,0.17173333333333332,0.13933333333333334
"2019-04-27,03:23:00",5,5,5,5,3,3,0.5049333333333333,0.5408
"2019-04-27,03:24:00",4,4,4,4,2,2,0.2984,0.19693333333333332
"2019-04-27,03:25:00",5,6,4,4,4,4,0.2956,0.14413333333333334
"2019-04-27,03:26:00",4,4,4,4,2,2,0.15666666666666668,0.132
"2019-04-27,03:27:00",4,4,4,4,2,2,0.16373333333333334,0.15293333333333334
"2019-04-27,03:28:00",5,5,5,5,3,3,0.5137333333333334,0.5272
"2019-04-27,03:29:00",4,4,4,4,2,2,0.5138666666666667,0.1536
"2019-04-27,03:30:00",5,6,4,4,4,4,0.412,0.18813333333333335
"2019-04-27,03:31:00",4,4,4,4,2,2,0.24773333333333333,0.17453333333333335
"2019-04-27,03:32:00",4,4,4,4,2,2,0.21413333333333334,0.132
"2019-04-27,03:33:00",4,5,4,4,2,2,0.218,0.1544
"2019-04-27,03:34:00",5,6,5,5,3,3,0.5234666666666666,0.5569333333333333
"2019-04-27,03:35:00",5,5,4,4,4,4,0.4024,0.15693333333333334
"2019-04-27,03:36:00",4,5,4,4,2,2,0.29973333333333335,0.1624
"2019-04-27,03:37:00",4,4,4,4,2,2,0.21826666666666666,0.15693333333333334
"2019-04-27,03:38:00",4,5,4,4,2,2,0.21413333333333334,0.1408
"2019-04-27,03:39:00",4,5,4,4,2,2,0.3064,0.19213333333333332
"2019-04-27,03:40:00",6,6,5,5,5,5,0.5864,0.5305333333333333
"2019-04-27,03:41:00",4,4,4,4,2,2,0.5061333333333333,0.1672
"2019-04-27,03:42:00",4,4,4,4,2,2,0.16373333333333334,0.15293333333333334
"2019-04-27,03:43:00",4,5,4,4,2,2,0.2928,0.17453333333333335
"2019-04-27,03:44:00",4,5,4,4,2,2,0.13426666666666667,0.12173333333333333
"2019-04-27,03:45:00",5,5,4,4,4,4,0.2634666666666667,0.1416
"2019-04-27,03:46:00",5,5,5,5,3,3,0.42506666666666665,0.5577333333333333
"2019-04-27,03:47:00",4,4,4,4,2,2,0.1396,0.1368
"2019-04-27,03:48:00",4,5,4,4,2,2,0.23826666666666665,0.18413333333333334
"2019-04-27,03:49:00",4,4,4,4,2,2,0.15666666666666668,0.132
"2019-04-27,03:50:00",5,5,4,4,4,4,0.5958666666666667,0.24093333333333333
"2019-04-27,03:51:00",4,5,4,4,2,2,0.17706666666666668,0.132
"2019-04-27,03:52:00",5,5,5,5,3,3,0.46253333333333335,0.5257333333333334
"2019-04-27,03:53:00",4,4,4,4,2,2,0.642,0.20973333333333333
"2019-04-27,03:54:00",4,5,4,4,2,2,0.3368,0.1848
"2019-04-27,03:55:00",5,5,4,4,4,4,0.2876,0.13933333333333334
"2019-04-27,03:56:00",4,5,4,4,2,2,0.12546666666666667,0.1144
"2019-04-27,03:57:00",5,5,5,5,3,3,0.4472,0.5529333333333334
"2019-04-27,03:58:00",4,4,4,4,2,2,0.23026666666666668,0.15693333333333334
"2019-04-27,03:59:00",4,4,4,4,2,2,0.12626666666666667,0.13533333333333333
"2019-04-27,04:00:00",5,5,4,4,4,4,0.4344,0.2304
"2019-04-27,04:01:00",4,4,4,4,2,2,0.12626666666666667,0.13053333333333333
"2019-04-27,04:02:00",4,5,4,4,2,2,0.1476,0.1232
"2019-04-27,04:03:00",5,6,5,5,3,3,0.5962666666666666,0.5632
"2019-04-27,04:04:00",4,4,4,4,2,2,0.20786666666666667,0.15693333333333334
"2019-04-27,04:05:00",5,5,4,4,4,4,1.0037333333333334,0.2713333333333333
"2019-04-27,04:06:00",4,4,4,4,2,2,0.15666666666666668,0.1456
"2019-04-27,04:07:00",4,4,4,4,2,2,0.16373333333333334,0.16653333333333334
"2019-04-27,04:08:00",5,5,5,5,3,3,0.6770666666666667,0.5848
"2019-04-27,04:09:00",4,4,4,4,2,2,0.12626666666666667,0.14413333333333334
"2019-04-27,04:10:00",5,5,4,4,4,4,0.2876,0.13053333333333333
"2019-04-27,04:11:00",4,4,4,4,2,2,0.16906666666666667,0.132
"2019-04-27,04:12:00",4,4,4,4,2,2,0.21826666666666666,0.15693333333333334
"2019-04-27,04:13:00",5,6,5,5,3,3,0.5129333333333334,0.532
"2019-04-27,04:14:00",4,4,4,4,2,2,0.12626666666666667,0.13053333333333333
"2019-04-27,04:15:00",5,5,4,4,4,4,0.2876,0.13053333333333333
"2019-04-27,04:16:00",4,4,4,4,2,2,0.12626666666666667,0.15773333333333334
"2019-04-27,04:17:00",4,4,4,4,2,2,0.5932,0.1984
"2019-04-27,04:18:00",4,4,4,4,2,2,0.20613333333333334,0.132
"2019-04-27,04:19:00",5,5,5,5,3,3,0.4338666666666667,0.5305333333333333
"2019-04-27,04:20:00",5,5,4,4,4,4,0.5958666666666667,0.21853333333333333
"2019-04-27,04:21:00",4,5,4,4,2,2,0.11013333333333333,0.128
"2019-04-27,04:22:00",4,5,4,4,2,2,0.22626666666666667,0.15693333333333334
"2019-04-27,04:23:00",4,4,4,4,2,2,0.37826666666666664,0.18
"2019-04-27,04:24:00",5,5,5,5,3,3,0.4338666666666667,0.5169333333333334
"2019-04-27,04:25:00",5,5,4,4,4,4,0.2876,0.13053333333333333
"2019-04-27,04:26:00",4,5,4,4,2,2,0.13426666666666667,0.14413333333333334
"2019-04-27,04:27:00",4,4,4,4,2,2,0.1396,0.1368
"2019-04-27,04:28:00",4,4,4,4,2,2,0.26066666666666666,0.1584
"2019-04-27,04:29:00",4,4,4,4,2,2,0.5369333333333334,0.19693333333333332
"2019-04-27,04:30:00",6,6,5,5,5,5,0.6874666666666667,0.5856
"2019-04-27,04:31:00",4,4,4,4,2,2,0.1932,0.16173333333333334
"2019-04-27,04:32:00",4,4,4,4,2,2,0.1396,0.1232
"2019-04-27,04:33:00",4,4,4,4,2,2,0.3352,0.1672
"2019-04-27,04:34:00",4,5,4,4,2,2,0.21586666666666668,0.15693333333333334
"2019-04-27,04:35:00",6,6,5,5,5,5,0.8957333333333334,0.6185333333333334
"2019-04-27,04:36:00",4,4,4,4,2,2,0.10213333333333334,0.1192
"2019-04-27,04:37:00",4,4,4,4,2,2,0.16373333333333334,0.15293333333333334
"2019-04-27,04:38:00",4,4,4,4,2,2,0.45693333333333336,0.22733333333333333
"2019-04-27,04:39:00",4,4,4,4,2,2,0.12626666666666667,0.13533333333333333
"2019-04-27,04:40:00",6,6,5,5,5,5,0.5710666666666666,0.528
"2019-04-27,04:41:00",4,4,4,4,2,2,0.5165333333333333,0.17453333333333335
