time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:01:00",2,4,2,2,1,1,0.2096,0.0808
"2019-04-26,03:02:00",5,7,4,4,5,5,12.2536,1.2438666666666667
"2019-04-26,03:03:00",2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
"2019-04-26,03:04:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,03:05:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:06:00",1,2,0,0,1,1,0.0656,0.0272
"2019-04-26,03:07:00",3,5,3,3,3,3,0.3874666666666667,0.0336
"2019-04-26,03:08:00",2,3,2,2,0,0,0.040266666666666666,0.031466666666666664
"2019-04-26,03:09:00",1,1,0,0,1,1,0.05946666666666667,0.028666666666666667
"2019-04-26,03:10:00",3,4,6,6,0,0,0.5453333333333333,0.0448
"2019-04-26,03:11:00",2,2,3,3,0,0,0.24453333333333332,0.0224
"2019-04-26,03:12:00",3,6,2,2,4,4,0.20346666666666666,0.042666666666666665
"2019-04-26,03:13:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,03:14:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:15:00",1,1,0,0,1,1,0.05946666666666667,0.0136
"2019-04-26,03:16:00",1,2,0,0,1,1,0.0656,0.0272
"2019-04-26,03:17:00",4,6,5,5,3,3,0.436,0.06506666666666666
"2019-04-26,03:18:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,03:19:00",1,2,0,0,1,1,0.0656,0.028666666666666667
"2019-04-26,03:20:00",2,4,2,2,1,1,0.1952,0.0696
"2019-04-26,03:21:00",3,5,5,5,1,1,0.32986666666666664,0.05946666666666667
"2019-04-26,03:22:00",2,5,0,0,4,4,0.16933333333333334,0.036
"2019-04-26,03:23:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,03:24:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:25:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,03:26:00",3,5,5,5,1,1,0.32986666666666664,0.07866666666666666
"2019-04-26,03:27:00",2,3,0,0,3,3,0.1512,0.0248
"2019-04-26,03:28:00",1,2,0,0,1,1,0.0656,0.0
"2019-04-26,03:29:00",2,2,2,2,0,0,0.1008,0.05106666666666667
"2019-04-26,03:30:00",3,5,5,5,1,1,0.3586666666666667,0.08746666666666666
"2019-04-26,03:31:00",2,4,2,2,1,1,0.08,0.0248
"2019-04-26,03:32:00",4,7,2,2,5,6,12.1432,1.2606666666666666
"2019-04-26,03:33:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:34:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,03:35:00",2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
"2019-04-26,03:36:00",2,3,2,2,1,1,0.2752,0.0384
"2019-04-26,03:37:00",2,4,0,0,3,3,0.15733333333333333,0.0248
"2019-04-26,03:38:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:39:00",3,4,4,4,0,0,0.16986666666666667,0.08893333333333334
"2019-04-26,03:40:00",2,4,3,3,1,1,0.29573333333333335,0.0248
"2019-04-26,03:41:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:42:00",2,5,0,0,4,4,0.16933333333333334,0.0472
"2019-04-26,03:43:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:44:00",2,4,2,2,1,1,0.09973333333333333,0.029066666666666668
"2019-04-26,03:45:00",2,3,2,2,0,0,0.22186666666666666,0.0248
"2019-04-26,03:46:00",2,4,2,2,1,1,0.08,0.0136
"2019-04-26,03:47:00",2,4,0,0,3,3,0.15733333333333333,0.036
"2019-04-26,03:48:00",2,3,2,2,1,1,0.0936,0.042666666666666665
"2019-04-26,03:49:00",2,3,3,3,0,0,0.35146666666666665,0.07106666666666667
"2019-04-26,03:50:00",2,3,2,2,0,0,0.020533333333333334,0.0136
"2019-04-26,03:51:00",1,1,0,0,1,1,0.05946666666666667,0.0136
"2019-04-26,03:52:00",3,6,0,0,4,4,0.19546666666666668,0.07333333333333333
"2019-04-26,03:53:00",2,3,2,2,0,0,0.040266666666666666,0.017866666666666666
"2019-04-26,03:54:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,03:55:00",2,3,3,3,0,0,0.23626666666666668,0.0112
"2019-04-26,03:56:00",1,2,0,0,1,1,0.0656,0.0272
"2019-04-26,03:57:00",3,5,2,2,3,3,0.19146666666666667,0.042666666666666665
"2019-04-26,03:58:00",2,4,2,2,1,1,0.1808,0.0472
"2019-04-26,03:59:00",2,4,3,3,1,1,0.3101333333333333,0.062266666666666665
"2019-04-26,04:00:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:01:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:02:00",5,8,4,4,5,6,12.174666666666667,1.3337333333333334
"2019-04-26,04:03:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,04:04:00",2,4,2,2,1,1,0.2813333333333333,0.0248
"2019-04-26,04:05:00",2,4,2,2,1,1,0.08,0.0248
"2019-04-26,04:06:00",2,3,2,2,0,0,0.040266666666666666,0.042666666666666665
"2019-04-26,04:07:00",2,4,0,0,3,3,0.15733333333333333,0.036
"2019-04-26,04:08:00",2,4,2,2,1,1,0.1952,0.0696
"2019-04-26,04:09:00",2,4,3,3,1,1,0.29573333333333335,0.03986666666666667
"2019-04-26,04:10:00",3,3,6,6,1,1,0.5130666666666667,0.0224
"2019-04-26,04:11:00",2,2,2,2,0,0,0.034133333333333335,0.029066666666666668
"2019-04-26,04:12:00",2,5,0,0,4,4,0.16933333333333334,0.0248
"2019-04-26,04:13:00",1,2,0,0,1,1,0.0656,0.036
"2019-04-26,04:14:00",2,4,2,2,1,1,0.2813333333333333,0.0136
"2019-04-26,04:15:00",2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
"2019-04-26,04:16:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:17:00",3,4,2,2,3,3,0.2088,0.0384
"2019-04-26,04:18:00",2,3,3,3,1,1,0.3616,0.0808
"2019-04-26,04:19:00",2,4,2,2,1,1,0.08,0.05106666666666667
"2019-04-26,04:20:00",2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
"2019-04-26,04:21:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:22:00",3,4,0,0,3,3,0.10986666666666667,0.0344
"2019-04-26,04:23:00",3,5,2,2,1,1,0.30746666666666667,0.07333333333333333
"2019-04-26,04:24:00",2,3,2,2,1,1,0.0936,0.042666666666666665
"2019-04-26,04:25:00",2,3,2,2,0,0,0.21493333333333334,0.0136
"2019-04-26,04:26:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,04:27:00",3,3,2,2,2,2,0.20693333333333333,0.0584
"2019-04-26,04:28:00",2,4,3,3,1,1,0.3101333333333333,0.0584
"2019-04-26,04:29:00",3,4,4,4,0,0,0.05466666666666667,0.06653333333333333
"2019-04-26,04:30:00",1,1,0,0,1,1,0.05946666666666667,0.0136
"2019-04-26,04:31:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,04:32:00",2,3,0,0,3,3,0.10373333333333333,0.0112
"2019-04-26,04:33:00",3,5,4,4,1,1,0.3154666666666667,0.06506666666666666
"2019-04-26,04:34:00",3,3,2,2,2,2,11.930666666666667,1.4486666666666668
"2019-04-26,04:35:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,04:36:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:37:00",3,4,2,2,2,2,0.22746666666666668,0.056
"2019-04-26,04:38:00",4,6,6,6,1,1,0.34426666666666667,0.08986666666666666
"2019-04-26,04:39:00",0,0,0,0,0,0,0.0,0.026266666666666667
"2019-04-26,04:40:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,04:41:00",1,1,0,0,1,1,0.05946666666666667,0.0136
"2019-04-26,04:42:00",4,6,4,4,4,4,0.4130666666666667,0.040266666666666666
"2019-04-26,04:43:00",1,1,0,0,0,0,0.0061333333333333335,0.0136
"2019-04-26,04:44:00",1,2,0,0,1,1,0.0656,0.0136
"2019-04-26,04:45:00",0,0,0,0,0,0,0.0,0.0
"2019-04-26,04:46:00",2,3,2,2,1,1,0.16026666666666667,0.0496
"2019-04-26,04:47:00",4,5,5,5,2,2,0.39093333333333335,0.07386666666666666
"2019-04-26,04:48:00",2,2,2,2,0,0,0.0144,0.0336
"2019-04-26,04:49:00",1,2,0,0,1,1,0.0656,0.028666666666666667
"2019-04-26,04:50:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:51:00",2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
"2019-04-26,04:52:00",3,6,2,2,4,4,0.38506666666666667,0.0136
"2019-04-26,04:53:00",2,2,0,0,0,0,0.026133333333333335,0.05973333333333333
"2019-04-26,04:54:00",1,1,0,0,1,1,0.05946666666666667,0.0136
"2019-04-26,04:55:00",1,1,0,0,0,0,0.0061333333333333335,0.0
"2019-04-26,04:56:00",3,3,4,4,0,0,0.16373333333333334,0.07386666666666666
"2019-04-26,04:57:00",2,4,3,3,1,1,0.28186666666666665,0.0224
"2019-04-26,04:58:00",3,3,2,2,1,1,0.06666666666666667,0.0448
"2019-04-26,04:59:00",0,0,0,0,0,0,0.0,0.015066666666666667
