time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-28,07:00:00",4,6,0,0,75,64,2.2936,0.8368
"2019-04-28,07:01:00",4,6,0,0,74,63,2.291733333333333,0.852
"2019-04-28,07:02:00",4,6,0,0,75,64,2.2936,0.8368
"2019-04-28,07:03:00",5,7,0,0,76,66,2.3913333333333333,0.8584
"2019-04-28,07:04:00",4,6,0,0,74,63,2.291733333333333,0.8384
"2019-04-28,07:05:00",4,6,0,0,75,64,2.2656,0.8424
"2019-04-28,07:06:00",4,6,0,0,75,64,2.283733333333333,0.8248
"2019-04-28,07:07:00",4,6,0,0,76,65,2.2936,0.864
"2019-04-28,07:08:00",6,8,0,0,78,67,2.406,0.8716
"2019-04-28,07:09:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:10:00",4,6,0,0,76,65,2.2936,0.864
"2019-04-28,07:11:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:12:00",4,6,0,0,76,65,2.2936,0.864
"2019-04-28,07:13:00",5,7,0,0,78,67,2.3833333333333333,0.8448
"2019-04-28,07:14:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:15:00",4,6,0,0,76,65,2.3016,0.8504
"2019-04-28,07:16:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:17:00",4,6,0,0,75,64,2.2936,0.864
"2019-04-28,07:18:00",5,8,0,0,76,65,2.3961333333333332,0.836
"2019-04-28,07:19:00",4,6,0,0,76,65,2.2936,0.8504
"2019-04-28,07:20:00",4,6,0,0,75,64,2.291733333333333,0.8656
"2019-04-28,07:21:00",4,6,0,0,76,65,2.3016,0.8368
"2019-04-28,07:22:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:23:00",5,7,0,0,78,67,2.3913333333333333,0.8584
"2019-04-28,07:24:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:25:00",4,6,0,0,75,64,2.2936,0.864
"2019-04-28,07:26:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:27:00",4,6,0,0,76,65,2.3016,0.8504
"2019-04-28,07:28:00",7,10,5,5,73,62,2.5458666666666665,1.1125333333333334
"2019-04-28,07:29:00",5,7,0,0,77,66,2.373466666666667,0.8736
"2019-04-28,07:30:00",4,6,0,0,76,65,2.2936,0.8776
"2019-04-28,07:31:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:32:00",4,6,0,0,76,65,2.2936,0.864
"2019-04-28,07:33:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:34:00",5,7,0,0,78,67,2.3833333333333333,0.8584
"2019-04-28,07:35:00",4,6,0,0,76,65,2.3016,0.8776
"2019-04-28,07:36:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:37:00",4,6,0,0,76,65,2.3016,0.864
"2019-04-28,07:38:00",4,7,0,0,74,63,2.3064,0.8008
"2019-04-28,07:39:00",5,7,0,0,78,67,2.3833333333333333,0.872
"2019-04-28,07:40:00",4,6,0,0,75,64,2.283733333333333,0.8248
"2019-04-28,07:41:00",4,6,0,0,76,65,2.3016,0.8368
"2019-04-28,07:42:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:43:00",4,6,0,0,76,65,2.2936,0.8504
"2019-04-28,07:44:00",5,7,0,0,77,66,2.373466666666667,0.8736
"2019-04-28,07:45:00",4,6,0,0,76,65,2.2936,0.8504
"2019-04-28,07:46:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:47:00",4,6,0,0,76,65,2.2936,0.8776
"2019-04-28,07:48:00",4,7,0,0,74,63,2.3064,0.828
"2019-04-28,07:49:00",5,7,0,0,77,66,2.3833333333333333,0.8584
"2019-04-28,07:50:00",4,6,0,0,76,65,2.2936,0.8504
"2019-04-28,07:51:00",4,6,0,0,75,64,2.283733333333333,0.852
"2019-04-28,07:52:00",4,6,0,0,76,65,2.2936,0.8368
"2019-04-28,07:53:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:54:00",5,7,0,0,78,67,2.3833333333333333,0.8448
"2019-04-28,07:55:00",4,6,0,0,75,64,2.283733333333333,0.8384
"2019-04-28,07:56:00",4,6,0,0,76,65,2.2936,0.864
"2019-04-28,07:57:00",4,6,0,0,75,64,2.291733333333333,0.8248
"2019-04-28,07:58:00",5,7,0,0,77,66,2.3261333333333334,0.8584
"2019-04-28,07:59:00",6,8,0,0,80,69,2.4410666666666665,0.8957333333333334
"2019-04-28,08:00:00",4,6,0,0,76,65,2.2936,0.864
