time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-26,03:01:00",2,2,0,0,2,2,0.039466666666666664,0.06746666666666666
"2019-04-26,03:02:00",2,2,0,0,2,2,0.039466666666666664,0.052
"2019-04-26,03:03:00",3,3,0,0,4,4,0.42693333333333333,0.32026666666666664
"2019-04-26,03:04:00",2,2,0,0,2,2,0.072,0.10026666666666667
"2019-04-26,03:05:00",2,2,0,0,2,2,0.1672,0.1016
"2019-04-26,03:06:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-26,03:07:00",2,2,0,0,2,2,0.039466666666666664,0.052
"2019-04-26,03:08:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-26,03:09:00",2,2,0,0,2,2,0.039466666666666664,0.06573333333333334
"2019-04-26,03:10:00",2,2,0,0,2,2,0.2432,0.17173333333333332
"2019-04-26,03:11:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-26,03:12:00",2,2,0,0,2,2,0.0296,0.0408
"2019-04-26,03:13:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-26,03:14:00",2,2,0,0,2,2,0.15573333333333333,0.1072
"2019-04-26,03:15:00",2,2,0,0,2,2,0.07066666666666667,0.0648
"2019-04-26,03:16:00",2,2,0,0,2,2,0.18213333333333334,0.1128
"2019-04-26,03:17:00",2,2,0,0,2,2,0.18,0.1016
"2019-04-26,03:18:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-26,03:19:00",2,2,0,0,2,2,0.039466666666666664,0.06573333333333334
"2019-04-26,03:20:00",2,2,0,0,2,2,0.039466666666666664,0.056266666666666666
"2019-04-26,03:21:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-26,03:22:00",2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
"2019-04-26,03:23:00",3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
"2019-04-26,03:24:00",2,2,0,0,2,2,0.16293333333333335,0.10853333333333333
"2019-04-26,03:25:00",2,2,0,0,2,2,0.11893333333333334,0.0832
"2019-04-26,03:26:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-26,03:27:00",2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
"2019-04-26,03:28:00",3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
"2019-04-26,03:29:00",2,2,0,0,2,2,0.2168,0.10253333333333334
"2019-04-26,03:30:00",2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
"2019-04-26,03:31:00",2,2,0,0,2,2,0.039466666666666664,0.052
