time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
"2019-04-26,03:00:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:01:00",0,0,0,0,0,0,0.0,0.0672
"2019-04-26,03:02:00",2,2,0,0,2,2,0.08906666666666667,0.0784
"2019-04-26,03:03:00",0,0,0,0,0,0,0.0,0.0672
"2019-04-26,03:04:00",0,0,0,0,0,0,0.0,0.0672
"2019-04-26,03:05:00",0,0,0,0,0,0,0.0,0.056
"2019-04-26,03:06:00",0,0,0,0,0,0,0.0,0.0672
"2019-04-26,03:07:00",2,2,0,0,2,2,0.08906666666666667,0.0784
"2019-04-26,03:08:00",0,0,0,0,0,0,0.0,0.0672
"2019-04-26,03:09:00",0,0,0,0,0,0,0.0,0.08226666666666667
"2019-04-26,03:10:00",0,0,0,0,0,0,0.0,0.0672
"2019-04-26,03:11:00",2,2,2,2,0,0,0.09546666666666667,0.3612
"2019-04-26,03:12:00",5,6,0,0,6,7,0.44426666666666664,0.2328
"2019-04-26,03:13:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:14:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:15:00",6,6,2,2,4,4,0.2368,0.2124
"2019-04-26,03:16:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:17:00",5,5,0,0,4,4,0.20906666666666668,0.1408
"2019-04-26,03:18:00",4,4,0,0,2,2,0.18,0.1272
"2019-04-26,03:19:00",4,4,0,0,2,2,0.12,0.14466666666666667
"2019-04-26,03:20:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:21:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:22:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,03:23:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,03:24:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:25:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:26:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:27:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,03:28:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:29:00",4,4,0,0,2,2,0.18,0.15346666666666667
"2019-04-26,03:30:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:31:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:32:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,03:33:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:34:00",4,4,0,0,2,2,0.18,0.1496
"2019-04-26,03:35:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:36:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:37:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,03:38:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:39:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,03:40:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,03:41:00",4,4,0,0,2,2,0.12,0.1408
"2019-04-26,03:42:00",5,5,0,0,4,4,0.20906666666666668,0.1072
"2019-04-26,03:43:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:44:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:45:00",6,6,2,2,4,4,0.3956,0.7266666666666667
"2019-04-26,03:46:00",4,4,0,0,2,2,0.12,0.1408
"2019-04-26,03:47:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,03:48:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:49:00",6,6,2,2,4,4,0.33266666666666667,0.6934666666666667
"2019-04-26,03:50:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:51:00",4,4,0,0,2,2,0.18,0.1272
"2019-04-26,03:52:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,03:53:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,03:54:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:55:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:56:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:57:00",7,7,2,2,6,6,0.5294666666666666,0.7250666666666666
"2019-04-26,03:58:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,03:59:00",4,4,0,0,2,2,0.12,0.14466666666666667
"2019-04-26,04:00:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:01:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,04:02:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,04:03:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,04:04:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,04:05:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:06:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:07:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:08:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,04:09:00",6,6,2,2,4,4,0.3732,0.7049333333333333
"2019-04-26,04:10:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:11:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:12:00",5,5,0,0,4,4,0.2690666666666667,0.1496
"2019-04-26,04:13:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,04:14:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,04:15:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:16:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,04:17:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:18:00",4,5,0,0,3,4,0.2248,0.1632
"2019-04-26,04:19:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,04:20:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:21:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:22:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:23:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:24:00",4,4,0,0,2,2,0.06,0.0872
"2019-04-26,04:25:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:26:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,04:27:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:28:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:29:00",4,4,0,0,2,2,0.12,0.12226666666666666
"2019-04-26,04:30:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:31:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:32:00",5,5,0,0,4,4,0.2690666666666667,0.1384
"2019-04-26,04:33:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,04:34:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:35:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,04:36:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:37:00",5,5,0,0,4,4,0.2690666666666667,0.1384
"2019-04-26,04:38:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:39:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,04:40:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:41:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:42:00",5,5,0,0,4,4,0.20906666666666668,0.1072
"2019-04-26,04:43:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,04:44:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,04:45:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:46:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:47:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:48:00",4,4,0,0,2,2,0.18,0.1272
"2019-04-26,04:49:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,04:50:00",6,6,2,2,4,4,0.33266666666666667,0.6856
"2019-04-26,04:51:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:52:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:53:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:54:00",4,4,0,0,2,2,0.18,0.1272
"2019-04-26,04:55:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,04:56:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,04:57:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,04:58:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,04:59:00",4,4,0,0,2,2,0.18,0.15346666666666667
"2019-04-26,05:00:00",4,4,0,0,2,2,0.12,0.1352
"2019-04-26,05:01:00",4,4,0,0,2,2,0.12,0.1352
"2019-04-26,05:02:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,05:03:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,05:04:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:05:00",4,4,0,0,2,2,0.18,0.1496
"2019-04-26,05:06:00",4,4,0,0,2,2,0.12,0.1408
"2019-04-26,05:07:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,05:08:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,05:09:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,05:10:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:11:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,05:12:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:13:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,05:14:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:15:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:16:00",4,4,0,0,2,2,0.18,0.1184
"2019-04-26,05:17:00",4,4,0,0,2,2,0.12,0.1384
"2019-04-26,05:18:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,05:19:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,05:20:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,05:21:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:22:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:23:00",5,5,0,0,4,4,0.2690666666666667,0.1384
"2019-04-26,05:24:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:25:00",4,5,0,0,2,3,0.2248,0.1744
"2019-04-26,05:26:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:27:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:28:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,05:29:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,05:30:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:31:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:32:00",4,4,0,0,2,2,0.18,0.1384
"2019-04-26,05:33:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,05:34:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:35:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:36:00",4,4,0,0,2,2,0.12,0.1072
"2019-04-26,05:37:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:38:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,05:39:00",4,4,0,0,2,2,0.12,0.13346666666666668
"2019-04-26,05:40:00",4,4,0,0,2,2,0.18,0.1496
"2019-04-26,05:41:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,05:42:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,05:43:00",5,5,0,0,4,4,0.20906666666666668,0.1296
"2019-04-26,05:44:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,05:45:00",4,4,0,0,2,2,0.12,0.1184
"2019-04-26,05:46:00",4,4,0,0,2,2,0.12,0.1296
"2019-04-26,05:47:00",6,6,2,2,4,4,0.3284,0.7138666666666666
"2019-04-26,05:48:00",5,5,0,0,4,4,0.20906666666666668,0.1184
"2019-04-26,05:49:00",4,4,0,0,2,2,0.12,0.13346666666666668
