"2019-04-26,03:00:00",0.0176,0.02,0,1,2
"2019-04-26,03:01:00",0.0,0.0248,0,0,0
"2019-04-26,03:02:00",0.0088,0.030933333333333334,0,2,2
"2019-04-26,03:03:00",0.019733333333333332,0.16466666666666666,0,2,2
"2019-04-26,03:04:00",0.24146666666666666,0.0976,0,3,3
"2019-04-26,03:05:00",0.0176,0.030933333333333334,0,2,3
"2019-04-26,03:06:00",0.028533333333333334,0.0244,0,2,3
"2019-04-26,03:07:00",0.022266666666666667,0.13106666666666666,0,2,2
"2019-04-26,03:08:00",0.19266666666666668,0.046266666666666664,0,3,3
"2019-04-26,03:09:00",0.09333333333333334,2.9364,0,2,2
"2019-04-26,03:10:00",2.4565333333333332,0.08333333333333333,0,8,8
"2019-04-26,03:11:00",0.0264,0.02,0,3,3
"2019-04-26,03:12:00",0.0,0.30293333333333333,0,0,0
"2019-04-26,03:13:00",0.019733333333333332,0.14066666666666666,0,2,2
"2019-04-26,03:14:00",0.2694666666666667,0.0488,0,5,5
"2019-04-26,03:15:00",0.0192,0.02,0,2,3
"2019-04-26,03:16:00",0.0088,0.08693333333333333,0,1,1
"2019-04-26,03:17:00",0.028533333333333334,0.3158666666666667,0,3,3
"2019-04-26,03:18:00",0.2865333333333333,0.06306666666666666,0,5,5
"2019-04-26,03:19:00",0.09333333333333334,0.07573333333333333,0,2,2
"2019-04-26,03:20:00",0.028533333333333334,0.02,0,3,3
"2019-04-26,03:21:00",0.0,0.02,0,0,0
"2019-04-26,03:22:00",0.0,0.0504,0,0,0
"2019-04-26,03:23:00",0.0088,0.13653333333333334,0,2,2
"2019-04-26,03:24:00",0.27013333333333334,0.8829333333333333,0,4,4
"2019-04-26,03:25:00",1.0145333333333333,,0,4,4
