time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,3,3,2,2,2,2,0.18133333333333335,0.0824
1556427660,2,2,2,2,0,0,0.0896,0.0824
1556427720,2,2,2,2,0,0,0.0896,0.0824
1556427780,2,2,2,2,0,0,0.0896,0.0824
1556427840,2,2,2,2,0,0,0.0896,0.0824
1556427900,3,3,2,2,2,2,0.18133333333333335,0.0824
1556427960,2,2,2,2,0,0,0.0896,0.0824
1556428020,2,2,2,2,0,0,0.19413333333333332,0.1536
1556428080,2,2,2,2,0,0,0.0896,0.0824
1556428140,2,2,2,2,0,0,0.0896,0.09746666666666666
1556428200,3,3,2,2,2,2,0.18133333333333335,0.0824
1556428260,2,2,2,2,0,0,0.0896,0.0824
1556428320,2,2,2,2,0,0,0.0896,0.0824
1556428380,2,2,2,2,0,0,0.0896,0.0824
1556428440,2,2,2,2,0,0,0.0896,0.0824
1556428500,3,3,2,2,2,2,0.18133333333333335,0.0824
1556428560,2,2,2,2,0,0,0.0896,0.0824
1556428620,2,2,2,2,0,0,0.0896,0.0824
1556428680,2,2,2,2,0,0,0.0896,0.0824
1556428740,2,2,2,2,0,0,0.0896,0.09746666666666666
1556428800,3,3,2,2,2,2,0.18133333333333335,0.0824
1556428860,2,2,2,2,0,0,0.0896,0.0824
1556428920,2,2,2,2,0,0,0.19413333333333332,0.1536
1556428980,2,2,2,2,0,0,0.0896,0.0824
1556429040,2,2,2,2,0,0,0.0896,0.0824
1556429100,4,4,2,2,4,4,0.19333333333333333,0.1168
1556429160,2,2,2,2,0,0,0.0896,0.0824
1556429220,2,2,2,2,0,0,0.0896,0.0824
1556429280,2,2,2,2,0,0,0.0896,0.0824
1556429340,2,2,2,2,0,0,0.0896,0.10866666666666666
1556429400,3,3,2,2,2,2,0.18133333333333335,0.0936
1556429460,2,2,2,2,0,0,0.0896,0.0936
1556429520,2,2,2,2,0,0,0.0896,0.0936
1556429580,2,2,2,2,0,0,0.0896,0.0936
1556429640,2,2,2,2,0,0,0.0896,0.0936
1556429700,3,3,2,2,2,2,0.18133333333333335,0.0936
1556429760,2,2,2,2,0,0,0.0896,0.0936
1556429820,2,2,2,2,0,0,0.1344,0.1292
1556429880,2,2,2,2,0,0,0.0896,0.0824
1556429940,2,2,2,2,0,0,0.0896,0.09746666666666666
1556430000,3,3,2,2,2,2,0.18133333333333335,0.0824
1556430060,2,2,2,2,0,0,0.0896,0.0824
1556430120,2,2,2,2,0,0,0.0896,0.0824
1556430180,2,2,2,2,0,0,0.0896,0.0824
1556430240,3,3,2,2,2,2,0.1016,0.1056
1556430300,3,3,2,2,2,2,0.18133333333333335,0.0936
1556430360,2,2,2,2,0,0,0.0896,0.0936
1556430420,2,2,2,2,0,0,0.0896,0.0936
1556430480,2,2,2,2,0,0,0.0896,0.0936
1556430540,2,2,2,2,0,0,0.0896,0.09746666666666666
1556430600,3,3,2,2,2,2,0.18133333333333335,0.0824
1556430660,2,2,2,2,0,0,0.0896,0.0824
1556430720,2,2,2,2,0,0,0.19413333333333332,0.1536
1556430780,2,2,2,2,0,0,0.0896,0.0824
1556430840,2,2,2,2,0,0,0.0896,0.0824
1556430900,3,3,2,2,2,2,0.18133333333333335,0.0824
1556430960,3,3,2,2,2,2,0.1016,0.0944
1556431020,2,2,2,2,0,0,0.0896,0.0824
1556431080,2,2,2,2,0,0,0.0896,0.0824
1556431140,2,2,2,2,0,0,0.0896,0.09746666666666666
1556431200,3,3,2,2,2,2,0.18133333333333335,0.0824
1556431260,2,2,2,2,0,0,0.0896,0.0824
1556431320,2,2,2,2,0,0,0.0896,0.0824
1556431380,2,2,2,2,0,0,0.0896,0.0824
1556431440,3,3,2,2,2,2,0.1016,0.0944
1556431500,3,3,2,2,2,2,0.18133333333333335,0.0824
1556431560,2,2,2,2,0,0,0.0896,0.0824
1556431620,2,2,2,2,0,0,0.1344,0.118
1556431680,2,2,2,2,0,0,0.0896,0.0824
1556431740,2,2,2,2,0,0,0.0896,0.09746666666666666
1556431800,3,3,2,2,2,2,0.18133333333333335,0.0824
1556431860,2,2,2,2,0,0,0.0896,0.0824
1556431920,2,2,2,2,0,0,0.0896,0.0824
1556431980,2,2,2,2,0,0,0.0896,0.0824
1556432040,2,2,2,2,0,0,0.0896,0.0824
1556432100,3,3,2,2,2,2,0.18133333333333335,0.0824
1556432160,2,2,2,2,0,0,0.0896,0.0824
1556432220,2,2,2,2,0,0,0.0896,0.0824
1556432280,2,2,2,2,0,0,0.0896,0.0824
1556432340,2,2,2,2,0,0,0.0896,0.09746666666666666
1556432400,3,3,2,2,2,2,0.18133333333333335,0.0824
1556432460,2,2,2,2,0,0,0.0896,0.0824
1556432520,2,2,2,2,0,0,0.19413333333333332,0.1536
1556432580,2,2,2,2,0,0,0.0896,0.0824
1556432640,2,2,2,2,0,0,0.0896,0.0936
1556432700,3,3,2,2,2,2,0.18133333333333335,0.0936
1556432760,2,2,2,2,0,0,0.0896,0.0936
1556432820,2,2,2,2,0,0,0.0896,0.0936
1556432880,2,2,2,2,0,0,0.0896,0.0936
1556432940,2,2,2,2,0,0,0.0896,0.09746666666666666
1556433000,3,3,2,2,2,2,0.18133333333333335,0.0824
1556433060,2,2,2,2,0,0,0.0896,0.0824
1556433120,2,2,2,2,0,0,0.0896,0.0824
1556433180,2,2,2,2,0,0,0.0896,0.0824
1556433240,2,2,2,2,0,0,0.0896,0.0824
1556433300,4,4,2,2,4,4,0.19333333333333333,0.1056
1556433360,2,2,2,2,0,0,0.0896,0.0936
1556433420,2,2,2,2,0,0,0.1344,0.1292
1556433480,2,2,2,2,0,0,0.0896,0.0936
1556433540,2,2,2,2,0,0,0.0896,0.09746666666666666
1556433600,3,3,2,2,2,2,0.18133333333333335,0.0824
1556433660,2,2,2,2,0,0,0.0896,0.0824
1556433720,2,2,2,2,0,0,0.0896,0.0824
1556433780,2,2,2,2,0,0,0.0896,0.0824
1556433840,2,2,2,2,0,0,0.0896,0.0824
1556433900,3,3,2,2,2,2,0.18133333333333335,0.0936
1556433960,2,2,2,2,0,0,0.0896,0.0936
1556434020,2,2,2,2,0,0,0.0896,0.0936
1556434080,2,2,2,2,0,0,0.0896,0.0936
1556434140,2,2,2,2,0,0,0.0896,0.09746666666666666
