time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556427660,3,4,2,2,3,3,0.7034666666666667,0.026133333333333335
1556427720,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556427780,2,3,2,2,1,1,0.6106666666666667,0.0336
1556427840,2,3,2,2,1,1,0.6106666666666667,0.0336
1556427900,3,4,2,2,3,3,0.7034666666666667,0.0336
1556427960,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428020,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428080,2,3,2,2,1,1,0.6106666666666667,0.0336
1556428140,3,4,2,2,3,3,0.7034666666666667,0.0412
1556428200,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428260,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428320,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428380,3,4,2,2,3,3,0.7034666666666667,0.037333333333333336
1556428440,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428500,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428560,3,4,2,2,3,3,0.7034666666666667,0.026133333333333335
1556428620,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428680,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428740,2,3,2,2,1,1,0.6106666666666667,0.0412
1556428800,3,4,2,2,3,3,0.7034666666666667,0.04106666666666667
1556428860,2,3,2,2,1,1,0.6106666666666667,0.0336
1556428920,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556428980,2,3,2,2,1,1,0.5816,0.026133333333333335
1556429040,3,4,2,2,3,3,0.7034666666666667,0.0336
1556429100,2,3,2,2,1,1,0.6106666666666667,0.04106666666666667
1556429160,2,3,2,2,1,1,0.6106666666666667,0.0336
1556429220,2,3,2,2,1,1,0.6106666666666667,0.0336
1556429280,3,4,2,2,3,3,0.7034666666666667,0.026133333333333335
1556429340,2,3,2,2,1,1,0.6106666666666667,0.059866666666666665
1556429400,2,3,2,2,1,1,0.6106666666666667,0.0448
1556429460,2,3,2,2,1,1,0.6106666666666667,0.0448
1556429520,3,4,2,2,3,3,0.7034666666666667,0.037333333333333336
1556429580,2,3,2,2,1,1,0.6106666666666667,0.037333333333333336
1556429640,2,3,2,2,1,1,0.6106666666666667,0.037333333333333336
1556429700,2,3,2,2,1,1,0.6106666666666667,0.037333333333333336
1556429760,3,4,2,2,3,3,0.7034666666666667,0.0448
1556429820,2,3,2,2,1,1,0.6106666666666667,0.0448
1556429880,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556429940,3,4,2,2,3,3,0.7034666666666667,0.0412
1556430000,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556430060,2,3,2,2,1,1,0.6106666666666667,0.026133333333333335
1556430120,2,3,2,2,1,1,0.6106666666666667,0.0336
1556430180,3,4,2,2,3,3,0.7034666666666667,0.026133333333333335
1556430240,2,3,2,2,1,1,0.6106666666666667,0.037333333333333336
1556430300,2,3,2,2,1,1,0.6106666666666667,0.037333333333333336
1556430360,2,3,2,2,1,1,0.6106666666666667,0.037333333333333336
