time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,6,7,3,3,6,6,2.7861333333333334,4.830666666666667
1556326860,3,3,2,2,2,2,2.3981333333333335,3.9925333333333333
1556326920,6,7,3,4,2,2,2.5188,4.134666666666667
1556326980,3,3,2,2,2,2,2.3021333333333334,3.968
1556327040,4,6,2,2,2,2,2.5557333333333334,4.0
1556327100,5,5,2,2,6,6,2.6156,4.172
1556327160,5,7,3,3,2,2,2.6001333333333334,4.0408
1556327220,3,3,2,3,2,2,2.4109333333333334,4.034666666666666
1556327280,4,6,2,2,2,2,2.5256,4.099733333333333
1556327340,4,4,3,3,2,2,2.3465333333333334,4.031066666666667
1556327400,5,6,2,2,6,6,2.7984,4.9126666666666665
1556327460,3,3,2,3,2,2,2.3554666666666666,4.0184
1556327520,4,6,2,2,2,2,2.4962666666666666,4.0928
1556327580,4,4,3,3,2,2,2.3529333333333335,4.099466666666666
1556327640,6,7,4,4,6,6,3.0154666666666667,4.3044
1556327700,3,3,2,2,2,2,2.3149333333333333,4.061333333333334
1556327760,4,6,2,3,2,2,2.4914666666666667,4.0376
1556327820,4,4,3,3,2,2,2.3444,4.069866666666667
1556327880,4,6,2,2,2,2,2.5768,4.050133333333333
1556327940,5,5,3,3,6,6,2.6821333333333333,4.8628
1556328000,4,6,2,3,2,2,2.564,4.18
1556328060,4,4,3,3,2,2,2.4148,4.080266666666667
1556328120,4,6,2,2,2,2,2.5533333333333332,4.0152
1556328180,3,3,2,2,2,2,2.4678666666666667,4.041333333333333
1556328240,6,7,3,3,6,6,2.691866666666667,4.134933333333334
1556328300,4,4,3,3,2,2,2.376133333333333,4.036
1556328360,5,6,2,3,2,2,2.4530666666666665,3.9896
1556328420,3,3,2,2,2,2,2.361866666666667,4.0848
1556328480,5,7,3,3,2,2,2.6172,4.0176
1556328540,5,5,3,3,6,6,2.8065333333333333,4.8933333333333335
1556328600,6,7,3,3,4,4,3.1289333333333333,4.793333333333333
1556328660,4,3,2,3,2,2,2.3234666666666666,4.106933333333333
1556328720,5,7,3,3,2,2,2.5678666666666667,4.042133333333333
1556328780,3,3,2,2,2,2,2.3469333333333333,4.0906666666666665
1556328840,5,6,2,2,6,6,2.7542666666666666,4.169333333333333
1556328900,6,5,3,4,4,4,3.005733333333333,4.7664
1556328960,5,7,3,3,2,2,2.5572,4.017333333333333
1556329020,3,3,2,2,2,2,2.361866666666667,4.0968
1556329080,4,6,2,2,4,4,2.564,3.989333333333333
1556329140,4,4,2,2,4,4,2.537333333333333,4.918266666666667
1556329200,5,7,3,3,2,2,2.4996,4.052266666666666
1556329260,4,3,2,3,2,2,2.3469333333333333,4.0328
1556329320,4,6,2,2,2,2,2.5917333333333334,4.0648
1556329380,5,6,4,3,6,6,2.5285333333333333,4.1856
1556329440,5,7,3,4,2,2,2.6041333333333334,4.042133333333333
1556329500,6,6,4,4,5,5,2.714,5.6084
1556329560,5,7,3,3,2,2,2.9457333333333335,4.318266666666666
1556329620,4,4,3,3,2,2,2.3977333333333335,4.0624
1556329680,6,7,3,3,6,6,2.6362666666666668,4.1276
1556329740,3,3,2,2,2,2,2.3554666666666666,4.0334666666666665
1556329800,5,6,2,3,2,2,2.5192,4.0264
1556329860,4,4,3,3,2,2,2.37,4.046133333333334
1556329920,4,6,2,2,2,2,2.5344,4.028533333333334
1556329980,5,5,3,3,6,6,2.5178666666666665,4.8336
