time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,2,3,3,3,0,0,0.1604,0.2024
1556240460,2,3,2,2,0,0,0.14973333333333333,0.18626666666666666
1556240520,2,3,2,2,0,0,0.09973333333333333,0.1504
1556240580,3,4,2,2,2,2,0.19226666666666667,0.1392
1556240640,2,3,2,2,0,0,0.09973333333333333,0.1392
1556240700,2,3,2,2,0,0,0.09973333333333333,0.1504
1556240760,2,3,2,2,0,0,0.09253333333333333,0.1432
1556240820,2,3,2,2,0,0,0.09973333333333333,0.1392
1556240880,3,4,2,2,2,2,0.19226666666666667,0.1504
1556240940,2,3,2,2,0,0,0.09973333333333333,0.15426666666666666
1556241000,2,3,2,2,0,0,0.09973333333333333,0.1392
1556241060,9,9,6,6,12,12,1.5824,0.6930666666666667
1556241120,2,2,2,2,0,0,0.0936,0.128
1556241180,2,2,2,2,0,0,0.0936,0.1168
1556241240,2,3,2,2,0,0,0.09973333333333333,0.128
1556241300,2,2,2,2,0,0,0.0936,0.1392
1556241360,3,3,2,2,2,2,0.17893333333333333,0.132
1556241420,2,2,2,2,0,0,0.0936,0.1504
1556241480,2,2,2,2,0,0,0.0936,0.1392
1556241540,2,2,2,2,0,0,0.0936,0.16546666666666668
1556241600,2,2,2,2,0,0,0.0936,0.1392
1556241660,3,3,2,2,2,2,0.17893333333333333,0.1208
1556241720,2,2,2,2,0,0,0.0936,0.1392
1556241780,2,2,2,2,0,0,0.0936,0.1504
1556241840,2,2,2,2,0,0,0.0936,0.1392
1556241900,2,2,2,2,0,0,0.0936,0.1504
1556241960,3,3,2,2,2,2,0.17893333333333333,0.1312
1556242020,2,2,2,2,0,0,0.0936,0.128
1556242080,2,2,2,2,0,0,0.0936,0.1168
1556242140,2,2,2,2,0,0,0.0936,0.14306666666666668
1556242200,2,2,2,2,0,0,0.0864,0.1096
1556242260,3,3,2,2,2,2,0.18613333333333335,0.128
1556242320,2,2,2,2,0,0,0.0936,0.128
1556242380,2,2,2,2,0,0,0.0936,0.1168
1556242440,2,2,2,2,0,0,0.0936,0.1168
1556242500,2,2,2,2,0,0,0.0864,0.0976
1556242560,3,3,2,2,2,2,0.18613333333333335,0.1392
1556242620,2,2,2,2,0,0,0.0936,0.1392
1556242680,2,2,2,2,0,0,0.0936,0.1168
1556242740,2,2,2,2,0,0,0.0936,0.15426666666666666
1556242800,2,2,2,2,0,0,0.0864,0.1208
1556242860,3,3,2,2,2,2,0.18613333333333335,0.1392
1556242920,2,2,2,2,0,0,0.0936,0.1392
1556242980,2,2,2,2,0,0,0.0936,0.1504
1556243040,2,2,2,2,0,0,0.0936,0.1392
1556243100,2,2,2,2,0,0,0.0864,0.1544
1556243160,3,3,2,2,2,2,0.18613333333333335,0.1392
1556243220,2,2,2,2,0,0,0.0936,0.1616
1556243280,2,2,2,2,0,0,0.0936,0.1392
1556243340,2,2,2,2,0,0,0.0936,0.15426666666666666
1556243400,2,2,2,2,0,0,0.0864,0.132
1556243460,3,3,2,2,2,2,0.18613333333333335,0.1496
1556243520,2,2,2,2,0,0,0.0936,0.1392
1556243580,2,2,2,2,0,0,0.0936,0.1504
1556243640,2,2,2,2,0,0,0.0936,0.1616
1556243700,2,2,2,2,0,0,0.0864,0.132
1556243760,3,3,2,2,2,2,0.18613333333333335,0.1504
1556243820,2,2,2,2,0,0,0.0936,0.1504
1556243880,2,2,2,2,0,0,0.0936,0.1504
1556243940,2,2,2,2,0,0,0.0936,0.15426666666666666
1556244000,2,2,2,2,0,0,0.0864,0.1432
1556244060,3,3,2,2,2,2,0.18613333333333335,0.1504
1556244120,2,3,2,2,0,0,0.09973333333333333,0.1504
1556244180,2,2,2,2,0,0,0.0936,0.1392
1556244240,2,2,2,2,0,0,0.0936,0.1504
1556244300,2,2,2,2,0,0,0.0864,0.1208
1556244360,3,3,2,2,2,2,0.18613333333333335,0.1392
1556244420,2,2,2,2,0,0,0.0936,0.1504
1556244480,2,3,2,2,0,0,0.09973333333333333,0.128
1556244540,2,2,2,2,0,0,0.0864,0.14706666666666668
1556244600,2,2,2,2,0,0,0.0936,0.128
1556244660,3,4,2,2,2,2,0.19226666666666667,0.128
1556244720,2,2,2,2,0,0,0.0936,0.1504
1556244780,2,2,2,2,0,0,0.0936,0.128
1556244840,2,2,2,2,0,0,0.0864,0.1208
1556244900,2,2,2,2,0,0,0.0936,0.1392
1556244960,3,3,2,2,2,2,0.18613333333333335,0.128
1556245020,2,2,2,2,0,0,0.0936,0.1504
1556245080,2,2,2,2,0,0,0.0936,0.128
1556245140,2,2,2,2,0,0,0.0864,0.13586666666666666
1556245200,2,2,2,2,0,0,0.0936,0.1392
1556245260,3,3,2,2,2,2,0.18613333333333335,0.1392
1556245320,2,2,2,2,0,0,0.0936,0.128
1556245380,2,2,2,2,0,0,0.0936,0.1392
1556245440,2,2,2,2,0,0,0.0864,0.1208
1556245500,2,2,2,2,0,0,0.0936,0.1392
1556245560,3,3,2,2,2,2,0.18613333333333335,0.1504
1556245620,2,2,2,2,0,0,0.0936,0.1392
1556245680,2,3,2,2,0,0,0.09973333333333333,0.1392
1556245740,2,2,2,2,0,0,0.0864,0.14706666666666668
1556245800,2,2,2,2,0,0,0.0936,0.1504
1556245860,3,4,2,2,2,2,0.19226666666666667,0.1392
1556245920,2,2,2,2,0,0,0.0936,0.1504
1556245980,2,2,2,2,0,0,0.0936,0.1504
1556246040,2,2,2,2,0,0,0.0864,0.12
1556246100,2,2,2,2,0,0,0.0936,0.1504
1556246160,3,4,2,2,2,2,0.19226666666666667,0.1392
1556246220,2,2,2,2,0,0,0.0936,0.1272
1556246280,2,2,2,2,0,0,0.0936,0.1392
1556246340,2,2,2,2,0,0,0.0864,0.14706666666666668
1556246400,2,2,2,2,0,0,0.0936,0.1392
1556246460,3,3,2,2,2,2,0.18613333333333335,0.128
1556246520,2,2,2,2,0,0,0.0936,0.1392
1556246580,2,2,2,2,0,0,0.0936,0.1504
1556246640,2,2,2,2,0,0,0.0864,0.132
1556246700,2,3,2,2,0,0,0.09973333333333333,0.1392
1556246760,3,3,2,2,2,2,0.18613333333333335,0.1392
1556246820,2,2,2,2,0,0,0.0936,0.1504
1556246880,4,5,4,4,4,4,0.216,0.33
1556246940,2,2,2,2,0,0,0.0864,0.14706666666666668
1556247000,2,2,2,2,0,0,0.0936,0.1392
1556247060,3,3,2,2,2,2,0.18613333333333335,0.1392
1556247120,2,2,2,2,0,0,0.0936,0.128
1556247180,2,2,2,2,0,0,0.0936,0.1504
1556247240,2,2,2,2,0,0,0.0864,0.1208
1556247300,2,2,2,2,0,0,0.0936,0.1392
1556247360,3,3,2,2,2,2,0.18613333333333335,0.1392
