time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,3,4,3,3,1,1,0.07946666666666667,0.06986666666666666
1556427660,6,6,5,5,2,2,1.0674666666666666,1.0573333333333332
1556427720,9,10,7,7,8,8,0.5394666666666666,0.4186666666666667
1556427780,4,5,3,3,3,3,0.5329333333333334,0.33
1556427840,6,7,5,5,3,3,0.45066666666666666,1.0972
1556427900,2,3,2,2,1,1,0.06853333333333333,0.07066666666666667
1556427960,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556428020,11,12,11,11,10,10,53.674933333333335,5.6197333333333335
1556428080,7,7,4,5,5,5,1.3661333333333334,1.0749333333333333
1556428140,4,4,3,4,1,1,0.0888,0.08666666666666667
1556428200,3,4,3,3,1,1,0.07946666666666667,0.07706666666666667
1556428260,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556428320,10,11,8,8,7,7,0.5832,0.41386666666666666
1556428380,6,8,6,4,5,5,1.2372,1.1226666666666667
1556428440,2,3,2,2,1,1,0.057466666666666666,0.056933333333333336
1556428500,5,6,6,6,1,1,0.14586666666666667,0.10066666666666667
1556428560,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556428620,7,10,6,5,11,11,0.9693333333333334,0.5588
1556428680,3,6,5,4,1,1,0.154,0.11066666666666666
1556428740,3,4,3,3,1,1,0.104,0.09146666666666667
1556428800,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556428860,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556428920,8,11,7,6,10,10,0.9896,0.6416
1556428980,4,5,4,4,1,1,0.1548,0.12346666666666667
1556429040,3,4,3,3,1,1,0.09053333333333333,0.0836
1556429100,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556429160,4,4,4,4,0,0,0.10826666666666666,0.06893333333333333
1556429220,4,7,3,3,3,3,0.7192,0.25466666666666665
1556429280,7,9,6,6,9,9,0.3122666666666667,0.4236
1556429340,3,4,3,3,1,1,0.07946666666666667,0.09613333333333333
1556429400,7,7,6,6,3,3,1.2097333333333333,1.9654666666666667
1556429460,2,2,2,2,0,0,0.039733333333333336,0.047733333333333336
1556429520,4,5,3,3,3,3,0.544,0.3549333333333333
1556429580,9,11,7,7,8,8,0.5544,0.4148
1556429640,3,4,3,3,1,1,0.11506666666666666,0.10133333333333333
1556429700,3,3,3,3,0,0,0.061733333333333335,0.06066666666666667
1556429760,3,3,3,3,0,0,0.061733333333333335,0.06066666666666667
1556429820,4,5,3,3,3,3,0.5132,0.2928
1556429880,9,11,7,7,8,8,0.5544,0.4182666666666667
1556429940,3,4,3,3,1,1,0.07946666666666667,0.08493333333333333
1556430000,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556430060,5,6,4,4,3,3,0.482,0.24453333333333332
1556430120,3,4,3,3,1,1,0.13266666666666665,0.13106666666666666
1556430180,8,9,6,6,8,8,0.5250666666666667,0.3972
1556430240,3,4,3,3,1,1,0.07946666666666667,0.06986666666666666
1556430300,4,4,4,4,0,0,0.10826666666666666,0.08013333333333333
1556430360,3,4,2,2,3,3,0.44893333333333335,0.25293333333333334
1556430420,3,4,3,3,1,1,0.0972,0.10146666666666666
1556430480,10,12,8,8,8,8,0.6009333333333333,0.4342666666666667
1556430540,2,2,2,2,0,0,0.039733333333333336,0.0516
1556430600,5,5,4,4,2,2,1.0350666666666666,1.0584
1556430660,4,5,3,3,3,3,0.4709333333333333,0.25466666666666665
1556430720,3,4,3,3,1,1,0.12173333333333333,0.0968
1556430780,9,11,7,7,8,8,0.5544,0.4148
