time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,4,5,5,5,1,1,1.248,0.35933333333333334
1556427660,4,4,4,4,0,0,0.088,0.15333333333333332
1556427720,5,7,5,5,3,3,0.42973333333333336,0.37066666666666664
1556427780,10,12,8,8,8,8,1.2386666666666666,1.3042666666666667
1556427840,3,4,3,3,1,1,0.11533333333333333,0.142
1556427900,2,2,2,2,0,0,0.02666666666666667,0.06693333333333333
1556427960,3,3,3,3,0,0,0.048666666666666664,0.07986666666666667
1556428020,9,11,14,14,5,5,769.5413333333333,21.6876
1556428080,5,8,7,9,1,1,0.44893333333333335,0.3216
1556428140,9,10,9,9,7,7,0.5292,0.4588
1556428200,5,5,4,4,2,2,0.6946666666666667,0.8812
1556428260,2,2,2,2,0,0,0.02666666666666667,0.07813333333333333
1556428320,5,8,6,5,3,3,0.5122666666666666,0.46626666666666666
1556428380,3,4,3,3,1,1,0.0876,0.13266666666666665
1556428440,8,10,6,6,7,7,0.5528,0.4308
1556428500,7,7,8,8,2,2,0.7181333333333333,0.874
1556428560,3,3,3,3,0,0,0.048666666666666664,0.10226666666666667
1556428620,4,8,6,5,3,3,0.6814666666666667,0.49493333333333334
1556428680,4,6,7,7,1,1,0.32653333333333334,0.13266666666666665
1556428740,8,11,7,6,7,7,0.6364,0.4724
1556428800,2,3,3,3,0,0,0.03546666666666667,0.06693333333333333
1556428860,3,3,3,3,0,0,0.048666666666666664,0.07986666666666667
1556428920,6,10,6,5,5,5,1.296,34.114266666666666
1556428980,4,6,4,4,3,3,1.0105333333333333,0.8946666666666667
1556429040,10,11,7,8,7,7,0.5748,0.47333333333333333
1556429100,3,3,3,3,0,0,0.048666666666666664,0.10226666666666667
1556429160,6,8,4,4,5,5,0.6925333333333333,1.3710666666666667
1556429220,5,6,8,8,1,1,0.5361333333333334,0.2716
1556429280,4,5,5,5,1,1,0.102,0.12146666666666667
1556429340,8,9,6,6,6,6,1.1610666666666667,0.4928
1556429400,4,4,4,4,0,0,0.0952,0.14213333333333333
1556429460,5,7,5,5,3,3,0.448,0.4432
1556429520,5,6,4,4,4,4,0.7022666666666667,1.9142666666666666
1556429580,5,6,4,4,3,3,1.8410666666666666,1.0553333333333332
1556429640,11,11,8,9,8,8,1.1133333333333333,2.238933333333333
1556429700,5,5,4,4,2,2,0.6504,0.87
1556429760,7,9,8,8,3,3,0.6381333333333333,0.5677333333333333
1556429820,3,4,5,5,1,1,0.3101333333333333,0.16453333333333334
1556429880,3,4,3,3,1,1,0.0876,0.14386666666666667
1556429940,4,6,3,3,0,0,0.32466666666666666,0.11546666666666666
1556430000,7,8,6,6,6,6,0.23786666666666667,0.3910666666666667
1556430060,5,8,6,5,3,3,0.47746666666666665,0.4202666666666667
1556430120,3,4,3,3,1,1,0.0876,0.13266666666666665
1556430180,2,3,2,2,1,1,0.0656,0.10853333333333333
1556430240,5,5,4,4,2,2,0.3576,1.1221333333333334
1556430300,9,10,7,7,6,6,1.4456,0.638
1556430360,8,10,8,8,6,6,1.5169333333333332,2.174
1556430420,5,6,7,7,1,1,0.32493333333333335,0.15106666666666665
1556430480,4,5,4,4,1,1,0.12693333333333334,0.19493333333333332
1556430540,2,2,2,2,0,0,0.0544,0.11373333333333334
1556430600,10,13,8,8,9,9,0.8276,0.6190666666666667
1556430660,4,5,5,5,1,1,0.222,0.24386666666666668
1556430720,2,2,2,2,0,0,0.02666666666666667,0.07813333333333333
1556430780,3,4,3,3,1,1,0.0876,0.12146666666666667
1556430840,3,3,3,3,0,0,0.0764,0.1116
1556430900,10,14,10,9,9,9,0.9624,0.6954666666666667
1556430960,4,5,6,6,1,1,0.39986666666666665,0.20786666666666667
1556431020,3,4,3,3,1,1,0.0876,0.15506666666666666
1556431080,2,2,2,2,0,0,0.02666666666666667,0.08933333333333333
1556431140,3,3,3,3,0,0,0.0764,0.12666666666666668
1556431200,10,13,8,8,9,9,0.8765333333333334,0.714
1556431260,2,3,2,2,1,1,0.10453333333333334,0.16133333333333333
1556431320,3,4,3,3,1,1,0.0876,0.12146666666666667
1556431380,3,3,3,3,0,0,0.7502666666666666,0.4216
1556431440,2,2,2,2,0,0,0.0544,0.08746666666666666
1556431500,10,13,9,9,9,9,1.0274666666666668,0.7748
1556431560,4,5,6,6,1,1,0.3177333333333333,0.14386666666666667
1556431620,2,3,2,2,1,1,0.0656,0.11973333333333333
1556431680,6,6,5,5,3,3,1.6312,34.2392
1556431740,2,2,2,2,0,0,0.0544,0.10253333333333334
1556431800,5,9,5,5,3,3,0.6912,0.43146666666666667
1556431860,8,10,7,7,7,7,0.3118666666666667,0.4456
1556431920,2,3,2,2,1,1,0.0656,0.10853333333333333
1556431980,5,5,4,4,2,2,0.6989333333333333,0.8588
1556432040,6,7,4,5,3,3,0.3569333333333333,0.2776
1556432100,5,7,9,8,1,1,0.36866666666666664,0.3469333333333333
1556432160,9,12,10,9,7,7,0.8388,0.4368
1556432220,3,5,4,4,1,1,0.0964,0.13266666666666665
