time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,5,6,5,5,3,3,0.4092,0.3606666666666667
1556427660,5,6,5,5,3,3,1.9461333333333333,0.6058666666666667
1556427720,2,3,2,2,1,1,0.07173333333333333,0.11973333333333333
1556427780,7,8,5,5,2,2,2.6062666666666665,1.0992
1556427840,8,10,7,7,6,6,0.34373333333333334,0.404
1556427900,6,7,9,8,3,3,0.7056,0.424
1556427960,5,6,4,4,3,3,8.9204,1.7012
1556428020,8,9,8,8,5,5,203.164,6.824666666666666
1556428080,5,6,4,4,2,2,1.914,0.9358666666666666
1556428140,12,13,9,10,6,6,0.6397333333333334,0.6154666666666667
1556428200,9,11,9,8,5,5,1.1862666666666666,1.2484
1556428260,4,5,3,3,3,3,0.3104,0.3777333333333333
1556428320,3,5,4,3,1,1,0.11226666666666667,0.14386666666666667
1556428380,4,5,4,4,0,0,0.0724,0.124
1556428440,8,10,6,6,6,6,0.4916,0.3910666666666667
1556428500,11,14,15,12,5,5,1.9594666666666667,1.3173333333333332
1556428560,5,6,4,4,3,3,0.41746666666666665,1.048
1556428620,7,8,6,6,5,5,1.2693333333333334,4.386266666666667
1556428680,5,6,4,4,2,2,0.9177333333333333,0.8772
1556428740,10,11,7,8,6,6,0.5533333333333333,0.4246666666666667
1556428800,5,8,6,4,5,5,0.7846666666666666,0.6932
1556428860,4,6,6,6,1,1,0.22746666666666668,0.3446666666666667
1556428920,3,4,3,3,1,1,0.10546666666666667,0.13906666666666667
1556428980,3,4,3,3,0,0,0.0548,0.09106666666666667
1556429040,11,13,10,10,10,10,1.36,1.564
1556429100,5,7,9,7,1,1,0.25626666666666664,0.2412
1556429160,3,4,3,3,1,1,0.12146666666666667,0.1532
1556429220,5,6,4,4,2,2,0.2657333333333333,0.33973333333333333
1556429280,4,5,3,3,2,2,1.7217333333333333,0.9173333333333333
1556429340,12,14,11,11,9,9,0.9401333333333334,0.7728
1556429400,5,6,4,4,3,3,0.34746666666666665,0.4268
1556429460,3,4,4,4,1,1,0.19666666666666666,0.3310666666666667
1556429520,3,4,3,3,0,0,0.0548,0.09106666666666667
1556429580,3,4,3,3,0,0,0.0548,0.09106666666666667
1556429640,4,8,6,4,3,3,0.8741333333333333,0.44453333333333334
1556429700,10,12,9,9,7,7,0.45986666666666665,0.4756
1556429760,3,4,3,3,1,1,0.12146666666666667,0.1532
1556429820,4,5,3,3,2,2,0.28613333333333335,1.2698666666666667
1556429880,6,7,5,5,2,2,1.516,1.0921333333333334
1556429940,5,7,6,5,3,3,0.5165333333333333,0.47013333333333335
1556430000,9,11,8,8,9,9,1.0148,1.6785333333333334
1556430060,4,5,4,4,1,1,0.20106666666666667,0.32226666666666665
1556430120,5,6,5,5,2,2,0.32306666666666667,1.08
1556430180,3,4,4,4,0,0,0.24853333333333333,0.08373333333333334
1556430240,9,11,11,9,5,5,1.0444,1.3756
1556430300,10,12,8,8,7,7,0.5701333333333334,0.45613333333333334
1556430360,3,4,3,3,1,1,0.13,0.19373333333333334
1556430420,3,4,3,3,0,0,0.0548,0.07986666666666667
1556430480,7,8,5,5,6,6,1.9104,1.3504
1556430540,5,6,7,7,1,1,0.25453333333333333,0.27
1556430600,10,12,8,8,7,7,0.7245333333333334,0.652
1556430660,6,7,5,5,3,3,2.6028,1.3401333333333334
1556430720,4,4,4,4,0,0,0.058666666666666666,0.11013333333333333
1556430780,6,8,8,7,3,3,0.6646666666666666,0.38986666666666664
1556430840,3,4,3,3,1,1,0.13266666666666665,0.16306666666666667
1556430900,9,11,7,7,7,7,0.5481333333333334,0.4432
1556430960,3,4,3,3,0,0,0.08253333333333333,0.08573333333333333
1556431020,3,4,3,3,0,0,0.0548,0.07986666666666667
1556431080,7,9,8,6,6,6,2.127066666666667,2.5282666666666667
1556431140,3,4,3,3,1,1,0.13266666666666665,0.17813333333333334
1556431200,10,12,8,8,8,8,0.8188,1.4576
1556431260,4,5,4,4,0,0,0.26626666666666665,0.4448
1556431320,3,4,3,3,0,0,0.0548,0.054
1556431380,6,7,8,8,3,3,0.6962666666666667,0.43706666666666666
1556431440,3,4,3,3,1,1,0.10226666666666667,0.1508
1556431500,5,7,4,4,1,1,0.25506666666666666,0.124
1556431560,7,9,6,6,6,6,0.3756,0.3892
1556431620,6,7,5,5,3,3,2.018666666666667,1.6738666666666666
1556431680,10,12,11,9,7,7,3.0838666666666668,3.069733333333333
1556431740,3,3,2,3,1,1,0.07173333333333333,0.142
1556431800,3,4,3,3,1,1,0.09373333333333334,0.11026666666666667
