time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,1,2,0,0,0,0,0.012266666666666667,0.012
1556240460,3,3,1,2,2,2,1.2877333333333334,0.0376
1556240520,3,5,4,3,1,1,1.6544,0.012
1556240580,1,3,1,1,0,0,0.0364,0.0
1556240640,4,6,0,0,3,3,0.49546666666666667,0.08053333333333333
1556240700,1,2,0,0,0,0,0.012266666666666667,0.012
1556240760,3,5,4,4,1,1,1.8096,0.012
1556240820,1,2,0,0,0,0,0.012266666666666667,0.012
1556240880,2,3,0,0,1,1,0.3994666666666667,0.0232
1556240940,3,5,0,0,2,2,0.10826666666666666,0.0844
1556241000,2,3,0,0,1,1,0.3994666666666667,0.012
1556241060,1,2,0,0,0,0,0.012266666666666667,0.012
1556241120,1,1,0,0,0,0,0.0061333333333333335,0.012
1556241180,1,2,0,0,0,0,0.012266666666666667,0.012
1556241240,6,8,3,3,5,5,0.8096,2.1326666666666667
1556241300,1,2,0,0,0,0,0.012266666666666667,0.012
1556241360,2,3,1,1,1,1,1.2274666666666667,0.0192
1556241420,1,2,0,0,0,0,0.012266666666666667,0.0232
1556241480,1,2,0,0,0,0,0.012266666666666667,0.012
1556241540,5,7,3,3,2,2,0.162,0.116
1556241600,1,2,0,0,0,0,0.012266666666666667,0.012
1556241660,4,5,9,9,1,1,1.8130666666666666,0.0232
1556241720,4,6,6,4,2,2,1.2413333333333334,0.8016
1556241780,4,6,3,2,2,2,0.15653333333333333,0.07653333333333333
1556241840,1,1,1,1,0,0,0.019333333333333334,0.012
1556241900,1,2,0,0,0,0,0.012266666666666667,0.012
1556241960,1,2,0,0,0,0,0.012266666666666667,0.012
1556242020,1,2,0,0,0,0,0.012266666666666667,0.012
1556242080,3,5,0,0,2,2,0.10826666666666666,0.058133333333333335
1556242140,1,2,0,0,0,0,0.012266666666666667,0.027066666666666666
1556242200,1,2,0,0,0,0,0.012266666666666667,0.012
1556242260,1,2,0,0,2,2,1.2877333333333334,0.012
1556242320,1,2,0,0,0,0,0.012266666666666667,0.012
1556242380,2,2,0,0,2,2,0.04613333333333333,0.058133333333333335
1556242440,4,6,3,3,4,4,0.7792,2.0132
1556242500,1,2,0,0,0,0,0.012266666666666667,0.012
1556242560,4,4,4,5,0,0,1.1172,0.0376
1556242620,1,2,0,0,0,0,0.012266666666666667,0.012
1556242680,3,5,0,0,2,2,0.10826666666666666,0.058133333333333335
1556242740,1,2,0,0,0,0,0.012266666666666667,0.027066666666666666
1556242800,1,2,0,0,0,0,0.012266666666666667,0.012
1556242860,1,2,0,0,0,0,0.012266666666666667,0.012
1556242920,1,3,1,1,0,0,0.21413333333333334,0.0232
1556242980,4,7,3,3,3,3,0.22693333333333332,0.1
1556243040,3,5,2,2,2,2,0.6438666666666667,0.8021333333333334
1556243100,1,2,0,0,0,0,0.012266666666666667,0.012
1556243160,1,2,0,0,1,1,1.2274666666666667,0.012
1556243220,1,2,0,0,1,1,0.03626666666666667,0.012
1556243280,6,8,4,4,6,6,3.8512,2.7485333333333335
1556243340,3,5,2,2,2,2,0.6553333333333333,0.8172
1556243400,3,2,1,2,0,0,0.0061333333333333335,0.0376
1556243460,2,4,3,3,0,0,0.8669333333333333,0.012
1556243520,6,8,4,4,6,6,3.6213333333333333,1.2869333333333333
1556243580,2,5,4,3,0,0,0.0852,0.0552
1556243640,1,2,0,0,0,0,0.012266666666666667,0.012
1556243700,1,2,0,0,0,0,0.012266666666666667,0.012
1556243760,1,2,0,0,0,0,0.012266666666666667,0.012
1556243820,3,5,0,0,2,2,0.10826666666666666,0.06933333333333333
1556243880,1,2,0,0,0,0,0.012266666666666667,0.012
1556243940,1,2,0,0,0,0,0.012266666666666667,0.027066666666666666
1556244000,1,2,0,0,0,0,0.012266666666666667,0.012
1556244060,1,2,0,0,2,2,1.2877333333333334,0.012
1556244120,6,8,5,4,4,4,0.8934666666666666,0.8549333333333333
1556244180,1,2,0,0,0,0,0.012266666666666667,0.012
1556244240,2,3,1,1,0,0,0.012266666666666667,0.0304
1556244300,2,4,3,3,0,0,0.8669333333333333,0.012
1556244360,1,2,0,0,0,0,0.012266666666666667,0.012
1556244420,7,9,4,4,5,5,0.8816,1.9216
1556244480,1,2,0,0,0,0,0.012266666666666667,0.012
1556244540,2,3,1,1,0,0,0.012266666666666667,0.03426666666666667
1556244600,2,3,1,1,0,0,0.012266666666666667,0.0304
1556244660,1,2,0,0,0,0,0.012266666666666667,0.012
1556244720,5,7,2,2,4,4,0.3276,0.9032
1556244780,1,2,0,0,1,1,0.03626666666666667,0.012
1556244840,2,3,1,1,0,0,0.012266666666666667,0.0304
1556244900,1,2,0,0,0,0,0.012266666666666667,0.012
1556244960,3,5,0,0,3,3,1.3234666666666666,0.058133333333333335
1556245020,1,2,0,0,0,0,0.012266666666666667,0.012
1556245080,1,2,0,0,0,0,0.012266666666666667,0.012
1556245140,1,2,0,0,0,0,0.012266666666666667,0.027066666666666666
1556245200,2,4,3,3,0,0,0.8004,0.012
1556245260,3,5,0,0,2,2,0.10826666666666666,0.06933333333333333
1556245320,1,3,1,1,0,0,0.21413333333333334,0.0232
1556245380,1,3,1,1,1,1,0.0604,0.012
1556245440,1,2,0,0,0,0,0.012266666666666667,0.012
