time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,6,7,6,6,6,6,0.1976,0.3353333333333333
1556427660,3,4,4,4,1,1,0.17973333333333333,0.1904
1556427720,8,10,7,7,8,8,0.3725333333333333,0.3704
1556427780,3,5,4,4,1,1,0.0992,0.0988
1556427840,6,8,6,6,6,6,0.20373333333333332,0.3353333333333333
1556427900,3,5,4,4,1,1,0.12373333333333333,0.11986666666666666
1556427960,6,8,6,6,6,6,0.28426666666666667,0.42693333333333333
1556428020,4,6,4,4,3,3,0.24186666666666667,0.13106666666666666
1556428080,6,7,6,6,6,6,0.2064,0.34186666666666665
1556428140,4,5,5,5,1,1,0.14373333333333332,0.14893333333333333
1556428200,7,8,7,7,6,6,0.22293333333333334,0.36373333333333335
1556428260,3,5,4,4,1,1,0.19813333333333333,0.21146666666666666
1556428320,8,9,7,7,8,8,0.3384,0.32466666666666666
1556428380,3,4,4,4,1,1,0.11146666666666667,0.11986666666666666
1556428440,7,8,6,6,8,8,0.2096,0.3473333333333333
1556428500,4,5,5,5,1,1,0.1744,0.176
1556428560,6,8,6,6,6,6,0.24746666666666667,0.3848
1556428620,4,6,4,4,3,3,0.24186666666666667,0.11986666666666666
1556428680,6,8,6,6,6,6,0.20373333333333332,0.32413333333333333
1556428740,3,4,4,4,1,1,0.11146666666666667,0.13493333333333332
1556428800,6,7,6,6,6,6,0.2344,0.3774666666666667
1556428860,3,5,4,4,1,1,0.16133333333333333,0.16933333333333334
1556428920,7,8,6,6,8,8,0.3218666666666667,0.3353333333333333
1556428980,4,5,5,5,1,1,0.1464,0.1516
1556429040,7,8,7,7,6,6,0.26053333333333334,0.3914666666666667
1556429100,3,4,4,4,1,1,0.1264,0.1376
1556429160,7,8,7,7,6,6,0.24906666666666666,0.3777333333333333
1556429220,4,5,4,4,3,3,0.23573333333333332,0.11986666666666666
1556429280,6,7,6,6,6,6,0.1976,0.3353333333333333
1556429340,7,9,6,6,6,6,0.4592,1.1194666666666666
1556429400,6,7,6,6,6,6,0.1976,0.3353333333333333
1556429460,4,6,4,4,3,3,0.17333333333333334,0.19253333333333333
1556429520,7,8,6,6,8,8,0.3218666666666667,0.34653333333333336
1556429580,3,4,4,4,1,1,0.12986666666666666,0.14093333333333333
1556429640,6,7,6,6,6,6,0.1976,0.34653333333333336
1556429700,3,4,4,4,1,1,0.11146666666666667,0.106
1556429760,6,7,6,6,6,6,0.24133333333333334,0.4048
1556429820,5,7,5,5,3,3,0.27573333333333333,0.138
1556429880,7,8,7,7,6,6,0.29906666666666665,1.5473333333333332
1556429940,4,5,5,5,1,1,0.1192,0.12786666666666666
1556430000,6,7,6,6,6,6,0.21253333333333332,0.35306666666666664
1556430060,3,4,4,4,1,1,0.1552,0.18053333333333332
1556430120,7,8,6,6,8,8,0.3586666666666667,0.3774666666666667
1556430180,4,6,5,5,1,1,0.14986666666666668,0.13386666666666666
1556430240,6,7,6,6,6,6,0.1976,0.3353333333333333
1556430300,3,4,4,4,1,1,0.1176,0.12866666666666668
1556430360,6,7,6,6,6,6,0.24133333333333334,0.4048
1556430420,4,5,4,4,3,3,0.27253333333333335,0.1732
1556430480,8,9,8,7,12,12,0.5314666666666666,1.2448
1556430540,3,5,4,4,1,1,0.1176,0.12373333333333333
1556430600,7,8,7,7,6,6,0.22986666666666666,0.34933333333333333
1556430660,4,6,5,5,1,1,0.20586666666666667,0.2044
1556430720,7,9,6,6,8,8,0.328,0.3353333333333333
1556430780,4,6,5,5,1,1,0.15866666666666668,0.12893333333333334
1556430840,6,7,6,6,6,6,0.1792,0.3142666666666667
1556430900,3,5,4,4,1,1,0.1264,0.1352
1556430960,7,8,7,7,6,6,0.2869333333333333,0.4686666666666667
1556431020,5,6,5,5,3,3,0.2618666666666667,0.13386666666666666
1556431080,7,8,9,9,12,12,1.152,3.6858666666666666
1556431140,3,4,4,4,1,1,0.11146666666666667,0.12373333333333333
1556431200,6,7,6,6,6,6,0.216,0.3564
1556431260,3,4,4,4,1,1,0.1552,0.14666666666666667
1556431320,7,8,6,6,8,8,0.3218666666666667,0.3353333333333333
1556431380,3,4,4,4,1,1,0.11146666666666667,0.0972
1556431440,7,8,7,7,6,6,0.21146666666666666,0.32826666666666665
1556431500,5,6,5,5,3,3,0.1864,0.1992
1556431560,6,7,6,6,6,6,0.24133333333333334,0.3848
1556431620,5,6,5,5,3,3,0.2618666666666667,0.13386666666666666
1556431680,6,7,6,6,6,6,0.2064,0.35306666666666664
1556431740,3,5,4,4,1,1,0.14213333333333333,0.1448
1556431800,7,9,7,7,6,6,0.26586666666666664,0.40586666666666665
1556431860,3,4,4,4,1,1,0.1552,0.18053333333333332
1556431920,7,8,6,6,8,8,0.33066666666666666,0.3544
1556431980,3,4,4,4,1,1,0.11146666666666667,0.11986666666666666
1556432040,6,7,6,6,6,6,0.216,0.3564
1556432100,3,4,4,4,1,1,0.1176,0.10866666666666666
1556432160,6,7,6,6,6,6,0.24746666666666667,0.37333333333333335
1556432220,4,5,4,4,3,3,0.24186666666666667,0.0972
1556432280,7,8,7,7,6,6,0.17893333333333333,0.24346666666666666
1556432340,5,6,7,7,1,1,0.1824,0.2436
1556432400,3,4,4,4,1,1,0.09333333333333334,0.10493333333333334
1556432460,7,8,7,7,6,6,0.29173333333333334,0.41373333333333334
1556432520,5,6,4,4,5,5,0.20506666666666667,0.09586666666666667
1556432580,6,7,6,6,6,6,0.24906666666666666,0.38906666666666667
1556432640,4,5,5,5,1,1,0.11333333333333333,0.11893333333333334
1556432700,6,7,6,6,6,6,0.2368,0.3568
1556432760,3,4,4,4,1,1,0.13093333333333335,0.1656
1556432820,7,8,6,6,8,8,0.34613333333333335,0.35026666666666667
1556432880,4,6,5,5,1,1,0.2044,1.3202666666666667
1556432940,7,8,7,7,10,10,0.5005333333333334,1.254
1556433000,3,4,4,4,1,1,0.0872,0.10493333333333334
1556433060,6,7,6,6,6,6,0.2656,0.38853333333333334
1556433120,5,6,5,5,3,3,0.3005333333333333,0.18626666666666666
1556433180,6,8,6,6,6,6,0.23413333333333333,0.3390666666666667
1556433240,4,5,5,5,1,1,0.11333333333333333,0.13013333333333332
1556433300,6,7,6,6,6,6,0.22186666666666666,0.3390666666666667
1556433360,3,4,4,4,1,1,0.12213333333333333,0.1516
1556433420,7,9,6,6,8,8,0.39786666666666665,0.4064
1556433480,4,5,5,5,1,1,0.10373333333333333,0.09293333333333334
1556433540,7,9,6,6,8,8,0.24,0.3661333333333333
1556433600,3,4,4,4,1,1,0.0872,0.10493333333333334
1556433660,6,7,6,6,6,6,0.2850666666666667,0.4456
1556433720,4,5,4,4,3,3,0.2376,0.13013333333333332
1556433780,6,8,6,6,6,6,0.228,0.3390666666666667
1556433840,3,4,4,4,1,1,0.0872,0.08226666666666667
1556433900,7,8,7,7,6,6,0.248,0.3416
1556433960,4,6,5,5,1,1,0.17386666666666667,0.19653333333333334
1556434020,7,8,6,6,8,8,0.3722666666666667,0.3642666666666667
1556434080,4,5,5,5,1,1,0.11333333333333333,0.11893333333333334
1556434140,6,8,6,6,6,6,0.228,0.3314666666666667
1556434200,3,4,4,4,1,1,0.1056,0.1372
1556434260,6,7,6,6,6,6,0.23946666666666666,0.39693333333333336
1556434320,5,6,5,5,3,3,0.2637333333333333,0.13293333333333332
1556434380,6,7,6,6,6,6,0.23066666666666666,0.368
1556434440,3,5,4,4,1,1,0.09946666666666666,0.10493333333333334
1556434500,6,7,6,6,6,6,0.24026666666666666,0.3374666666666667
1556434560,3,4,4,4,1,1,0.1048,0.1404
1556434620,8,9,6,6,10,10,0.3930666666666667,0.394
1556434680,3,4,4,4,1,1,0.0872,0.10493333333333334
1556434740,7,9,7,7,6,6,0.2909333333333333,0.41026666666666667
1556434800,4,6,5,5,1,1,0.1256,0.11893333333333334
1556434860,6,8,6,6,6,6,0.2368,0.3568
1556434920,5,7,5,5,3,3,0.2786666666666667,0.16186666666666666
1556434980,6,7,6,6,6,6,0.22186666666666666,0.3390666666666667
1556435040,3,4,4,4,1,1,0.124,0.14706666666666668
1556435100,7,9,7,7,6,6,0.2541333333333333,0.35306666666666664
1556435160,3,5,4,4,1,1,0.10213333333333334,0.13386666666666666
1556435220,7,9,6,6,8,8,0.3872,0.3705333333333333
1556435280,3,4,4,4,1,1,0.096,0.12266666666666666
1556435340,6,8,6,6,6,6,0.2464,0.3752
1556435400,3,5,4,4,1,1,0.10213333333333334,0.13386666666666666
1556435460,6,7,6,6,6,6,0.23946666666666666,0.39693333333333336
1556435520,4,5,4,4,3,3,0.2464,0.13666666666666666
1556435580,7,8,7,7,6,6,0.2936,0.43666666666666665
1556435640,5,6,5,5,3,3,0.10693333333333334,0.0984
1556435700,6,7,6,6,6,6,0.22186666666666666,0.3390666666666667
1556435760,4,5,5,5,1,1,0.10986666666666667,0.1156
1556435820,7,8,6,6,8,8,0.3994666666666667,0.41186666666666666
1556435880,4,6,5,5,1,1,0.186,1.308
1556435940,7,9,7,7,6,6,0.22986666666666666,0.3532
1556436000,3,4,4,4,1,1,0.1176,0.11986666666666666
1556436060,6,7,6,6,6,6,0.2064,0.3642666666666667
1556436120,4,6,4,4,3,3,0.3197333333333333,0.20493333333333333
1556436180,6,7,6,6,6,6,0.20373333333333332,0.32413333333333333
1556436240,3,5,4,4,1,1,0.1176,0.11986666666666666
