time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,5,8,3,3,6,6,0.5270666666666667,0.3605333333333333
1556427660,6,9,3,3,10,10,1.1192,0.6044
1556427720,7,10,3,3,8,8,1.2868,0.6548
1556427780,6,9,3,3,7,7,0.71,0.5516
1556427840,7,11,5,5,11,11,2.7050666666666667,1.8078666666666667
1556427900,16,16,25,25,23,23,14.234266666666667,95.32626666666667
1556427960,14,17,20,20,10,10,3.7012,2.2488
1556428020,12,15,16,16,6,6,0.8976,0.5250666666666667
1556428080,13,16,16,16,5,5,0.5498666666666666,0.4868
1556428140,12,15,16,16,6,6,1.2886666666666666,0.9837333333333333
1556428200,7,9,5,5,9,9,1.1366666666666667,1.1005333333333334
1556428260,7,10,5,5,8,8,1.5894666666666666,0.6417333333333334
1556428320,5,8,5,5,5,5,0.40226666666666666,0.30946666666666667
1556428380,6,9,5,5,6,6,0.48786666666666667,0.3778666666666667
1556428440,6,9,5,5,6,6,0.5582666666666667,0.3612
1556428500,9,12,5,5,23,23,1.5204,0.9950666666666667
1556428560,7,10,5,5,6,6,1.262,0.6474666666666666
1556428620,5,8,3,3,6,6,0.5692,0.3290666666666667
1556428680,5,8,3,3,5,5,0.43546666666666667,0.3636
1556428740,5,7,3,3,6,6,0.5718666666666666,0.3529333333333333
1556428800,6,9,3,3,10,10,1.0264,0.6174666666666667
1556428860,6,9,3,3,6,6,1.4249333333333334,0.8661333333333333
1556428920,5,8,3,3,6,6,0.9274666666666667,0.3612
1556428980,5,8,3,3,5,5,0.4145333333333333,0.34026666666666666
1556429040,5,8,3,3,6,6,0.5901333333333333,0.3412
1556429100,6,9,3,3,10,10,1.2525333333333333,0.654
1556429160,6,9,3,3,7,7,1.4612,0.6276
1556429220,5,8,3,3,5,5,0.5064,0.2773333333333333
1556429280,5,8,3,3,5,5,0.41813333333333336,0.3724
1556429340,5,8,3,3,6,6,0.5692,0.35533333333333333
1556429400,6,9,3,3,9,9,0.8717333333333334,0.6489333333333334
1556429460,6,9,3,3,7,7,1.4704,0.6162666666666666
1556429520,5,8,3,3,6,6,0.6212,0.3724
1556429580,5,8,3,3,6,6,0.5154666666666666,0.3716
1556429640,6,9,3,3,8,8,0.46746666666666664,0.4168
1556429700,6,9,3,3,10,10,1.1790666666666667,0.6444
1556429760,6,9,3,3,7,7,1.8437333333333332,0.6448
1556429820,5,8,3,3,6,6,0.5068,0.3292
1556429880,7,10,6,6,8,8,1.5957333333333332,0.9161333333333334
1556429940,7,10,6,6,6,6,0.5550666666666667,0.37146666666666667
1556430000,7,10,6,6,10,10,1.0738666666666667,0.6456
1556430060,7,10,6,6,7,7,1.5381333333333334,0.6561333333333333
1556430120,7,10,6,6,5,5,0.4882666666666667,0.43506666666666666
1556430180,4,7,3,3,5,5,0.4086666666666667,0.27746666666666664
1556430240,5,8,3,3,6,6,0.5277333333333334,0.36373333333333335
1556430300,6,9,3,3,9,9,0.8596,0.6224
1556430360,7,10,3,3,10,10,1.3508,0.7070666666666666
1556430420,5,8,3,3,5,5,0.4145333333333333,0.3404
1556430480,5,8,3,3,6,6,0.5836,0.3725333333333333
1556430540,5,8,3,3,5,5,0.4145333333333333,0.34426666666666667
1556430600,6,9,3,3,10,10,1.3528,0.6316
1556430660,6,9,3,3,7,7,1.5981333333333334,0.8144
1556430720,5,8,3,3,5,5,0.43546666666666667,0.3412
1556430780,5,8,3,3,6,6,1.0913333333333333,0.3408
1556430840,5,8,3,3,5,5,0.44426666666666664,0.36133333333333334
1556430900,6,9,3,3,10,10,1.1276,0.6332
1556430960,6,9,3,3,7,7,1.4,0.6144
1556431020,5,7,3,3,6,6,0.5018666666666667,0.3492
1556431080,5,8,3,3,5,5,0.5826666666666667,0.3138666666666667
1556431140,4,7,3,3,5,5,0.3701333333333333,0.3672
1556431200,6,9,3,3,10,10,0.9638666666666666,0.6466666666666666
1556431260,6,9,3,3,6,6,1.3704,0.8326666666666667
1556431320,6,7,3,3,9,9,0.7161333333333333,0.40786666666666666
1556431380,5,8,3,3,6,6,0.5286666666666666,0.3290666666666667
1556431440,5,8,3,3,5,5,0.44426666666666664,0.3724
1556431500,6,9,3,3,10,10,0.9649333333333333,0.61
1556431560,6,9,3,3,6,6,1.2701333333333333,0.6265333333333334
1556431620,5,8,3,3,6,6,0.5374666666666666,0.3602666666666667
1556431680,5,8,3,3,6,6,0.6322666666666666,0.3292
1556431740,5,8,3,3,5,5,0.4145333333333333,0.35533333333333333
1556431800,6,9,3,3,10,10,1.1121333333333334,0.6557333333333333
1556431860,6,9,3,3,6,6,1.3737333333333333,0.8014666666666667
1556431920,7,10,6,6,8,8,1.582,2.0197333333333334
1556431980,6,9,6,6,5,5,0.45693333333333336,0.32613333333333333
1556432040,7,10,6,6,5,5,0.4530666666666667,0.37
1556432100,7,10,6,6,10,10,1.2554666666666667,0.6798666666666666
1556432160,7,10,6,6,6,6,1.3634666666666666,0.7101333333333333
1556432220,5,8,3,3,6,6,0.6616,0.3290666666666667
1556432280,5,7,3,3,6,6,0.6402666666666667,0.3524
1556432340,5,8,3,3,5,5,0.42333333333333334,0.3641333333333333
1556432400,6,9,3,3,10,10,1.0826666666666667,0.6218666666666667
1556432460,6,9,3,3,6,6,1.3736,0.6224
1556432520,6,9,3,3,9,9,0.8190666666666667,0.3934666666666667
1556432580,5,8,3,3,5,5,0.6001333333333333,0.5345333333333333
1556432640,6,9,5,5,7,7,1.6750666666666667,1.3517333333333332
1556432700,7,10,5,5,10,10,1.1376,0.6209333333333333
1556432760,7,9,5,5,7,7,1.4382666666666666,0.6589333333333334
1556432820,6,9,5,5,6,6,0.6616,0.3778666666666667
1556432880,6,9,5,5,6,6,0.518,0.40613333333333335
1556432940,4,7,3,3,5,5,0.4086666666666667,0.3036
1556433000,6,9,3,3,10,10,0.9162666666666667,0.6549333333333334
1556433060,6,9,3,3,7,7,1.4497333333333333,0.8222666666666667
1556433120,5,6,3,3,6,6,0.4532,0.3524
1556433180,5,8,3,3,6,6,0.47946666666666665,0.33786666666666665
1556433240,5,8,3,3,6,6,0.5277333333333334,0.3524
1556433300,7,10,3,3,13,13,0.9109333333333334,0.6532
1556433360,6,9,3,3,7,7,1.2929333333333333,0.6588
1556433420,5,7,3,3,6,6,0.4713333333333333,0.3292
1556433480,5,8,3,3,6,6,0.6204,0.3525333333333333
1556433540,5,8,3,3,6,6,0.4704,0.3642666666666667
1556433600,6,9,3,3,10,10,1.0777333333333334,0.6085333333333334
1556433660,6,9,3,3,7,7,1.564,0.6657333333333333
1556433720,5,8,3,3,6,6,0.4804,0.35
1556433780,5,8,3,3,6,6,0.4706666666666667,0.3404
1556433840,5,8,3,3,5,5,0.592,0.3138666666666667
1556433900,6,8,3,3,9,9,0.7881333333333334,0.6102666666666666
1556433960,6,9,3,3,7,7,1.286,0.6422666666666667
1556434020,5,8,3,3,5,5,0.4145333333333333,0.3516
1556434080,5,6,3,3,6,6,0.9916,0.3725333333333333
1556434140,5,8,3,3,6,6,0.6913333333333334,0.34426666666666667
1556434200,6,9,3,3,9,9,0.8717333333333334,0.6318666666666667
1556434260,8,11,6,6,9,9,2.465333333333333,1.1750666666666667
1556434320,8,11,6,6,8,8,0.506,0.4264
1556434380,7,10,6,6,6,6,0.5244,0.3468
1556434440,7,10,6,6,6,6,0.5629333333333333,0.3877333333333333
1556434500,8,11,6,6,10,10,1.4325333333333334,0.898
1556434560,6,8,3,3,7,7,1.7788,0.8306666666666667
1556434620,5,8,3,3,6,6,0.5990666666666666,0.3404
1556434680,5,8,3,3,6,6,0.5365333333333333,0.36133333333333334
1556434740,5,8,3,3,5,5,0.4145333333333333,0.35546666666666665
1556434800,6,9,3,3,10,10,0.956,0.6269333333333333
1556434860,5,8,3,3,6,6,1.4093333333333333,0.7946666666666666
1556434920,5,8,3,3,5,5,0.43546666666666667,0.3524
1556434980,5,8,3,3,6,6,0.5177333333333334,0.34026666666666666
1556435040,5,5,3,3,5,5,0.42586666666666667,0.3724
1556435100,7,10,3,3,12,12,2.0732,1.3988
1556435160,6,9,3,3,7,7,1.4368,0.6526666666666666
1556435220,6,9,3,3,8,8,0.4553333333333333,0.424
1556435280,5,8,3,3,6,6,0.7341333333333333,0.3636
1556435340,5,8,3,3,6,6,0.5990666666666666,0.35533333333333333
1556435400,6,9,3,3,10,10,1.2062666666666666,0.8326666666666667
1556435460,6,9,3,3,7,7,1.432,0.6545333333333333
1556435520,5,8,3,3,5,5,0.6210666666666667,0.5466666666666666
1556435580,5,8,3,3,6,6,0.8264,0.3602666666666667
1556435640,5,5,3,3,5,5,0.41706666666666664,0.3524
1556435700,6,9,3,3,10,10,0.9965333333333334,0.6173333333333333
1556435760,6,9,3,3,6,6,1.2454666666666667,0.6397333333333334
1556435820,4,7,3,3,5,5,0.5152,0.2885333333333333
1556435880,5,8,3,3,6,6,0.5496,0.3524
1556435940,5,8,3,3,5,5,0.42333333333333334,0.3641333333333333
1556436000,6,9,3,3,10,10,1.0677333333333334,0.6494666666666666
1556436060,7,10,6,6,8,8,2.594533333333333,2.518133333333333
1556436120,7,10,6,6,6,6,0.5830666666666666,0.37
1556436180,8,11,6,6,9,9,0.5576,0.45093333333333335
1556436240,7,10,6,6,6,6,0.5001333333333333,0.3588
1556436300,8,11,6,6,10,10,1.3816,1.0718666666666667
1556436360,6,9,3,3,6,6,1.3413333333333333,0.6610666666666667
1556436420,5,8,3,3,6,6,0.6674666666666667,0.34026666666666666
1556436480,5,8,3,3,6,6,0.6028,0.3292
1556436540,5,8,3,3,6,6,0.5110666666666667,0.37533333333333335
1556436600,6,9,3,3,10,10,1.1968,0.6313333333333333
