time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,5,8,3,3,8,8,0.6194666666666667,0.34053333333333335
1556427660,6,9,3,3,8,8,1.4568,0.6428
1556427720,5,8,3,3,5,5,0.4268,0.34373333333333334
1556427780,6,9,3,3,9,9,0.5778666666666666,0.41333333333333333
1556427840,5,8,3,3,6,6,0.6105333333333334,0.33253333333333335
1556427900,5,9,3,3,9,9,1.0553333333333332,0.3602666666666667
1556427960,6,9,3,3,8,8,1.4457333333333333,0.6628
1556428020,7,10,6,6,8,8,1.5737333333333334,0.9105333333333333
1556428080,7,10,6,6,5,5,0.462,0.36773333333333336
1556428140,7,10,6,6,6,6,0.7517333333333334,0.37933333333333336
1556428200,7,10,6,6,7,7,0.5436,0.36133333333333334
1556428260,7,10,6,6,8,8,1.54,0.7081333333333333
1556428320,5,8,3,3,6,6,0.5026666666666667,0.3413333333333333
1556428380,5,8,3,3,6,6,0.48,0.3612
1556428440,4,7,3,3,5,5,0.4205333333333333,0.3032
1556428500,5,8,3,3,8,8,0.6144,0.3490666666666667
1556428560,6,9,3,3,7,7,1.2202666666666666,0.6665333333333333
1556428620,5,6,3,3,6,6,0.4968,0.3490666666666667
1556428680,5,8,3,3,5,5,0.4268,0.34373333333333334
1556428740,5,8,3,3,6,6,0.524,0.37293333333333334
1556428800,6,9,3,3,11,11,0.6498666666666667,0.4104
1556428860,6,6,3,3,7,7,1.3528,0.8574666666666667
1556428920,5,8,3,3,6,6,0.8608,0.3413333333333333
1556428980,5,8,3,3,5,5,0.42333333333333334,0.3602666666666667
1556429040,5,8,3,3,6,6,0.5186666666666667,0.34373333333333334
1556429100,5,8,3,3,8,8,0.6857333333333333,0.36906666666666665
1556429160,6,9,3,3,7,7,1.2032,0.6244
1556429220,5,8,3,3,6,6,0.5886666666666667,0.3602666666666667
1556429280,5,8,3,3,5,5,0.4356,0.3413333333333333
1556429340,4,7,3,3,5,5,0.46373333333333333,0.3236
1556429400,5,8,3,3,7,7,0.526,0.3317333333333333
1556429460,6,9,3,3,8,8,1.3949333333333334,0.6550666666666667
1556429520,5,6,3,3,6,6,0.64,0.34373333333333334
1556429580,5,8,3,3,6,6,0.5370666666666667,0.3604
1556429640,5,8,3,3,5,5,0.4356,0.3526666666666667
1556429700,6,7,3,3,12,12,2.5613333333333332,1.1232
1556429760,16,17,23,23,22,22,13.139333333333333,92.65253333333334
1556429820,14,17,17,17,9,9,3.5974666666666666,2.2297333333333333
1556429880,14,17,16,16,6,6,0.7218666666666667,0.5682666666666667
1556429940,14,17,16,16,5,5,0.5322666666666667,0.47386666666666666
1556430000,13,16,16,16,8,8,0.9930666666666667,0.7624
1556430060,7,8,5,5,8,8,1.1322666666666668,1.034
1556430120,7,10,5,5,7,7,1.3552,0.6372
1556430180,6,9,5,5,6,6,0.5986666666666667,0.3612
1556430240,6,9,5,5,6,6,0.7929333333333334,0.38893333333333335
1556430300,6,9,5,5,6,6,0.44533333333333336,0.32066666666666666
1556430360,8,11,5,5,19,19,1.0856,0.8786666666666667
