time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,2,2,2,2,0,0,0.0072,0.0184
1556240460,2,2,2,2,0,0,0.027066666666666666,0.0072
1556240520,2,2,2,2,0,0,0.07066666666666667,0.07626666666666666
1556240580,2,2,2,2,0,0,0.0072,0.0296
1556240640,3,3,2,2,2,2,0.1364,0.0412
1556240700,2,2,2,2,0,0,0.0072,0.0184
1556240760,2,2,2,2,0,0,0.04786666666666667,0.0412
1556240820,2,2,2,2,0,0,0.0072,0.0184
1556240880,2,2,2,2,0,0,0.02493333333333333,0.0072
1556240940,3,3,2,2,2,2,0.1,0.033466666666666665
1556241000,2,2,2,2,0,0,0.0072,0.0184
1556241060,2,2,2,2,0,0,0.03213333333333333,0.046266666666666664
1556241120,2,2,2,2,0,0,0.0072,0.0184
1556241180,2,2,2,2,0,0,0.0072,0.0184
1556241240,3,3,2,2,2,2,0.1364,0.0484
1556241300,2,2,2,2,0,0,0.0072,0.0296
1556241360,2,2,2,2,0,0,0.0072,0.0184
1556241420,2,2,2,2,0,0,0.0072,0.0184
1556241480,2,2,2,2,0,0,0.0072,0.0184
1556241540,3,3,2,2,2,2,0.1,0.033466666666666665
1556241600,2,2,2,2,0,0,0.03426666666666667,0.046266666666666664
1556241660,2,2,2,2,0,0,0.0072,0.0184
1556241720,2,2,2,2,0,0,0.0072,0.0184
1556241780,2,2,2,2,0,0,0.0072,0.0184
1556241840,3,3,2,2,2,2,0.1,0.0184
1556241900,2,2,2,2,0,0,0.02493333333333333,0.0184
1556241960,2,2,2,2,0,0,0.0072,0.0184
1556242020,2,2,2,2,0,0,0.0072,0.0184
1556242080,2,2,2,2,0,0,0.0144,0.0256
1556242140,3,3,2,2,2,2,0.12493333333333333,0.07253333333333334
1556242200,2,2,2,2,0,0,0.0072,0.0184
1556242260,2,2,2,2,0,0,0.027066666666666666,0.0184
1556242320,2,2,2,2,0,0,0.0436,0.0484
1556242380,2,2,2,2,0,0,0.0072,0.0184
1556242440,3,3,2,2,2,2,0.1,0.0184
1556242500,2,2,2,2,0,0,0.0072,0.0184
1556242560,2,2,2,2,0,0,0.0072,0.0184
1556242620,2,2,2,2,0,0,0.0072,0.0184
1556242680,2,2,2,2,0,0,0.0436,0.0412
1556242740,3,3,2,2,2,2,0.11986666666666666,0.05413333333333333
1556242800,2,2,2,2,0,0,0.0436,0.0484
1556242860,2,2,2,2,0,0,0.0072,0.0296
1556242920,2,2,2,2,0,0,0.0072,0.0184
1556242980,2,2,2,2,0,0,0.0292,0.0184
1556243040,3,3,2,2,2,2,0.1,0.0184
1556243100,2,2,2,2,0,0,0.03426666666666667,0.0368
1556243160,2,2,2,2,0,0,0.0072,0.0184
1556243220,2,2,2,2,0,0,0.0072,0.0184
