time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,5,6,4,4,3,3,3.0358666666666667,1.3222666666666667
1556326860,4,5,4,4,1,1,1.9938666666666667,0.8968
1556326920,4,5,4,4,1,1,1.3313333333333333,0.5586666666666666
1556326980,4,5,4,4,1,1,2.646533333333333,1.1708
1556327040,4,5,4,4,1,1,1.8401333333333334,0.8142666666666667
1556327100,5,6,4,4,3,3,2.7304,1.1154666666666666
1556327160,4,5,4,4,1,1,2.1961333333333335,1.0442666666666667
1556327220,4,5,4,4,1,1,1.8746666666666667,0.8030666666666667
1556327280,4,5,4,4,1,1,2.224,0.9785333333333334
1556327340,4,5,4,4,1,1,1.4713333333333334,0.6666666666666666
1556327400,5,6,4,4,3,3,2.4896,1.0602666666666667
1556327460,4,5,4,4,1,1,1.9102666666666666,0.8318666666666666
1556327520,4,5,4,4,1,1,1.6370666666666667,0.7221333333333333
1556327580,4,5,4,4,1,1,1.0866666666666667,0.48733333333333334
1556327640,4,5,4,4,1,1,2.01,0.8872
1556327700,5,6,4,4,3,3,2.2964,0.9785333333333334
1556327760,4,5,4,4,1,1,2.5009333333333332,1.0722666666666667
1556327820,4,5,4,4,1,1,2.0034666666666667,0.8856
1556327880,4,5,4,4,1,1,3.1344,1.396
1556327940,4,5,4,4,1,1,2.5822666666666665,1.1658666666666666
1556328000,5,6,4,4,3,3,2.5724,1.0506666666666666
1556328060,4,5,4,4,1,1,2.5912,1.0762666666666667
1556328120,4,5,4,4,1,1,1.2801333333333333,0.6492
1556328180,4,5,4,4,1,1,1.8236,0.8238666666666666
1556328240,4,5,4,4,1,1,1.8208,0.8238666666666666
1556328300,9,10,5,5,6,6,4.0616,2.4172
1556328360,5,6,5,5,1,1,1.8993333333333333,0.878
1556328420,8,9,5,5,3,3,2.0866666666666664,0.9792
1556328480,4,5,4,4,1,1,2.5481333333333334,1.1396
1556328540,4,5,4,4,1,1,2.0886666666666667,0.9214666666666667
1556328600,5,6,4,4,3,3,2.869866666666667,1.2213333333333334
1556328660,4,5,4,4,1,1,2.0154666666666667,0.904
1556328720,4,5,4,4,1,1,2.3668,1.0490666666666666
1556328780,4,5,4,4,1,1,2.8510666666666666,1.2509333333333332
1556328840,4,5,4,4,1,1,1.7336,0.7269333333333333
1556328900,9,10,5,5,6,6,3.8625333333333334,2.7181333333333333
1556328960,4,5,4,4,1,1,1.8416,0.8976
1556329020,4,5,4,4,1,1,2.556,1.142
1556329080,5,6,5,5,1,1,2.0437333333333334,1.9762666666666666
1556329140,4,5,4,4,1,1,1.1230666666666667,0.5032
1556329200,5,6,4,4,3,3,2.1010666666666666,0.8856
1556329260,4,5,4,4,1,1,3.167866666666667,1.4224
1556329320,4,5,4,4,1,1,1.2694666666666667,0.5786666666666667
1556329380,8,9,5,5,4,4,2.3512,1.9442666666666666
1556329440,4,5,4,4,1,1,2.7781333333333333,1.2325333333333333
1556329500,5,6,4,4,3,3,1.9202666666666666,0.8150666666666667
1556329560,4,5,4,4,1,1,2.3917333333333333,1.0602666666666667
1556329620,4,5,4,4,1,1,0.8677333333333334,0.4176
1556329680,4,5,4,4,1,1,0.5826666666666667,0.1844
1556329740,4,5,4,4,1,1,1.9113333333333333,0.9334666666666667
1556329800,5,6,4,4,3,3,2.3621333333333334,1.0113333333333334
1556329860,4,5,4,4,1,1,2.2168,0.9785333333333334
1556329920,4,5,4,4,1,1,1.8866666666666667,0.8038666666666666
1556329980,4,5,4,4,1,1,2.6,1.1428
1556330040,4,5,4,4,1,1,1.2689333333333332,0.5586666666666666
1556330100,9,10,5,5,6,6,3.1098666666666666,1.942
1556330160,10,11,7,7,4,4,1.4181333333333332,4.174933333333334
1556330220,8,9,5,5,3,3,3.006266666666667,1.3662666666666667
1556330280,6,5,4,6,1,1,2.5770666666666666,1.1564
1556330340,4,5,4,4,1,1,1.6377333333333333,0.7484
1556330400,5,6,4,4,3,3,2.9074666666666666,1.2381333333333333
1556330460,4,5,4,4,1,1,1.9033333333333333,0.8038666666666666
1556330520,4,5,4,4,1,1,1.2621333333333333,0.5586666666666666
1556330580,4,5,4,4,1,1,1.4568,0.5850666666666666
1556330640,4,5,4,4,1,1,2.4061333333333335,1.102
1556330700,5,6,4,4,3,3,1.7368,0.7453333333333333
1556330760,4,5,4,4,1,1,0.9584,0.404
1556330820,4,5,4,4,1,1,2.3642666666666665,1.0714666666666666
1556330880,4,5,4,4,1,1,3.3644,1.4937333333333334
1556330940,4,5,4,4,1,1,1.834,0.8301333333333333
1556331000,5,6,4,4,3,3,3.324,1.4136
1556331060,4,5,4,4,1,1,1.2942666666666667,0.5738666666666666
1556331120,4,5,4,4,1,1,1.6454666666666666,0.7333333333333333
1556331180,4,5,4,4,1,1,2.9748,1.3318666666666668
1556331240,4,5,4,4,1,1,2.5909333333333335,1.1308
1556331300,5,6,4,4,3,3,2.196,0.9136
1556331360,4,5,4,4,1,1,1.45,0.6404
1556331420,4,5,4,4,1,1,2.4126666666666665,1.0714666666666666
1556331480,4,5,4,4,1,1,1.2533333333333334,0.5394666666666666
1556331540,4,5,4,4,1,1,0.7564,0.2772
1556331600,5,6,4,4,3,3,1.8173333333333332,0.8056
1556331660,4,5,4,4,1,1,2.1932,0.9953333333333333
1556331720,4,5,4,4,1,1,1.54,0.6644
1556331780,4,5,4,4,1,1,1.9486666666666668,0.932
1556331840,4,5,4,4,1,1,1.5278666666666667,0.6668
1556331900,10,11,6,6,8,8,3.4242666666666666,3.2569333333333335
1556331960,5,6,5,5,1,1,1.9045333333333334,0.9005333333333333
1556332020,8,9,5,5,3,3,1.5909333333333333,0.7837333333333333
1556332080,5,6,5,5,1,1,2.1742666666666666,1.9858666666666667
1556332140,4,5,4,4,1,1,1.8962666666666668,0.8958666666666667
1556332200,5,6,4,4,3,3,2.1106666666666665,0.9168
1556332260,4,5,4,4,1,1,2.2497333333333334,1.0129333333333332
1556332320,4,5,4,4,1,1,2.9530666666666665,1.3422666666666667
1556332380,8,9,5,5,4,4,2.4225333333333334,1.9946666666666666
1556332440,4,5,4,4,1,1,1.6644,0.7741333333333333
1556332500,5,6,4,4,3,3,2.4884,1.0602666666666667
1556332560,4,5,4,4,1,1,2.0145333333333335,0.9072
1556332620,4,5,4,4,1,1,1.8068,0.7493333333333333
1556332680,5,6,6,6,1,1,2.9048,1.3142666666666667
1556332740,4,5,4,4,1,1,2.6044,1.1570666666666667
1556332800,5,6,4,4,3,3,2.3132,0.9897333333333334
1556332860,4,5,4,4,1,1,2.4518666666666666,1.0490666666666666
1556332920,4,5,4,4,1,1,2.0281333333333333,0.8310666666666666
1556332980,4,5,4,4,1,1,2.0149333333333335,0.9801333333333333
1556333040,4,5,4,4,1,1,2.046,0.9096
1556333100,5,6,4,4,3,3,2.493733333333333,1.1026666666666667
1556333160,4,5,4,4,1,1,1.8172,0.8126666666666666
1556333220,4,5,4,4,1,1,1.7001333333333333,0.7309333333333333
1556333280,4,5,4,4,1,1,2.0209333333333332,0.8856
1556333340,9,10,6,6,4,4,3.7704,2.9385333333333334
1556333400,7,7,5,6,3,3,3.082533333333333,1.3406666666666667
1556333460,4,5,4,4,1,1,1.8872,0.8050666666666667
1556333520,4,5,4,4,1,1,2.7177333333333333,0.9332
1556333580,7,9,5,4,3,3,1.3358666666666668,0.9696
1556333640,4,5,4,4,1,1,2.7986666666666666,1.2272
1556333700,9,10,5,5,6,6,3.4314666666666667,2.1773333333333333
1556333760,11,12,9,9,4,4,2.6442666666666668,4.628933333333333
1556333820,8,9,5,5,3,3,1.7789333333333333,0.8652
1556333880,6,5,4,6,1,1,2.1902666666666666,0.9886666666666667
1556333940,4,5,4,4,1,1,1.4848,0.6552
1556334000,5,6,4,4,3,3,2.1854666666666667,0.8941333333333333
1556334060,4,5,4,4,1,1,2.763333333333333,1.2298666666666667
1556334120,4,5,4,4,1,1,2.412,1.0752
1556334180,4,5,4,4,1,1,2.4314666666666667,1.06
1556334240,4,5,4,4,1,1,1.8192,0.814
1556334300,5,6,4,4,3,3,2.21,0.9106666666666666
1556334360,4,5,4,4,1,1,2.7396,1.2122666666666666
1556334420,4,5,4,4,1,1,1.8370666666666666,0.8036
1556334480,3,5,4,3,1,1,3.1250666666666667,1.3562666666666667
1556334540,4,5,4,4,1,1,2.2304,0.9821333333333333
1556334600,5,6,4,4,3,3,1.9629333333333334,0.8036
1556334660,4,5,4,4,1,1,1.8157333333333334,0.8036
1556334720,4,5,4,4,1,1,3.1461333333333332,1.3757333333333333
1556334780,4,5,4,4,1,1,2.574133333333333,1.1417333333333333
1556334840,4,5,4,4,1,1,2.6316,1.1185333333333334
1556334900,9,10,5,5,6,6,2.7008,2.2678666666666665
1556334960,4,5,4,4,1,1,1.6589333333333334,0.7368
1556335020,4,5,4,4,1,1,0.5004,0.24266666666666667
1556335080,5,6,5,5,1,1,2.7457333333333334,2.2893333333333334
1556335140,4,5,4,4,1,1,2.6281333333333334,1.0798666666666668
1556335200,5,6,4,4,3,3,2.2993333333333332,1.0648
1556335260,4,5,4,4,1,1,2.1884,0.9758666666666667
1556335320,4,5,4,4,1,1,2.96,1.306
1556335380,8,9,5,5,4,4,2.728266666666667,2.087466666666667
1556335440,4,5,4,4,1,1,2.5758666666666667,1.1321333333333334
1556335500,9,10,5,5,6,6,2.6182666666666665,1.8432
1556335560,5,6,5,5,1,1,0.9882666666666666,0.5066666666666667
1556335620,8,9,5,5,3,3,1.8129333333333333,0.8705333333333334
1556335680,4,5,4,4,1,1,1.3582666666666667,0.58
1556335740,4,5,4,4,1,1,1.848,0.8394666666666667
1556335800,5,6,4,4,3,3,2.2885333333333335,0.9782666666666666
1556335860,8,9,5,5,3,3,2.7622666666666666,1.9214666666666667
1556335920,5,5,4,5,1,1,1.9312,0.8396
1556335980,4,5,4,4,1,1,1.0645333333333333,0.4397333333333333
1556336040,4,5,4,4,1,1,2.2102666666666666,1.0544
1556336100,5,6,4,4,3,3,2.8524,1.2356
1556336160,4,5,4,4,1,1,2.5854666666666666,1.1674666666666667
1556336220,4,5,4,4,1,1,3.0286666666666666,1.2941333333333334
1556336280,4,5,4,4,1,1,2.4472,1.0776
1556336340,4,5,4,4,1,1,2.6094666666666666,1.1673333333333333
1556336400,5,6,4,4,3,3,2.1026666666666665,0.8854666666666666
1556336460,4,5,4,4,1,1,2.0805333333333333,0.9102666666666667
1556336520,4,5,4,4,1,1,3.1472,1.3758666666666666
1556336580,4,5,4,4,1,1,2.3890666666666664,1.0489333333333333
1556336640,4,5,4,4,1,1,2.6102666666666665,1.1394666666666666
1556336700,5,6,4,4,3,3,3.5976,1.5745333333333333
1556336760,4,5,4,4,1,1,2.2836,0.9672
1556336820,4,5,4,4,1,1,2.7641333333333336,1.2252
1556336880,4,5,4,4,1,1,1.6204,0.73
1556336940,4,5,4,4,1,1,2.413466666666667,1.0333333333333334
1556337000,5,6,4,4,3,3,3.3052,1.4528
1556337060,4,5,4,4,1,1,1.4905333333333333,0.6514666666666666
1556337120,4,5,4,4,1,1,1.0722666666666667,0.4768
1556337180,4,5,4,4,1,1,2.2576,0.9688
1556337240,4,5,4,4,1,1,3.2578666666666667,1.4728
1556337300,9,10,5,5,6,6,3.4732,2.159866666666667
1556337360,10,11,7,7,4,4,3.0086666666666666,4.7776
1556337420,8,9,5,5,3,3,1.0418666666666667,0.5384
1556337480,6,5,4,6,1,1,1.0832,0.4912
1556337540,4,5,4,4,1,1,2.2298666666666667,1.0182666666666667
1556337600,5,6,4,4,3,3,3.3432,1.4141333333333332
1556337660,4,5,4,4,1,1,1.4884,0.6402666666666667
1556337720,4,5,4,4,1,1,3.1717333333333335,1.3870666666666667
1556337780,4,5,4,4,1,1,2.5784,1.1434666666666666
1556337840,4,5,4,4,1,1,1.7110666666666667,0.7396
1556337900,9,10,5,5,6,6,2.115066666666667,2.0121333333333333
1556337960,4,5,4,4,1,1,1.4422666666666666,0.6402666666666667
1556338020,4,5,4,4,1,1,2.0396,0.8854666666666666
1556338080,5,6,5,5,1,1,1.7598666666666667,1.8672
1556338140,4,5,4,4,1,1,1.9266666666666667,0.8204
1556338200,5,6,4,4,3,3,3.0569333333333333,1.3117333333333334
1556338260,4,5,4,4,1,1,2.7901333333333334,1.2274666666666667
1556338320,4,5,4,4,1,1,1.442,0.6602666666666667
1556338380,8,9,5,5,4,4,3.3209333333333335,2.3328
1556338440,4,5,4,4,1,1,2.0086666666666666,0.8854666666666666
1556338500,5,6,4,4,3,3,1.1992,0.4768
1556338560,4,5,4,4,1,1,1.6165333333333334,0.722
1556338620,4,5,4,4,1,1,2.5644,1.1410666666666667
1556338680,4,5,4,4,1,1,2.0946666666666665,0.8854666666666666
1556338740,4,5,4,4,1,1,0.8872,0.3708
1556338800,5,6,4,4,3,3,3.0604,1.3566666666666667
1556338860,4,5,4,4,1,1,2.6008,1.1322666666666668
1556338920,4,5,4,4,1,1,1.9212,0.8404
1556338980,4,5,4,4,1,1,1.8606666666666667,0.8613333333333333
1556339040,4,5,4,4,1,1,2.767333333333333,1.1506666666666667
1556339100,9,10,5,5,6,6,3.010666666666667,2.054
1556339160,6,7,7,7,1,1,0.25826666666666664,0.2328
1556339220,8,9,5,5,3,3,1.494,0.6994666666666667
1556339280,4,5,4,4,1,1,1.8277333333333334,0.8053333333333333
1556339340,4,5,4,4,1,1,1.4645333333333332,0.6553333333333333
1556339400,5,6,4,4,3,3,2.8717333333333332,1.2404
1556339460,4,5,4,4,1,1,2.0472,0.8942666666666667
1556339520,4,5,4,4,1,1,2.6312,1.1394666666666666
1556339580,4,5,4,4,1,1,2.994,1.3092
1556339640,4,5,4,4,1,1,3.1542666666666666,1.3862666666666668
1556339700,5,6,4,4,3,3,1.9197333333333333,0.8309333333333333
1556339760,4,5,4,4,1,1,2.1112,0.8854666666666666
1556339820,4,5,4,4,1,1,2.0322666666666667,0.8854666666666666
1556339880,4,5,4,4,1,1,2.7774666666666668,1.2324
1556339940,4,5,4,4,1,1,2.195866666666667,0.9822666666666666
1556340000,5,6,4,4,3,3,2.1650666666666667,0.9070666666666667
1556340060,4,5,4,4,1,1,2.8597333333333332,1.25
1556340120,4,5,4,4,1,1,3.341066666666667,1.4592
1556340180,4,5,4,4,1,1,2.0029333333333335,0.8870666666666667
1556340240,4,5,4,4,1,1,1.4848,0.6657333333333333
1556340300,5,6,4,4,3,3,2.9518666666666666,1.2324
1556340360,4,5,4,4,1,1,1.2694666666666667,0.5585333333333333
1556340420,4,5,4,4,1,1,1.8488,0.8149333333333333
1556340480,7,8,5,5,4,4,3.144,1.8653333333333333
1556340540,7,8,6,6,5,5,3.3136,3.0556
1556340600,5,6,4,4,3,3,1.6017333333333332,0.6602666666666667
1556340660,4,5,4,4,1,1,3.164,1.4046666666666667
