time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,4,4,4,4,2,2,0.2581333333333333,0.11146666666666667
1556240460,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556240520,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556240580,4,4,2,2,0,0,0.1584,0.10426666666666666
1556240640,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556240700,4,4,2,2,4,4,0.2784,0.12053333333333334
1556240760,4,4,2,2,0,0,0.18453333333333333,0.1304
1556240820,4,4,2,2,0,0,0.13226666666666667,0.09066666666666667
1556240880,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556240940,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556241000,4,4,4,4,2,2,0.2581333333333333,0.11146666666666667
1556241060,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556241120,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556241180,4,4,2,2,0,0,0.16346666666666668,0.05893333333333333
1556241240,4,4,2,2,0,0,0.13866666666666666,0.09653333333333333
1556241300,4,4,4,4,2,2,0.2712,0.12453333333333333
1556241360,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556241420,4,4,2,2,0,0,0.1584,0.09066666666666667
1556241480,4,4,2,2,0,0,0.17146666666666666,0.09013333333333333
1556241540,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556241600,4,4,4,4,2,2,0.23706666666666668,0.07973333333333334
1556241660,4,4,2,2,0,0,0.1584,0.09066666666666667
1556241720,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556241780,4,4,2,2,0,0,0.17146666666666666,0.13093333333333335
1556241840,4,4,2,2,0,0,0.13866666666666666,0.11013333333333333
1556241900,4,4,4,4,2,2,0.2712,0.11093333333333333
1556241960,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556242020,4,4,2,2,0,0,0.1584,0.10426666666666666
1556242080,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556242140,4,4,2,2,0,0,0.16346666666666668,0.05893333333333333
1556242200,4,4,4,4,2,2,0.2712,0.11093333333333333
1556242260,4,4,2,2,0,0,0.09946666666666666,0.06986666666666666
1556242320,4,4,2,2,0,0,0.18453333333333333,0.1168
1556242380,4,4,2,2,0,0,0.17146666666666666,0.09013333333333333
1556242440,4,4,2,2,0,0,0.1584,0.07706666666666667
1556242500,4,4,4,4,2,2,0.2712,0.11093333333333333
1556242560,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556242620,4,4,2,2,0,0,0.16346666666666668,0.05893333333333333
1556242680,4,4,2,2,0,0,0.1584,0.07706666666666667
1556242740,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556242800,4,4,4,4,2,2,0.28426666666666667,0.1104
1556242860,4,4,2,2,0,0,0.1584,0.09066666666666667
1556242920,4,4,2,2,0,0,0.13866666666666666,0.11013333333333333
1556242980,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556243040,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556243100,4,4,4,4,2,2,0.232,0.12506666666666666
1556243160,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556243220,4,4,2,2,0,0,0.16346666666666668,0.08613333333333334
1556243280,4,4,4,4,0,0,0.17946666666666666,0.12453333333333333
1556243340,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556243400,4,4,4,4,2,2,0.2712,0.12453333333333333
1556243460,4,4,2,2,0,0,0.17146666666666666,0.10373333333333333
1556243520,4,4,2,2,0,0,0.1256,0.09706666666666666
1556243580,4,4,2,2,0,0,0.16346666666666668,0.08613333333333334
1556243640,4,4,2,2,0,0,0.17146666666666666,0.11733333333333333
1556243700,4,4,4,4,2,2,0.2581333333333333,0.11146666666666667
