time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,5,6,0,0,4,4,0.1312,0.044
1556240460,0,0,0,0,0,0,0.0,0.0
1556240520,0,0,0,0,0,0,0.0,0.0112
1556240580,0,0,0,0,0,0,0.0,0.0112
1556240640,0,0,0,0,0,0,0.0,0.0112
1556240700,2,2,0,0,2,2,0.08906666666666667,0.0336
1556240760,0,0,0,0,0,0,0.0,0.0224
1556240820,0,0,0,0,0,0,0.0,0.0224
1556240880,0,0,0,0,0,0,0.0,0.0224
1556240940,0,0,0,0,0,0,0.0,0.026266666666666667
1556241000,2,2,0,0,2,2,0.08906666666666667,0.0224
1556241060,5,5,0,0,5,5,0.039066666666666666,0.07213333333333333
1556241120,4,5,0,0,2,2,0.042133333333333335,0.0328
1556241180,4,5,0,0,2,2,0.07813333333333333,0.0656
1556241240,4,4,0,0,2,2,0.036,0.0328
1556241300,5,7,0,0,6,6,0.2946666666666667,0.1088
1556241360,4,4,0,0,2,2,0.036,0.0216
1556241420,4,5,0,0,2,2,0.07813333333333333,0.0768
1556241480,4,5,0,0,2,2,0.042133333333333335,0.0216
1556241540,4,5,0,0,2,2,0.042133333333333335,0.05906666666666667
1556241600,5,7,0,0,5,5,0.26426666666666665,0.0656
1556241660,4,5,0,0,2,2,0.1448,0.112
1556241720,4,5,0,0,2,2,0.042133333333333335,0.0216
1556241780,4,5,0,0,2,2,0.042133333333333335,0.044
1556241840,4,5,0,0,2,2,0.07813333333333333,0.088
1556241900,5,7,0,0,5,5,0.22826666666666667,0.0328
1556241960,4,5,0,0,3,3,0.1448,0.112
1556242020,4,5,0,0,2,2,0.042133333333333335,0.0328
1556242080,5,6,0,0,6,6,0.1172,0.11533333333333333
1556242140,4,5,0,0,2,2,0.042133333333333335,0.04786666666666667
1556242200,5,7,0,0,5,5,0.22213333333333332,0.0328
1556242260,4,5,0,0,2,2,0.09653333333333333,0.0656
1556242320,4,5,0,0,2,2,0.13253333333333334,0.0896
1556242380,4,5,0,0,2,2,0.042133333333333335,0.0328
1556242440,4,5,0,0,2,2,0.042133333333333335,0.0328
1556242500,5,7,0,0,5,5,0.2581333333333333,0.0544
1556242560,1,1,0,0,0,0,0.0184,0.0
1556242620,4,5,0,0,3,3,0.13253333333333334,0.112
1556242680,4,5,0,0,2,2,0.042133333333333335,0.0328
1556242740,4,5,0,0,2,2,0.042133333333333335,0.04786666666666667
1556242800,5,7,0,0,5,5,0.2581333333333333,0.0656
1556242860,4,5,0,0,2,2,0.0544,0.0328
1556242920,4,5,0,0,2,2,0.042133333333333335,0.044
1556242980,4,5,0,0,3,3,0.13253333333333334,0.112
1556243040,4,5,0,0,2,2,0.07813333333333333,0.0656
1556243100,6,7,0,0,8,8,0.17026666666666668,0.11613333333333334
1556243160,4,6,0,0,3,3,0.15146666666666667,0.044
1556243220,4,5,0,0,2,2,0.07813333333333333,0.0768
1556243280,4,5,0,0,2,2,0.042133333333333335,0.0328
1556243340,4,5,0,0,2,2,0.13253333333333334,0.13826666666666668
1556243400,5,6,0,0,4,4,0.1312,0.044
1556243460,4,6,0,0,3,3,0.14533333333333334,0.044
1556243520,4,5,0,0,2,2,0.07813333333333333,0.088
1556243580,4,5,0,0,2,2,0.042133333333333335,0.044
1556243640,4,5,0,0,3,3,0.13253333333333334,0.1232
1556243700,5,6,0,0,4,4,0.1312,0.0552
1556243760,4,6,0,0,3,3,0.15146666666666667,0.044
1556243820,4,5,0,0,2,2,0.05413333333333333,0.0736
1556243880,4,4,0,0,2,2,0.036,0.044
1556243940,4,5,0,0,2,2,0.042133333333333335,0.05906666666666667
1556244000,5,6,0,0,5,5,0.2216,0.1232
1556244060,4,5,0,0,2,2,0.060533333333333335,0.044
1556244120,6,6,0,0,5,5,0.039066666666666666,0.07213333333333333
1556244180,4,5,0,0,2,2,0.07813333333333333,0.088
1556244240,4,5,0,0,2,2,0.042133333333333335,0.044
1556244300,5,6,0,0,4,4,0.1312,0.044
1556244360,4,6,0,0,4,4,0.2296,0.1232
1556244420,4,5,0,0,2,2,0.07813333333333333,0.088
1556244480,4,5,0,0,2,2,0.042133333333333335,0.044
1556244540,4,5,0,0,2,2,0.042133333333333335,0.03666666666666667
1556244600,5,6,0,0,4,4,0.1672,0.0656
1556244660,4,6,0,0,4,4,0.2296,0.112
1556244720,4,5,0,0,2,2,0.042133333333333335,0.044
1556244780,4,5,0,0,2,2,0.042133333333333335,0.044
1556244840,4,5,0,0,2,2,0.07813333333333333,0.0656
1556244900,5,6,0,0,4,4,0.1312,0.044
1556244960,4,6,0,0,3,3,0.1392,0.044
1556245020,4,5,0,0,3,3,0.13253333333333334,0.112
1556245080,4,4,0,0,2,2,0.072,0.0656
1556245140,5,6,0,0,6,6,0.0812,0.12
1556245200,5,6,0,0,4,4,0.1312,0.044
1556245260,4,6,0,0,3,3,0.18133333333333335,0.0768
1556245320,4,5,0,0,3,3,0.09653333333333333,0.072
1556245380,4,5,0,0,2,2,0.07813333333333333,0.0656
1556245440,4,5,0,0,2,2,0.042133333333333335,0.044
1556245500,5,6,0,0,4,4,0.1672,0.0656
1556245560,4,6,0,0,3,3,0.1392,0.0664
1556245620,4,5,0,0,2,2,0.042133333333333335,0.044
1556245680,4,5,0,0,3,3,0.08426666666666667,0.07386666666666666
1556245740,4,5,0,0,2,2,0.07813333333333333,0.08066666666666666
1556245800,5,6,0,0,4,4,0.1312,0.0664
1556245860,4,6,0,0,3,3,0.1392,0.044
1556245920,4,5,0,0,2,2,0.07813333333333333,0.0808
1556245980,4,5,0,0,2,2,0.042133333333333335,0.044
1556246040,4,5,0,0,2,2,0.13253333333333334,0.1048
1556246100,2,3,0,0,2,2,0.018133333333333335,0.0296
1556246160,6,8,0,0,9,9,0.30946666666666667,0.11533333333333333
1556246220,4,5,0,0,2,2,0.042133333333333335,0.0664
1556246280,4,4,0,0,2,2,0.036,0.044
1556246340,4,5,0,0,3,3,0.13253333333333334,0.12706666666666666
1556246400,4,4,0,0,2,2,0.036,0.0328
1556246460,5,7,0,0,5,5,0.26426666666666665,0.0656
1556246520,2,3,0,0,2,2,0.018133333333333335,0.07333333333333333
