time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326860,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556326920,0,0,0,0,0,0,0.0,0.0
1556326980,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556327040,2,2,0,0,2,2,0.0928,0.0
1556327100,3,3,2,2,2,2,0.029333333333333333,0.038266666666666664
1556327160,0,0,0,0,0,0,0.0,0.0
1556327220,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556327280,0,0,0,0,0,0,0.0,0.0
1556327340,4,4,2,2,4,4,0.12213333333333333,0.05333333333333334
1556327400,0,0,0,0,0,0,0.0,0.0
1556327460,3,3,2,2,2,2,0.029333333333333333,0.038266666666666664
1556327520,0,0,0,0,0,0,0.0,0.0
1556327580,3,3,2,2,2,2,0.0396,0.050666666666666665
1556327640,2,2,0,0,2,2,0.0928,0.0
1556327700,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556327760,0,0,0,0,0,0,0.0,0.0
1556327820,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556327880,0,0,0,0,0,0,0.0,0.0
1556327940,4,4,2,2,4,4,0.12213333333333333,0.046
1556328000,0,0,0,0,0,0,0.0,0.0
1556328060,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556328120,0,0,0,0,0,0,0.0,0.0
1556328180,3,3,2,2,2,2,0.0396,0.050666666666666665
1556328240,2,2,0,0,2,2,0.0928,0.0
1556328300,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556328360,0,0,0,0,0,0,0.0,0.0
1556328420,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556328480,0,0,0,0,0,0,0.0,0.0
1556328540,4,4,2,2,4,4,0.12213333333333333,0.046
1556328600,0,0,0,0,0,0,0.0,0.0
1556328660,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556328720,0,0,0,0,0,0,0.0,0.0
1556328780,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556328840,2,2,0,0,2,2,0.0928,0.0
1556328900,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556328960,0,0,0,0,0,0,0.0,0.0
1556329020,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556329080,0,0,0,0,0,0,0.0,0.0
1556329140,4,4,2,2,4,4,0.12213333333333333,0.05333333333333334
1556329200,0,0,0,0,0,0,0.0,0.0
1556329260,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556329320,0,0,0,0,0,0,0.0,0.0
1556329380,3,3,2,2,2,2,0.029333333333333333,0.030933333333333334
1556329440,2,2,0,0,2,2,0.0928,0.0
