time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,2,2,2,2,0,0,0.0584,0.036
1556427660,2,2,2,2,0,0,0.0584,0.036
1556427720,2,2,2,2,0,0,0.0584,0.036
1556427780,3,3,2,2,2,2,0.1484,0.044
1556427840,2,2,2,2,0,0,0.0584,0.036
1556427900,2,3,2,2,0,0,0.0664,0.036
1556427960,2,2,2,2,0,0,0.0584,0.036
1556428020,2,2,2,2,0,0,0.0584,0.036
1556428080,3,3,2,2,2,2,0.1484,0.044
1556428140,2,3,2,2,0,0,0.0664,0.036
1556428200,2,2,2,2,0,0,0.0584,0.036
1556428260,2,3,2,2,0,0,0.0664,0.036
1556428320,2,2,2,2,0,0,0.0584,0.036
1556428380,3,4,2,2,2,2,0.1564,0.044
1556428440,2,3,2,2,0,0,0.0664,0.036
1556428500,2,2,2,2,0,0,0.0584,0.036
1556428560,2,2,2,2,0,0,0.0584,0.036
1556428620,2,2,2,2,0,0,0.0584,0.0448
1556428680,3,3,2,2,2,2,0.1484,0.044
1556428740,2,2,2,2,0,0,0.0584,0.036
1556428800,2,2,2,2,0,0,0.0584,0.036
1556428860,2,2,2,2,0,0,0.0584,0.036
1556428920,2,2,2,2,0,0,0.0584,0.036
1556428980,3,3,2,2,2,2,0.1484,0.0528
1556429040,2,3,2,2,0,0,0.0664,0.0448
1556429100,2,2,2,2,0,0,0.0584,0.036
1556429160,2,2,2,2,0,0,0.0584,0.036
1556429220,2,2,2,2,0,0,0.0584,0.036
1556429280,3,4,2,2,2,2,0.1564,0.044
1556429340,2,2,2,2,0,0,0.0584,0.0496
1556429400,2,2,2,2,0,0,0.0584,0.0496
1556429460,2,3,2,2,0,0,0.0664,0.0496
1556429520,2,2,2,2,0,0,0.0584,0.0496
1556429580,3,3,2,2,2,2,0.1484,0.0576
1556429640,2,2,2,2,0,0,0.0584,0.0496
1556429700,2,2,2,2,0,0,0.0584,0.0496
1556429760,2,2,2,2,0,0,0.0584,0.0496
1556429820,2,2,2,2,0,0,0.0584,0.0496
1556429880,3,3,2,2,2,2,0.1484,0.0576
1556429940,2,2,2,2,0,0,0.0584,0.036
1556430000,2,2,2,2,0,0,0.0584,0.036
1556430060,2,2,2,2,0,0,0.0584,0.036
1556430120,2,2,2,2,0,0,0.0584,0.0448
1556430180,3,3,2,2,2,2,0.1484,0.0576
1556430240,2,2,2,2,0,0,0.0584,0.036
1556430300,2,2,2,2,0,0,0.0584,0.0496
1556430360,2,3,2,2,0,0,0.0664,0.0496
1556430420,2,2,2,2,0,0,0.0584,0.0496
1556430480,3,3,2,2,2,2,0.1484,0.0576
1556430540,2,2,2,2,0,0,0.0584,0.036
1556430600,2,3,2,2,0,0,0.0664,0.036
1556430660,4,4,2,2,4,4,0.08053333333333333,0.06546666666666667
1556430720,2,3,2,2,0,0,0.0664,0.036
1556430780,3,4,2,2,2,2,0.1564,0.044
1556430840,2,3,2,2,0,0,0.0664,0.036
1556430900,2,3,2,2,0,0,0.0664,0.036
