time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,3,3,2,2,2,2,0.19266666666666668,0.1308
1556427660,2,2,2,2,0,0,0.09266666666666666,0.1124
1556427720,2,2,2,2,0,0,0.09986666666666667,0.1308
1556427780,2,2,2,2,0,0,0.09266666666666666,0.1236
1556427840,2,2,2,2,0,0,0.09986666666666667,0.1196
1556427900,3,3,2,2,2,2,0.19266666666666668,0.11933333333333333
1556427960,2,2,2,2,0,0,0.09266666666666666,0.1236
1556428020,2,2,2,2,0,0,0.09986666666666667,0.15573333333333333
1556428080,2,2,2,2,0,0,0.09266666666666666,0.1124
1556428140,2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
1556428200,3,3,2,2,2,2,0.18546666666666667,0.1236
1556428260,2,2,2,2,0,0,0.09986666666666667,0.1196
1556428320,2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
1556428380,2,2,2,2,0,0,0.072,0.09466666666666666
1556428440,2,2,2,2,0,0,0.09986666666666667,0.1196
1556428500,3,3,2,2,2,2,0.18546666666666667,0.1236
1556428560,2,2,2,2,0,0,0.09986666666666667,0.1196
1556428620,2,2,2,2,0,0,0.09266666666666666,0.1124
1556428680,2,2,2,2,0,0,0.09986666666666667,0.1196
1556428740,2,2,2,2,0,0,0.09986666666666667,0.14586666666666667
1556428800,2,2,2,2,0,0,0.09266666666666666,0.1124
1556428860,3,3,2,2,2,2,0.19266666666666668,0.1308
1556428920,2,2,2,2,0,0,0.09266666666666666,0.1124
1556428980,2,2,2,2,0,0,0.09986666666666667,0.1308
1556429040,2,2,2,2,0,0,0.09266666666666666,0.1124
1556429100,2,2,2,2,0,0,0.09986666666666667,0.1308
1556429160,3,3,2,2,2,2,0.19266666666666668,0.1308
1556429220,2,2,2,2,0,0,0.09266666666666666,0.1236
1556429280,2,2,2,2,0,0,0.09986666666666667,0.1196
1556429340,2,2,2,2,0,0,0.09266666666666666,0.13866666666666666
1556429400,2,2,2,2,0,0,0.09986666666666667,0.142
1556429460,3,3,2,2,2,2,0.18546666666666667,0.1236
1556429520,2,2,2,2,0,0,0.09986666666666667,0.13053333333333333
1556429580,2,2,2,2,0,0,0.09986666666666667,0.1308
1556429640,2,2,2,2,0,0,0.09266666666666666,0.1236
1556429700,2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
1556429760,3,3,2,2,2,2,0.18546666666666667,0.1236
1556429820,2,2,2,2,0,0,0.09986666666666667,0.142
1556429880,2,2,2,2,0,0,0.072,0.09466666666666666
1556429940,2,2,2,2,0,0,0.09986666666666667,0.14586666666666667
1556430000,2,2,2,2,0,0,0.09986666666666667,0.1196
1556430060,3,3,2,2,2,2,0.18546666666666667,0.1124
1556430120,2,2,2,2,0,0,0.09986666666666667,0.1308
1556430180,2,2,2,2,0,0,0.09266666666666666,0.1124
1556430240,2,2,2,2,0,0,0.09986666666666667,0.1308
1556430300,2,2,2,2,0,0,0.09266666666666666,0.1236
1556430360,2,2,2,2,0,0,0.09986666666666667,0.1308
1556430420,3,3,2,2,2,2,0.19266666666666668,0.1308
1556430480,2,2,2,2,0,0,0.09266666666666666,0.1236
1556430540,2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
1556430600,2,2,2,2,0,0,0.09266666666666666,0.10093333333333333
1556430660,2,2,2,2,0,0,0.09986666666666667,0.1196
1556430720,3,3,2,2,2,2,0.18546666666666667,0.1236
1556430780,2,2,2,2,0,0,0.09986666666666667,0.10813333333333333
1556430840,2,2,2,2,0,0,0.09986666666666667,0.1196
1556430900,2,2,2,2,0,0,0.09266666666666666,0.1236
1556430960,2,2,2,2,0,0,0.09986666666666667,0.1196
1556431020,3,3,2,2,2,2,0.18546666666666667,0.1236
1556431080,2,2,2,2,0,0,0.09986666666666667,0.1196
1556431140,2,2,2,2,0,0,0.09266666666666666,0.12746666666666667
1556431200,2,2,2,2,0,0,0.09986666666666667,0.1308
1556431260,2,2,2,2,0,0,0.09266666666666666,0.10093333333333333
1556431320,5,5,5,5,4,4,0.5428,0.6768
1556431380,2,2,2,2,0,0,0.09986666666666667,0.10813333333333333
1556431440,2,2,2,2,0,0,0.072,0.0944
1556431500,2,2,2,2,0,0,0.09986666666666667,0.1196
1556431560,2,2,2,2,0,0,0.09266666666666666,0.1236
1556431620,3,3,2,2,2,2,0.19266666666666668,0.1196
1556431680,2,2,2,2,0,0,0.09266666666666666,0.1236
1556431740,2,2,2,2,0,0,0.09266666666666666,0.12746666666666667
1556431800,2,2,2,2,0,0,0.10706666666666667,0.138
1556431860,2,2,2,2,0,0,0.09266666666666666,0.1124
1556431920,2,2,2,2,0,0,0.09986666666666667,0.1196
1556431980,3,3,2,2,2,2,0.18546666666666667,0.1236
1556432040,2,2,2,2,0,0,0.09986666666666667,0.1196
1556432100,2,2,2,2,0,0,0.09266666666666666,0.1236
1556432160,2,2,2,2,0,0,0.10706666666666667,0.14453333333333335
1556432220,2,2,2,2,0,0,0.09986666666666667,0.11933333333333333
1556432280,3,3,2,2,2,2,0.18546666666666667,0.10093333333333333
1556432340,2,2,2,2,0,0,0.09986666666666667,0.13466666666666666
1556432400,2,2,2,2,0,0,0.09266666666666666,0.1236
1556432460,2,2,2,2,0,0,0.09986666666666667,0.1196
