time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,2,2,0,0,2,2,0.12426666666666666,0.0112
1556427660,1,1,1,1,0,0,0.0,0.02
1556427720,2,2,2,2,0,0,0.0072,0.02
1556427780,1,1,1,1,0,0,0.0,0.02
1556427840,2,2,2,2,0,0,0.0072,0.02
1556427900,1,1,1,1,0,0,0.0,0.02
1556427960,2,2,2,2,0,0,0.0072,0.02
1556428020,1,1,1,1,0,0,0.0,0.02
1556428080,2,2,2,2,0,0,0.0072,0.02
1556428140,5,4,3,3,3,3,1.1066666666666667,0.8596
1556428200,0,0,0,0,0,0,0.0,0.0
1556428260,2,2,2,2,0,0,0.0072,0.0288
1556428320,0,0,0,0,0,0,0.0,0.0
1556428380,2,2,2,2,0,0,0.0072,0.0288
1556428440,0,0,0,0,0,0,0.0,0.0
1556428500,2,2,2,2,0,0,0.0072,0.0288
1556428560,0,0,0,0,0,0,0.0,0.0
1556428620,2,2,2,2,0,0,0.0072,0.0288
1556428680,0,0,0,0,0,0,0.0,0.0
1556428740,5,5,5,6,3,3,1.8248,1.9634666666666667
1556428800,0,0,0,0,0,0,0.0,0.0
1556428860,2,2,2,2,0,0,0.0072,0.0288
1556428920,0,0,0,0,0,0,0.0,0.0
1556428980,2,2,2,2,0,0,0.0072,0.0288
1556429040,0,0,0,0,0,0,0.0,0.0
1556429100,2,2,2,2,0,0,0.0072,0.0288
1556429160,0,0,0,0,0,0,0.0,0.0
1556429220,2,2,2,2,0,0,0.0072,0.0288
1556429280,0,0,0,0,0,0,0.0,0.0
1556429340,6,5,3,3,5,5,0.2617333333333333,1.3218666666666667
1556429400,3,3,2,2,2,2,0.4342666666666667,0.8496
1556429460,1,1,1,1,0,0,0.0,0.02
1556429520,0,0,0,0,0,0,0.0,0.0
1556429580,2,2,2,2,0,0,0.0072,0.0288
1556429640,0,0,0,0,0,0,0.0,0.0
1556429700,2,2,2,2,0,0,0.0072,0.0288
1556429760,0,0,0,0,0,0,0.0,0.0
1556429820,2,2,2,2,0,0,0.0072,0.0288
1556429880,0,0,0,0,0,0,0.0,0.0
1556429940,5,4,3,3,3,3,0.8924,0.8492
1556430000,0,0,0,0,0,0,0.0,0.0
1556430060,2,2,2,2,0,0,0.0072,0.0288
1556430120,0,0,0,0,0,0,0.0,0.0
1556430180,2,2,2,2,0,0,0.0072,0.0288
1556430240,0,0,0,0,0,0,0.0,0.0
1556430300,2,2,2,2,0,0,0.0072,0.0288
1556430360,0,0,0,0,0,0,0.0,0.0
1556430420,2,2,3,3,0,0,0.6006666666666667,0.866
1556430480,0,0,0,0,0,0,0.0,0.0
1556430540,5,5,4,5,3,3,1.6629333333333334,1.7756
1556430600,0,0,0,0,0,0,0.0,0.0
1556430660,2,2,2,2,0,0,0.0072,0.0288
1556430720,0,0,0,0,0,0,0.0,0.0
1556430780,2,2,2,2,0,0,0.0072,0.0288
1556430840,0,0,0,0,0,0,0.0,0.0
1556430900,2,2,2,2,0,0,0.0072,0.0288
1556430960,0,0,0,0,0,0,0.0,0.0
1556431020,2,2,2,2,0,0,0.0072,0.0288
1556431080,0,0,0,0,0,0,0.0,0.0
1556431140,1,1,1,1,0,0,0.0,0.03506666666666667
1556431200,2,2,0,0,2,2,0.12426666666666666,0.0112
1556431260,1,1,1,1,0,0,0.0,0.0088
1556431320,2,2,2,2,0,0,0.0072,0.02
1556431380,1,1,1,1,0,0,0.0,0.0088
