time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,1,1,0,0,1,1,0.0544,0.076
1556326860,3,4,0,0,5,5,0.15946666666666667,0.07146666666666666
1556326920,2,3,0,0,3,3,0.06586666666666667,0.1028
1556326980,4,5,4,4,3,3,0.12866666666666668,0.042
1556327040,2,3,2,2,1,1,0.07666666666666666,0.02
1556327100,1,1,0,0,1,1,0.0544,0.06266666666666666
1556327160,3,4,0,0,5,5,0.15946666666666667,0.08213333333333334
1556327220,3,4,2,2,3,3,0.08506666666666667,0.0596
1556327280,3,4,2,2,3,3,0.10066666666666667,0.046266666666666664
1556327340,1,1,0,0,1,1,0.0544,0.02
1556327400,1,1,0,0,1,1,0.0544,0.08613333333333334
1556327460,3,4,0,0,5,5,0.15946666666666667,0.0736
1556327520,2,3,0,0,3,3,0.06586666666666667,0.096
1556327580,5,6,6,6,3,3,0.15093333333333334,0.0
1556327640,1,1,0,0,1,1,0.0544,0.0
1556327700,1,1,0,0,1,1,0.0544,0.692
1556327760,4,5,2,2,6,6,1.0065333333333333,0.1016
1556327820,3,4,2,2,3,3,0.08506666666666667,0.0
1556327880,1,1,0,0,1,1,0.0544,4.8712
1556327940,4,5,7,7,5,5,1.9965333333333333,3.4910666666666668
1556328000,6,7,7,7,3,3,1.5957333333333332,0.0784
1556328060,4,5,2,2,5,5,0.19,0.1148
1556328120,3,4,2,2,3,3,0.08813333333333333,0.0408
1556328180,3,4,4,4,1,1,0.0912,0.061733333333333335
1556328240,3,4,3,3,3,3,0.08613333333333334,0.0296
1556328300,2,3,2,2,1,1,0.06733333333333333,0.0648
1556328360,3,4,0,0,5,5,0.15946666666666667,0.09306666666666667
1556328420,3,4,2,2,3,3,0.08506666666666667,0.02
1556328480,1,1,0,0,1,1,0.0544,0.0496
1556328540,2,3,0,0,3,3,0.0644,0.0
1556328600,1,1,0,0,1,1,0.0544,0.06266666666666666
1556328660,3,4,0,0,5,5,0.15946666666666667,1.5101333333333333
1556328720,8,10,13,12,15,9,3.494266666666667,2.5318666666666667
1556328780,7,9,9,9,6,6,13.214666666666666,0.0448
1556328840,2,3,2,2,1,1,0.072,0.02
1556328900,1,1,0,0,1,1,0.0544,0.12986666666666666
1556328960,4,5,2,2,5,5,0.17866666666666667,0.14786666666666667
1556329020,5,6,7,7,4,4,0.14893333333333333,0.0288
1556329080,2,3,3,3,1,1,0.09786666666666667,0.026266666666666667
1556329140,1,1,0,0,1,1,0.0544,0.02
1556329200,1,1,0,0,1,1,0.0544,2.2812
1556329260,6,7,14,14,6,6,6.3464,1.5701333333333334
1556329320,4,5,11,11,4,4,2.6886666666666668,0.052
1556329380,2,3,2,2,1,1,0.0824,0.02
1556329440,1,1,0,0,1,1,0.0544,0.02
1556329500,1,1,0,0,1,1,0.0544,0.15666666666666668
1556329560,5,6,8,8,6,6,0.3001333333333333,0.1968
1556329620,4,5,8,8,3,3,0.20253333333333334,0.0424
1556329680,2,3,2,2,1,1,0.21946666666666667,6.7532
1556329740,4,5,3,3,4,4,2.44,0.022
1556329800,2,3,2,2,1,1,0.07666666666666666,0.48893333333333333
1556329860,4,5,0,0,9,9,0.6245333333333334,0.08186666666666667
1556329920,3,4,0,0,5,5,0.07453333333333333,0.0808
1556329980,4,5,5,5,1,1,0.1,0.0368
1556330040,3,4,3,3,1,1,0.07093333333333333,0.02
1556330100,1,1,0,0,1,1,0.0544,0.11933333333333333
1556330160,3,4,0,0,6,6,0.16946666666666665,0.07093333333333333
1556330220,3,4,2,2,3,3,0.08506666666666667,0.0
1556330280,1,1,0,0,1,1,0.0544,0.026266666666666667
1556330340,1,1,0,0,1,1,0.0544,0.0244
1556330400,2,3,2,2,1,1,0.07666666666666666,0.21106666666666668
1556330460,4,5,2,2,6,6,0.27773333333333333,0.055733333333333336
1556330520,2,3,0,0,3,3,0.06586666666666667,0.9544
1556330580,4,5,4,4,3,3,0.38813333333333333,0.0
1556330640,1,1,0,0,1,1,0.0544,0.0
