time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556326860,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556326920,2,2,0,0,2,2,0.039466666666666664,0.0408
1556326980,2,2,0,0,2,2,0.039466666666666664,0.045066666666666665
1556327040,2,2,0,0,2,2,0.039466666666666664,0.045066666666666665
1556327100,3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
1556327160,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556327220,2,2,0,0,2,2,0.0296,0.052
1556327280,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556327340,3,3,0,0,4,4,0.22106666666666666,0.14013333333333333
1556327400,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556327460,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556327520,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556327580,2,2,0,0,2,2,0.039466666666666664,0.0296
1556327640,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556327700,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556327760,2,2,0,0,2,2,0.0296,0.052
1556327820,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556327880,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556327940,3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
1556328000,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328060,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328120,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328180,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556328240,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556328300,2,2,0,0,2,2,0.039466666666666664,0.0408
1556328360,2,2,0,0,2,2,0.039466666666666664,0.060533333333333335
1556328420,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328480,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328540,3,3,0,0,4,4,0.13226666666666667,0.06573333333333334
1556328600,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328660,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556328720,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328780,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556328840,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556328900,2,2,0,0,2,2,0.0296,0.052
1556328960,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556329020,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556329080,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556329140,3,3,0,0,4,4,0.2112,0.1212
1556329200,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556329260,2,2,0,0,2,2,0.039466666666666664,0.052
1556329320,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556329380,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556329440,3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
1556329500,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556329560,2,2,0,0,2,2,0.0296,0.052
1556329620,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556329680,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556329740,3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
1556329800,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556329860,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556329920,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556329980,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556330040,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556330100,2,2,0,0,2,2,0.039466666666666664,0.0408
1556330160,2,2,0,0,2,2,0.0296,0.06186666666666667
1556330220,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556330280,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556330340,3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
1556330400,2,2,0,0,2,2,0.04933333333333333,0.060533333333333335
1556330460,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556330520,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556330580,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556330640,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556330700,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556330760,2,2,0,0,2,2,0.0296,0.052
1556330820,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556330880,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556330940,3,3,0,0,4,4,0.2112,0.13026666666666667
1556331000,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556331060,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556331120,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556331180,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556331240,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556331300,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556331360,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556331420,2,2,0,0,2,2,0.0296,0.052
1556331480,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556331540,3,3,0,0,4,4,0.13226666666666667,0.07693333333333334
1556331600,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
