time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,2,3,2,2,0,0,0.014933333333333333,0.076
1556427660,3,4,4,4,0,0,0.03253333333333333,0.10893333333333333
1556427720,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556427780,2,3,2,2,0,0,0.014933333333333333,0.076
1556427840,5,5,4,4,2,2,0.0968,0.18453333333333333
1556427900,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556427960,2,3,2,2,0,0,0.014933333333333333,0.0872
1556428020,2,3,2,2,0,0,0.014933333333333333,0.0648
1556428080,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556428140,5,5,4,4,2,2,0.0968,0.2084
1556428200,2,3,2,2,0,0,0.014933333333333333,0.0648
1556428260,3,4,3,3,1,1,1.1844,0.0784
1556428320,2,3,2,2,0,0,0.014933333333333333,0.076
1556428380,2,3,2,2,0,0,0.014933333333333333,0.0648
1556428440,6,7,5,4,4,4,0.5814666666666667,0.7084
1556428500,3,4,6,6,0,0,0.04133333333333333,0.1024
1556428560,3,4,4,4,0,0,0.03253333333333333,0.10893333333333333
1556428620,1,1,0,0,0,0,0.0061333333333333335,0.056
1556428680,2,3,2,2,0,0,0.014933333333333333,0.076
1556428740,5,5,4,4,2,2,0.0968,0.1996
1556428800,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556428860,2,3,2,2,0,0,0.014933333333333333,0.0872
1556428920,2,2,2,2,0,0,0.0088,0.0648
1556428980,5,7,10,7,2,2,1.8709333333333333,1.3393333333333333
1556429040,7,7,6,6,4,4,0.11653333333333334,0.24613333333333334
1556429100,4,5,4,4,2,2,0.0456,0.15973333333333334
1556429160,3,4,2,2,2,2,0.05333333333333334,0.13453333333333334
1556429220,2,3,2,2,0,0,0.014933333333333333,0.0872
1556429280,2,3,2,2,0,0,0.014933333333333333,0.0648
1556429340,6,7,5,4,4,4,0.5285333333333333,0.7162666666666667
1556429400,2,3,2,2,0,0,0.014933333333333333,0.076
1556429460,5,5,7,6,1,1,0.8861333333333333,0.13373333333333334
1556429520,2,2,1,1,0,0,0.030266666666666667,0.0672
1556429580,2,3,2,2,0,0,0.014933333333333333,0.0872
1556429640,5,5,4,4,2,2,0.0968,0.17333333333333334
1556429700,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556429760,5,6,7,7,3,3,0.6090666666666666,7.2432
1556429820,3,4,4,4,0,0,0.32426666666666665,0.7876
1556429880,2,3,2,2,0,0,0.1608,0.432
1556429940,5,5,4,4,2,2,0.0968,0.1884
1556430000,3,4,4,4,0,0,0.023733333333333332,0.0848
1556430060,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556430120,3,4,4,4,0,0,0.023733333333333332,0.0848
1556430180,2,3,2,2,0,0,0.014933333333333333,0.076
1556430240,6,7,5,4,4,4,0.5813333333333334,0.6972
1556430300,2,2,2,2,0,0,0.0088,0.076
1556430360,3,4,4,4,0,0,0.03253333333333333,0.10893333333333333
1556430420,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556430480,2,3,2,2,0,0,0.014933333333333333,0.0872
1556430540,5,5,4,4,2,2,0.0968,0.1884
1556430600,1,1,0,0,0,0,0.0061333333333333335,0.056
1556430660,4,5,5,5,1,1,1.1932,0.0872
1556430720,2,3,2,2,0,0,0.014933333333333333,0.0648
1556430780,1,1,0,0,0,0,0.0061333333333333335,0.0784
1556430840,5,5,4,4,2,2,0.0968,0.17333333333333334
1556430900,2,3,2,2,0,0,0.014933333333333333,0.0648
1556430960,4,6,4,3,3,3,1.1797333333333333,1.6606666666666667
1556431020,4,5,4,4,2,2,0.04346666666666667,0.14666666666666667
1556431080,3,4,2,2,2,2,0.025866666666666666,0.12466666666666666
1556431140,7,8,8,7,5,5,0.7168,0.7804
1556431200,2,3,2,2,0,0,0.014933333333333333,0.076
1556431260,2,3,2,2,0,0,0.023733333333333332,0.08893333333333334
1556431320,2,3,2,2,0,0,0.014933333333333333,0.076
1556431380,2,3,2,2,0,0,0.014933333333333333,0.0872
1556431440,4,4,2,2,2,2,0.088,0.15333333333333332
1556431500,2,3,2,2,0,0,0.014933333333333333,0.076
1556431560,2,3,2,2,0,0,0.014933333333333333,0.0872
1556431620,1,1,0,0,0,0,0.0061333333333333335,0.056
1556431680,2,3,2,2,0,0,0.014933333333333333,0.0872
1556431740,5,5,4,4,2,2,0.0968,0.1884
1556431800,1,1,0,0,0,0,0.0061333333333333335,0.056
1556431860,4,5,6,5,1,1,1.3950666666666667,0.1008
1556431920,3,3,3,3,0,0,0.039066666666666666,0.076
1556431980,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556432040,7,8,7,6,4,4,0.5901333333333333,0.706
1556432100,3,4,6,6,0,0,0.04133333333333333,0.1248
1556432160,2,3,2,2,0,0,0.023733333333333332,0.08893333333333334
1556432220,2,3,2,2,0,0,0.014933333333333333,0.076
1556432280,2,3,2,2,0,0,0.014933333333333333,0.0872
1556432340,4,4,2,2,2,2,0.088,0.1684
1556432400,2,3,2,2,0,0,0.014933333333333333,0.0872
1556432460,2,3,2,2,0,0,0.014933333333333333,0.076
1556432520,1,1,0,0,0,0,0.0061333333333333335,0.056
1556432580,2,3,2,2,0,0,0.014933333333333333,0.0872
1556432640,5,5,4,4,2,2,0.0968,0.18453333333333333
1556432700,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556432760,2,3,2,2,0,0,0.014933333333333333,0.076
1556432820,2,3,2,2,0,0,0.014933333333333333,0.076
1556432880,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556432940,9,12,16,11,5,5,2.402,1.9872
1556433000,4,5,4,4,2,2,0.034666666666666665,0.1376
1556433060,6,6,6,5,3,3,0.8802666666666666,0.1352
1556433120,5,5,5,5,2,2,0.08626666666666667,0.13213333333333332
1556433180,2,3,2,2,0,0,0.014933333333333333,0.0872
1556433240,4,4,2,2,2,2,0.088,0.15333333333333332
1556433300,2,3,2,2,0,0,0.014933333333333333,0.0872
1556433360,5,6,7,7,3,3,0.5368,2.356533333333333
1556433420,2,3,2,2,0,0,0.29773333333333335,0.7670666666666667
1556433480,4,5,5,5,0,0,0.2996,6.6470666666666665
1556433540,5,5,4,4,2,2,0.0968,0.1884
1556433600,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556433660,2,3,2,2,0,0,0.014933333333333333,0.076
1556433720,4,5,5,5,0,0,0.03253333333333333,0.0936
1556433780,1,1,0,0,0,0,0.0061333333333333335,0.0672
1556433840,7,7,7,6,4,4,0.5901333333333333,0.6972
1556433900,2,3,2,2,0,0,0.014933333333333333,0.0872
1556433960,2,3,2,2,0,0,0.023733333333333332,0.08893333333333334
