time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,4,10,5,5,35,3,1.8928,0.47813333333333335
1556427660,10,18,12,11,44,8,3.2048,7.4572
1556427720,5,11,6,6,23,3,1.9077333333333333,0.5504
1556427780,9,16,10,10,29,6,2.422,2.3213333333333335
1556427840,5,12,5,5,25,5,1.7696,0.47813333333333335
1556427900,4,11,5,5,34,4,3.8144,0.49173333333333336
1556427960,4,11,5,5,36,4,1.9829333333333334,0.4885333333333333
1556428020,6,14,7,6,25,4,2.0166666666666666,0.9378666666666666
1556428080,6,12,8,8,25,3,1.76,0.5148
1556428140,5,11,5,5,52,5,2.393866666666667,0.47813333333333335
1556428200,10,17,11,11,42,9,3.2085333333333335,8.1736
1556428260,7,15,9,8,35,4,2.6090666666666666,0.8757333333333334
1556428320,5,12,6,6,24,3,1.818,0.5868
1556428380,5,12,7,7,26,4,1.8005333333333333,0.5170666666666667
1556428440,5,10,5,5,23,4,1.708,0.47813333333333335
1556428500,5,11,7,7,32,3,1.8816,0.47333333333333333
1556428560,6,13,7,6,37,4,2.198933333333333,0.8597333333333333
1556428620,5,10,6,6,23,4,3.6881333333333335,0.6108
1556428680,5,11,7,7,25,3,1.796,0.49306666666666665
1556428740,11,15,11,11,29,10,3.029733333333333,8.180666666666667
1556428800,6,14,7,6,40,5,2.4836,0.9068
1556428860,5,11,6,6,33,3,1.8616,0.4998666666666667
1556428920,7,14,8,7,24,5,2.342,1.4498666666666666
1556428980,8,14,9,9,24,5,1.6730666666666667,0.6033333333333334
1556429040,7,12,5,5,27,8,1.7432,0.5770666666666666
1556429100,7,14,7,6,39,6,2.2613333333333334,0.9177333333333333
1556429160,7,13,6,6,37,5,2.0204,0.74
1556429220,4,11,5,5,26,4,1.7562666666666666,0.5157333333333334
1556429280,10,17,12,12,29,7,2.678933333333333,7.233066666666667
1556429340,7,14,7,6,30,7,4.2612,0.8724
1556429400,5,12,6,6,34,3,1.9461333333333333,0.544
1556429460,5,12,7,7,35,4,2.2574666666666667,0.5429333333333334
1556429520,4,11,5,5,25,3,1.8308,0.5650666666666667
1556429580,5,11,7,7,23,3,1.6448,0.5066666666666667
1556429640,7,13,7,6,26,7,1.996,0.894
1556429700,5,12,6,6,36,3,1.944,0.5304
1556429760,4,10,5,5,35,3,2.0081333333333333,0.5922666666666667
1556429820,9,14,10,10,26,7,2.5138666666666665,7.0324
1556429880,7,15,9,8,28,5,2.2441333333333335,0.9113333333333333
1556429940,6,10,6,6,23,4,1.7264,0.5168
1556430000,4,11,5,5,36,3,2.026133333333333,0.47813333333333335
1556430060,6,13,6,6,37,5,4.191466666666667,1.2718666666666667
1556430120,4,11,5,5,26,4,1.8010666666666666,0.5021333333333333
1556430180,7,12,9,8,22,4,1.8666666666666667,0.8658666666666667
1556430240,6,12,6,6,27,5,1.9216,0.5270666666666667
1556430300,4,11,5,5,37,4,2.0189333333333335,0.5157333333333334
1556430360,9,15,10,10,38,7,2.8109333333333333,7.018
1556430420,6,13,7,6,24,4,2.1818666666666666,0.9626666666666667
1556430480,6,12,8,8,26,3,1.7744,0.5284
1556430540,5,12,5,5,28,6,1.8885333333333334,0.5021333333333333
1556430600,4,11,5,5,32,3,1.8448,0.47813333333333335
1556430660,5,12,7,7,38,3,2.3278666666666665,0.47813333333333335
1556430720,9,18,11,9,28,7,3.7289333333333334,2.2168
1556430780,9,16,9,9,29,6,3.8218666666666667,0.6114666666666667
1556430840,7,13,5,5,28,7,1.8282666666666667,0.5530666666666667
1556430900,13,19,13,13,42,12,3.6796,13.8572
1556430960,7,15,7,6,39,7,2.3945333333333334,1.0462666666666667
1556431020,5,10,6,6,21,2,1.7308,0.5732
1556431080,5,12,7,7,23,3,1.6528,0.49306666666666665
1556431140,5,12,5,5,27,6,1.8725333333333334,0.5190666666666667
1556431200,4,11,5,5,31,3,1.7912,0.47813333333333335
1556431260,6,13,7,6,38,4,2.1832,0.834
1556431320,5,12,6,6,24,3,1.8348,0.5868
1556431380,5,10,7,7,22,3,1.6381333333333334,0.5476
1556431440,10,16,10,10,30,9,2.7653333333333334,7.058
1556431500,6,14,7,6,40,5,4.4172,0.8588
1556431560,5,12,6,6,37,4,1.9304,0.5238666666666667
1556431620,4,10,5,5,25,3,1.8538666666666668,0.582
1556431680,5,10,7,7,22,3,1.6224,0.5066666666666667
1556431740,5,12,5,5,48,5,2.3213333333333335,0.47813333333333335
1556431800,6,14,7,6,37,5,2.1461333333333332,0.882
1556431860,6,12,8,8,35,3,2.299733333333333,0.6037333333333333
1556431920,4,8,5,5,21,2,1.5837333333333334,0.47813333333333335
1556431980,11,15,13,13,27,8,2.8541333333333334,8.1188
1556432040,7,15,7,6,30,7,2.3529333333333335,0.8828
1556432100,6,13,8,8,31,3,1.8469333333333333,0.5256
1556432160,4,10,5,5,36,3,2.022,0.5514666666666667
1556432220,4,9,5,5,23,4,3.582666666666667,0.5021333333333333
1556432280,5,10,7,7,21,2,1.608,0.49306666666666665
1556432340,7,14,7,6,29,6,2.171466666666667,0.8509333333333333
1556432400,5,12,6,6,33,3,1.9208,0.4998666666666667
1556432460,4,11,5,5,41,4,2.1696,0.5754666666666667
1556432520,11,20,13,11,31,9,3.2929333333333335,8.011466666666667
1556432580,9,17,11,10,29,6,2.2710666666666666,0.9704
1556432640,8,13,6,6,27,8,1.7776,0.6124
1556432700,6,13,5,5,36,5,1.9608,0.5666666666666667
1556432760,6,13,5,5,39,5,2.098,0.7318666666666667
1556432820,4,8,5,5,21,2,1.5925333333333334,0.49173333333333336
