time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,5,6,4,4,11,4,0.6689333333333334,0.19853333333333334
1556240460,5,5,4,4,10,4,0.854,0.23453333333333334
1556240520,4,5,4,4,3,3,0.33026666666666665,0.16466666666666666
1556240580,5,5,4,4,11,4,0.5710666666666666,0.23666666666666666
1556240640,6,7,5,5,13,6,1.142,0.5521333333333334
1556240700,5,5,4,4,11,4,0.6932,0.2136
1556240760,5,6,4,4,11,4,0.954,0.25053333333333333
1556240820,5,5,4,4,5,4,0.44253333333333333,0.17093333333333333
1556240880,4,5,4,4,8,3,0.2985333333333333,0.13426666666666667
1556240940,6,6,4,4,13,6,0.8232,0.22853333333333334
1556241000,5,6,9,9,10,3,1.2677333333333334,0.34186666666666665
1556241060,5,7,5,5,11,4,1.0278666666666667,0.6106666666666667
1556241120,5,5,4,4,7,4,0.38986666666666664,0.16066666666666668
1556241180,4,5,4,4,6,3,0.3413333333333333,0.15186666666666668
1556241240,6,7,4,4,13,6,0.4912,0.13533333333333333
1556241300,5,5,4,4,11,4,0.6512,0.20106666666666667
1556241360,6,6,5,5,12,5,1.5856,0.6593333333333333
1556241420,5,5,4,4,9,4,0.6050666666666666,0.18973333333333334
1556241480,4,5,4,4,4,3,0.2736,0.13573333333333334
1556241540,6,6,4,4,13,6,0.5884,0.14933333333333335
1556241600,5,5,4,4,11,4,0.6106666666666667,0.19226666666666667
1556241660,6,6,5,5,12,5,1.3830666666666667,0.6862666666666667
1556241720,5,5,4,4,11,4,0.6476,0.21093333333333333
1556241780,4,6,4,4,3,3,0.19693333333333332,0.12066666666666667
1556241840,6,7,4,4,12,6,0.6176,0.208
1556241900,4,5,4,4,10,3,0.4964,0.16693333333333332
1556241960,5,6,4,4,11,4,0.9485333333333333,0.26786666666666664
1556242020,6,7,5,5,12,5,0.8885333333333333,0.6018666666666667
1556242080,5,5,4,4,6,4,0.7190666666666666,0.1856
1556242140,5,7,4,4,9,5,0.47173333333333334,0.15813333333333332
1556242200,5,5,4,4,11,4,0.532,0.1644
1556242260,5,5,4,4,11,4,0.9537333333333333,0.25466666666666665
1556242320,5,5,4,4,11,4,0.6042666666666666,0.1908
1556242380,6,7,5,5,9,5,0.7689333333333334,0.6142666666666666
1556242440,5,6,4,4,7,5,0.41786666666666666,0.13573333333333334
1556242500,5,5,4,4,11,4,0.6849333333333333,0.196
1556242560,5,6,4,4,11,4,0.954,0.25053333333333333
1556242620,5,6,4,4,11,4,0.6361333333333333,0.20213333333333333
1556242680,6,6,5,5,11,5,0.6868,0.5342666666666667
