time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556326860,8,9,6,6,7,7,3.0216,2.659466666666667
1556326920,4,4,3,4,1,1,0.0792,0.0768
1556326980,9,10,6,7,9,9,0.5536,0.42386666666666667
1556327040,3,3,3,3,0,0,0.37826666666666664,0.3622666666666667
1556327100,4,5,3,3,3,3,0.4845333333333333,0.2808
1556327160,4,5,3,3,3,3,0.9984,0.9289333333333334
1556327220,3,4,3,3,1,1,0.09026666666666666,0.09453333333333333
1556327280,4,6,3,3,0,0,0.2969333333333333,0.06066666666666667
1556327340,7,8,6,6,8,8,0.28986666666666666,0.39786666666666665
1556327400,4,6,4,3,3,3,0.5345333333333333,0.30746666666666667
1556327460,3,4,3,3,1,1,0.10773333333333333,0.10346666666666667
1556327520,2,3,2,2,1,1,0.06826666666666667,0.0704
1556327580,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556327640,9,10,7,7,8,8,0.5470666666666667,0.38453333333333334
1556327700,6,7,5,5,5,5,0.8193333333333334,1.3288
1556327760,6,7,5,5,3,3,0.9137333333333333,0.8889333333333334
1556327820,3,4,3,3,1,1,0.09026666666666666,0.09453333333333333
1556327880,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556327940,8,10,7,6,8,8,0.6086666666666667,0.402
1556328000,4,6,4,4,3,3,0.49506666666666665,0.28386666666666666
1556328060,2,3,2,2,1,1,0.0572,0.056666666666666664
1556328120,3,4,3,3,1,1,0.0792,0.0696
1556328180,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556328240,8,9,6,6,8,8,0.5541333333333334,0.4084
1556328300,4,6,4,3,3,3,0.5166666666666667,0.28426666666666667
1556328360,2,3,2,2,1,1,0.0572,0.056666666666666664
1556328420,3,4,3,3,1,1,0.0792,0.0808
1556328480,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556328540,8,10,6,6,11,11,0.8972,0.5606666666666666
1556328600,3,4,3,3,1,1,0.1316,0.13
1556328660,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556328720,2,3,2,2,1,1,0.0572,0.056666666666666664
1556328780,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556328840,9,11,7,7,11,11,1.0448,0.7001333333333334
1556328900,2,3,2,2,1,1,0.09346666666666667,0.08706666666666667
1556328960,3,4,3,3,1,1,0.09026666666666666,0.08333333333333333
1556329020,3,3,3,3,0,0,0.061733333333333335,0.06066666666666667
1556329080,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556329140,7,9,5,5,6,6,1.3994666666666666,2.0869333333333335
1556329200,9,10,7,8,9,9,0.37866666666666665,0.4646666666666667
1556329260,2,3,2,2,1,1,0.06826666666666667,0.0816
1556329320,4,4,4,4,0,0,0.10826666666666666,0.08013333333333333
1556329380,3,3,3,3,0,0,0.061733333333333335,0.06066666666666667
1556329440,3,4,2,2,3,3,0.5737333333333333,0.3937333333333333
1556329500,9,11,7,7,9,9,0.5645333333333333,0.41586666666666666
1556329560,3,4,3,3,1,1,0.09026666666666666,0.09453333333333333
1556329620,2,2,2,2,0,0,0.039733333333333336,0.047733333333333336
1556329680,3,3,3,3,0,0,0.061733333333333335,0.06066666666666667
1556329740,6,7,4,4,5,5,1.6406666666666667,1.2190666666666667
1556329800,8,10,6,6,9,9,0.5425333333333333,0.4029333333333333
1556329860,3,4,3,3,1,1,0.09026666666666666,0.08333333333333333
1556329920,3,3,3,3,0,0,0.318,0.2604
1556329980,3,4,2,2,3,3,0.47986666666666666,0.2753333333333333
1556330040,3,4,3,3,1,1,0.17306666666666667,0.1768
1556330100,10,12,8,8,10,10,0.8673333333333333,1.3914666666666666
1556330160,4,5,3,3,3,3,0.9629333333333333,0.8704
1556330220,3,3,3,3,0,0,0.061733333333333335,0.06066666666666667
1556330280,4,6,4,3,3,3,0.5809333333333333,0.36506666666666665
1556330340,2,3,2,2,1,1,0.0996,0.13066666666666665
1556330400,9,11,7,7,9,9,0.5817333333333333,0.4357333333333333
1556330460,5,5,4,4,2,2,0.7077333333333333,0.8284
1556330520,2,2,2,2,0,0,0.039733333333333336,0.036533333333333334
1556330580,4,6,4,3,3,3,0.5937333333333333,0.36933333333333335
1556330640,3,4,3,3,1,1,0.11546666666666666,0.1112
1556330700,8,10,6,6,9,9,0.5536,0.4166666666666667
1556330760,3,3,3,3,0,0,0.061733333333333335,0.049466666666666666
1556330820,5,5,4,4,2,2,0.36373333333333335,1.0548
1556330880,6,8,5,4,5,5,1.6128,1.2065333333333332
