time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,5,5,4,4,4,4,0.3798666666666667,0.1856
1556326860,5,5,5,5,3,3,0.42506666666666665,0.5305333333333333
1556326920,4,4,4,4,2,2,0.28746666666666665,0.1496
1556326980,4,4,4,4,2,2,0.21146666666666666,0.16573333333333334
1556327040,4,4,4,4,2,2,0.18373333333333333,0.132
1556327100,5,6,4,4,4,4,0.826,0.20973333333333333
1556327160,5,5,5,5,3,3,0.5993333333333334,0.576
1556327220,4,4,4,4,2,2,0.23706666666666668,0.18413333333333334
1556327280,4,4,4,4,2,2,0.1328,0.1368
1556327340,4,4,4,4,2,2,0.3529333333333333,0.22333333333333333
1556327400,5,5,4,4,4,4,0.2876,0.15773333333333334
1556327460,5,5,5,5,3,3,0.4766666666666667,0.5456
1556327520,4,4,4,4,2,2,0.21293333333333334,0.1408
1556327580,4,4,4,4,2,2,0.15693333333333334,0.16173333333333334
1556327640,4,4,4,4,2,2,0.10213333333333334,0.1056
1556327700,5,5,4,4,4,4,0.34213333333333334,0.14333333333333334
1556327760,4,4,4,4,2,2,0.12626666666666667,0.14413333333333334
1556327820,4,4,4,4,2,2,0.6246666666666667,0.1936
1556327880,5,5,5,5,3,3,0.4404,0.5232
1556327940,4,5,4,4,2,2,0.13426666666666667,0.13053333333333333
1556328000,5,5,4,4,4,4,0.4608,0.17453333333333335
1556328060,4,4,4,4,2,2,0.29173333333333334,0.176
1556328120,4,5,4,4,2,2,0.17173333333333332,0.13933333333333334
1556328180,5,5,5,5,3,3,0.5049333333333333,0.5408
1556328240,4,4,4,4,2,2,0.2984,0.19693333333333332
1556328300,5,6,4,4,4,4,0.2956,0.14413333333333334
1556328360,4,4,4,4,2,2,0.15666666666666668,0.132
1556328420,4,4,4,4,2,2,0.16373333333333334,0.15293333333333334
1556328480,5,5,5,5,3,3,0.5137333333333334,0.5272
1556328540,4,4,4,4,2,2,0.5138666666666667,0.1536
1556328600,5,6,4,4,4,4,0.412,0.18813333333333335
1556328660,4,4,4,4,2,2,0.24773333333333333,0.17453333333333335
1556328720,4,4,4,4,2,2,0.21413333333333334,0.132
1556328780,4,5,4,4,2,2,0.218,0.1544
1556328840,5,6,5,5,3,3,0.5234666666666666,0.5569333333333333
1556328900,5,5,4,4,4,4,0.4024,0.15693333333333334
1556328960,4,5,4,4,2,2,0.29973333333333335,0.1624
1556329020,4,4,4,4,2,2,0.21826666666666666,0.15693333333333334
1556329080,4,5,4,4,2,2,0.21413333333333334,0.1408
1556329140,4,5,4,4,2,2,0.3064,0.19213333333333332
1556329200,6,6,5,5,5,5,0.5864,0.5305333333333333
1556329260,4,4,4,4,2,2,0.5061333333333333,0.1672
1556329320,4,4,4,4,2,2,0.16373333333333334,0.15293333333333334
1556329380,4,5,4,4,2,2,0.2928,0.17453333333333335
1556329440,4,5,4,4,2,2,0.13426666666666667,0.12173333333333333
1556329500,5,5,4,4,4,4,0.2634666666666667,0.1416
1556329560,5,5,5,5,3,3,0.42506666666666665,0.5577333333333333
1556329620,4,4,4,4,2,2,0.1396,0.1368
1556329680,4,5,4,4,2,2,0.23826666666666665,0.18413333333333334
1556329740,4,4,4,4,2,2,0.15666666666666668,0.132
1556329800,5,5,4,4,4,4,0.5958666666666667,0.24093333333333333
1556329860,4,5,4,4,2,2,0.17706666666666668,0.132
1556329920,5,5,5,5,3,3,0.46253333333333335,0.5257333333333334
1556329980,4,4,4,4,2,2,0.642,0.20973333333333333
1556330040,4,5,4,4,2,2,0.3368,0.1848
1556330100,5,5,4,4,4,4,0.2876,0.13933333333333334
