time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,1,2,0,0,1,1,0.0656,0.0136
1556240460,2,4,2,2,1,1,0.2096,0.0808
1556240520,5,7,4,4,5,5,12.2536,1.2438666666666667
1556240580,2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
1556240640,1,1,0,0,0,0,0.0061333333333333335,0.0
1556240700,1,2,0,0,1,1,0.0656,0.0136
1556240760,1,2,0,0,1,1,0.0656,0.0272
1556240820,3,5,3,3,3,3,0.3874666666666667,0.0336
1556240880,2,3,2,2,0,0,0.040266666666666666,0.031466666666666664
1556240940,1,1,0,0,1,1,0.05946666666666667,0.028666666666666667
1556241000,3,4,6,6,0,0,0.5453333333333333,0.0448
1556241060,2,2,3,3,0,0,0.24453333333333332,0.0224
1556241120,3,6,2,2,4,4,0.20346666666666666,0.042666666666666665
1556241180,1,1,0,0,0,0,0.0061333333333333335,0.0
1556241240,1,2,0,0,1,1,0.0656,0.0136
1556241300,1,1,0,0,1,1,0.05946666666666667,0.0136
1556241360,1,2,0,0,1,1,0.0656,0.0272
1556241420,4,6,5,5,3,3,0.436,0.06506666666666666
1556241480,1,1,0,0,0,0,0.0061333333333333335,0.0
1556241540,1,2,0,0,1,1,0.0656,0.028666666666666667
1556241600,2,4,2,2,1,1,0.1952,0.0696
1556241660,3,5,5,5,1,1,0.32986666666666664,0.05946666666666667
1556241720,2,5,0,0,4,4,0.16933333333333334,0.036
1556241780,1,1,0,0,0,0,0.0061333333333333335,0.0
1556241840,1,2,0,0,1,1,0.0656,0.0136
1556241900,1,1,0,0,0,0,0.0061333333333333335,0.0
1556241960,3,5,5,5,1,1,0.32986666666666664,0.07866666666666666
1556242020,2,3,0,0,3,3,0.1512,0.0248
1556242080,1,2,0,0,1,1,0.0656,0.0
1556242140,2,2,2,2,0,0,0.1008,0.05106666666666667
1556242200,3,5,5,5,1,1,0.3586666666666667,0.08746666666666666
1556242260,2,4,2,2,1,1,0.08,0.0248
1556242320,4,7,2,2,5,6,12.1432,1.2606666666666666
1556242380,1,2,0,0,1,1,0.0656,0.0136
1556242440,1,1,0,0,0,0,0.0061333333333333335,0.0
1556242500,2,4,2,2,1,1,0.09973333333333333,0.042666666666666665
1556242560,2,3,2,2,1,1,0.2752,0.0384
