time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,2,2,2,2,0,0,0.025866666666666666,0.027466666666666667
1556240460,2,2,0,0,2,2,0.1248,0.0224
1556240520,0,0,0,0,0,0,0.0,0.0
1556240580,0,0,0,0,0,0,0.0,0.0
1556240640,2,2,2,2,0,0,0.4202666666666667,0.22506666666666666
1556240700,0,0,0,0,0,0,0.0,0.0
1556240760,2,2,0,0,2,2,0.1248,0.0224
1556240820,0,0,0,0,0,0,0.0,0.0
1556240880,2,2,2,2,0,0,0.025866666666666666,0.03626666666666667
1556240940,0,0,0,0,0,0,0.0,0.015066666666666667
1556241000,0,0,0,0,0,0,0.0,0.0
1556241060,2,2,0,0,2,2,0.1248,0.0224
1556241120,2,2,2,2,0,0,0.025866666666666666,0.027466666666666667
1556241180,0,0,0,0,0,0,0.0,0.0
1556241240,0,0,0,0,0,0,0.0,0.0
1556241300,0,0,0,0,0,0,0.0,0.0
1556241360,3,3,2,2,2,2,0.15066666666666667,0.027466666666666667
1556241420,0,0,0,0,0,0,0.0,0.0
1556241480,0,0,0,0,0,0,0.0,0.0
1556241540,0,0,0,0,0,0,0.0,0.015066666666666667
1556241600,2,2,2,2,0,0,0.025866666666666666,0.027466666666666667
1556241660,2,2,0,0,2,2,0.1248,0.0112
1556241720,0,0,0,0,0,0,0.0,0.0
1556241780,2,2,2,2,0,0,0.026,0.0164
1556241840,0,0,0,0,0,0,0.0,0.0112
1556241900,0,0,0,0,0,0,0.0,0.0
1556241960,2,2,0,0,2,2,0.1248,0.0224
1556242020,2,2,2,2,0,0,0.026,0.0276
1556242080,0,0,0,0,0,0,0.0,0.0
1556242140,0,0,0,0,0,0,0.0,0.015066666666666667
1556242200,0,0,0,0,0,0,0.0,0.0
1556242260,3,3,2,2,2,2,0.1508,0.0388
1556242320,0,0,0,0,0,0,0.0,0.0
1556242380,0,0,0,0,0,0,0.0,0.0
1556242440,0,0,0,0,0,0,0.0,0.0
1556242500,2,2,2,2,0,0,0.026,0.0276
1556242560,2,2,0,0,2,2,0.1248,0.0
1556242620,0,0,0,0,0,0,0.0,0.0
1556242680,0,0,0,0,0,0,0.0,0.0
1556242740,2,2,2,2,0,0,0.026,0.042666666666666665
1556242800,0,0,0,0,0,0,0.0,0.0
1556242860,2,2,0,0,2,2,0.1248,0.0112
1556242920,0,0,0,0,0,0,0.0,0.0
1556242980,2,2,2,2,0,0,0.026,0.0276
1556243040,0,0,0,0,0,0,0.0,0.0
1556243100,0,0,0,0,0,0,0.0,0.0
1556243160,2,2,0,0,2,2,0.1248,0.0224
1556243220,2,2,2,2,0,0,0.026,0.0276
1556243280,0,0,0,0,0,0,0.0,0.0
1556243340,0,0,0,0,0,0,0.0,0.015066666666666667
1556243400,0,0,0,0,0,0,0.0,0.0
1556243460,3,3,2,2,2,2,0.1508,0.0388
1556243520,0,0,0,0,0,0,0.0,0.0
1556243580,0,0,0,0,0,0,0.0,0.0
1556243640,0,0,0,0,0,0,0.0,0.0
1556243700,2,2,2,2,0,0,0.026,0.0276
1556243760,4,4,0,0,6,6,0.1468,0.05293333333333333
1556243820,0,0,0,0,0,0,0.0,0.0
1556243880,0,0,0,0,0,0,0.0,0.0
1556243940,2,2,2,2,0,0,0.026,0.042666666666666665
1556244000,0,0,0,0,0,0,0.0,0.0
1556244060,2,2,0,0,2,2,0.1248,0.0224
1556244120,0,0,0,0,0,0,0.0,0.0
1556244180,2,2,2,2,0,0,0.026,0.0276
1556244240,0,0,0,0,0,0,0.0,0.0
1556244300,0,0,0,0,0,0,0.0,0.0
1556244360,2,2,0,0,2,2,0.1248,0.0224
1556244420,2,2,2,2,0,0,0.026,0.0276
1556244480,0,0,0,0,0,0,0.0,0.0
1556244540,0,0,0,0,0,0,0.0,0.015066666666666667
1556244600,0,0,0,0,0,0,0.0,0.0
1556244660,3,3,2,2,2,2,0.1508,0.0276
1556244720,0,0,0,0,0,0,0.0,0.0
1556244780,0,0,0,0,0,0,0.0,0.0
1556244840,0,0,0,0,0,0,0.0,0.0
1556244900,2,2,2,2,0,0,0.026,0.0276
1556244960,2,2,0,0,2,2,0.1248,0.0224
1556245020,0,0,0,0,0,0,0.0,0.0
1556245080,2,2,2,2,0,0,0.026,0.0164
1556245140,0,0,0,0,0,0,0.0,0.026266666666666667
1556245200,0,0,0,0,0,0,0.0,0.0
1556245260,2,2,0,0,2,2,0.1248,0.0224
1556245320,2,2,2,2,0,0,0.026,0.0276
1556245380,0,0,0,0,0,0,0.0,0.0
1556245440,0,0,0,0,0,0,0.0,0.0
1556245500,0,0,0,0,0,0,0.0,0.0
1556245560,3,3,2,2,2,2,0.1508,0.05
1556245620,0,0,0,0,0,0,0.0,0.0
1556245680,0,0,0,0,0,0,0.0,0.0
1556245740,0,0,0,0,0,0,0.0,0.015066666666666667
1556245800,2,2,2,2,0,0,0.026,0.0276
1556245860,2,2,0,0,2,2,0.1248,0.0
1556245920,0,0,0,0,0,0,0.0,0.0
