time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556427600,4,6,0,0,75,64,2.2936,0.8368
1556427660,4,6,0,0,74,63,2.291733333333333,0.852
1556427720,4,6,0,0,75,64,2.2936,0.8368
1556427780,5,7,0,0,76,66,2.3913333333333333,0.8584
1556427840,4,6,0,0,74,63,2.291733333333333,0.8384
1556427900,4,6,0,0,75,64,2.2656,0.8424
1556427960,4,6,0,0,75,64,2.283733333333333,0.8248
1556428020,4,6,0,0,76,65,2.2936,0.864
1556428080,6,8,0,0,78,67,2.406,0.8716
1556428140,4,6,0,0,75,64,2.283733333333333,0.8384
1556428200,4,6,0,0,76,65,2.2936,0.864
1556428260,4,6,0,0,75,64,2.283733333333333,0.8384
1556428320,4,6,0,0,76,65,2.2936,0.864
1556428380,5,7,0,0,78,67,2.3833333333333333,0.8448
1556428440,4,6,0,0,75,64,2.283733333333333,0.8384
1556428500,4,6,0,0,76,65,2.3016,0.8504
1556428560,4,6,0,0,75,64,2.283733333333333,0.8384
1556428620,4,6,0,0,75,64,2.2936,0.864
1556428680,5,8,0,0,76,65,2.3961333333333332,0.836
1556428740,4,6,0,0,76,65,2.2936,0.8504
1556428800,4,6,0,0,75,64,2.291733333333333,0.8656
1556428860,4,6,0,0,76,65,2.3016,0.8368
1556428920,4,6,0,0,75,64,2.283733333333333,0.852
1556428980,5,7,0,0,78,67,2.3913333333333333,0.8584
1556429040,4,6,0,0,75,64,2.283733333333333,0.8384
1556429100,4,6,0,0,75,64,2.2936,0.864
1556429160,4,6,0,0,75,64,2.283733333333333,0.852
1556429220,4,6,0,0,76,65,2.3016,0.8504
1556429280,7,10,5,5,73,62,2.5458666666666665,1.1125333333333334
1556429340,5,7,0,0,77,66,2.373466666666667,0.8736
1556429400,4,6,0,0,76,65,2.2936,0.8776
1556429460,4,6,0,0,75,64,2.283733333333333,0.852
1556429520,4,6,0,0,76,65,2.2936,0.864
1556429580,4,6,0,0,75,64,2.283733333333333,0.852
1556429640,5,7,0,0,78,67,2.3833333333333333,0.8584
1556429700,4,6,0,0,76,65,2.3016,0.8776
1556429760,4,6,0,0,75,64,2.283733333333333,0.8384
1556429820,4,6,0,0,76,65,2.3016,0.864
1556429880,4,7,0,0,74,63,2.3064,0.8008
1556429940,5,7,0,0,78,67,2.3833333333333333,0.872
1556430000,4,6,0,0,75,64,2.283733333333333,0.8248
1556430060,4,6,0,0,76,65,2.3016,0.8368
1556430120,4,6,0,0,75,64,2.283733333333333,0.852
1556430180,4,6,0,0,76,65,2.2936,0.8504
1556430240,5,7,0,0,77,66,2.373466666666667,0.8736
