time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,8,9,43,43,22,22,9.6608,33.135333333333335
1556326860,9,10,44,44,24,24,9.934266666666666,35.91413333333333
1556326920,8,9,45,45,24,24,9.614933333333333,36.14986666666667
1556326980,10,11,43,43,22,22,8.907466666666666,32.69773333333333
1556327040,9,10,44,44,26,26,9.755333333333333,35.76466666666666
1556327100,9,10,45,45,24,24,9.945466666666666,35.81973333333333
1556327160,8,9,43,43,24,24,9.3668,35.154
1556327220,12,13,46,46,26,26,10.280266666666666,35.15186666666666
1556327280,9,10,43,43,22,22,9.457333333333333,34.158
1556327340,9,10,44,44,26,26,9.791066666666667,35.74386666666667
1556327400,9,10,45,45,24,24,10.311733333333333,36.03973333333333
1556327460,9,10,43,43,22,22,9.053733333333334,32.57386666666667
1556327520,8,9,45,45,25,25,10.0392,35.735733333333336
1556327580,8,9,45,45,23,23,9.960666666666667,35.82026666666667
1556327640,9,10,41,41,24,24,9.465866666666667,32.5736
1556327700,9,10,47,47,27,27,10.245733333333334,37.0984
1556327760,8,9,43,43,23,23,9.1932,34.334666666666664
1556327820,9,10,44,44,24,24,9.520933333333334,35.60933333333333
1556327880,8,9,43,43,23,23,9.2924,34.27813333333334
1556327940,10,11,45,45,25,25,10.1156,34.5332
1556328000,9,10,42,42,23,23,8.779066666666667,32.82053333333333
1556328060,8,9,46,46,24,24,10.052933333333334,37.4216
1556328120,9,10,43,43,23,23,9.7276,34.43013333333333
1556328180,8,9,42,41,23,23,9.121066666666668,32.89053333333333
1556328240,9,10,43,43,25,25,9.5152,35.28386666666667
1556328300,8,9,43,43,23,23,9.6408,34.4104
1556328360,9,10,43,43,23,23,9.4012,34.25986666666667
1556328420,9,10,46,46,24,24,9.870666666666667,35.910266666666665
1556328480,7,8,45,45,24,24,9.913333333333334,35.836533333333335
1556328540,8,9,41,41,24,24,9.202533333333333,32.51173333333333
1556328600,9,10,44,44,24,24,9.707466666666667,36.133066666666664
1556328660,9,10,44,44,24,24,9.802,35.36866666666667
1556328720,8,9,43,43,22,22,8.975466666666666,33.21986666666667
1556328780,8,9,44,44,25,25,9.802133333333334,36.046933333333335
1556328840,9,10,45,45,25,25,10.182133333333333,35.63093333333333
1556328900,9,10,45,45,24,24,9.4816,35.056266666666666
1556328960,8,9,46,46,24,24,10.218533333333333,36.03253333333333
1556329020,12,13,43,43,24,24,9.409866666666666,33.3768
1556329080,12,13,44,44,25,25,9.228133333333334,35.7672
1556329140,9,10,45,45,26,26,9.8408,35.78346666666667
1556329200,8,9,41,41,22,22,8.991733333333332,32.4584
1556329260,9,10,44,44,25,25,9.699466666666666,35.79773333333333
1556329320,8,9,45,45,23,23,9.970666666666666,35.608266666666665
1556329380,9,10,43,43,22,22,9.034933333333333,32.7652
1556329440,10,11,46,46,27,27,10.381066666666667,37.58253333333333
1556329500,9,10,43,43,23,23,9.801333333333334,34.174533333333336
1556329560,9,10,45,45,25,25,10.149333333333333,36.752266666666664
1556329620,8,9,45,45,23,23,9.808133333333334,34.820933333333336
1556329680,8,9,43,42,24,24,9.535333333333334,34.2044
1556329740,10,11,45,45,25,25,10.176666666666666,35.78946666666667
1556329800,9,10,43,43,23,23,9.682,34.2348
1556329860,9,10,47,47,25,25,9.910266666666667,36.70386666666667
1556329920,8,9,45,45,23,23,9.917466666666666,34.80133333333333
1556329980,9,10,43,43,24,24,9.568133333333334,34.19186666666667
1556330040,10,11,44,44,25,25,9.8416,35.33213333333333
1556330100,9,10,45,45,23,23,9.735466666666667,35.08626666666667
1556330160,8,9,42,42,23,23,9.406533333333334,34.36626666666667
1556330220,8,9,46,46,24,24,9.902933333333333,35.845733333333335
1556330280,9,10,43,43,23,23,9.448533333333334,34.27986666666666
1556330340,10,11,46,46,26,26,10.1092,35.8572
1556330400,8,9,45,45,24,24,9.945866666666667,35.77373333333333
1556330460,8,9,41,41,22,22,9.2884,32.58626666666667
1556330520,9,10,44,44,24,24,9.838933333333333,35.998666666666665
1556330580,9,10,44,44,24,24,9.7508,35.3256
1556330640,9,10,43,43,24,24,9.42,33.086666666666666
1556330700,9,10,44,44,24,24,9.7736,35.71026666666667
1556330760,9,10,45,45,24,24,10.068533333333333,35.89533333333333
1556330820,9,10,43,43,22,22,9.07,32.4928
1556330880,12,13,45,45,26,26,9.521466666666667,36.01213333333333
1556330940,9,10,45,45,25,25,10.050933333333333,35.840133333333334
1556331000,7,8,42,42,23,23,9.392266666666666,34.08906666666667
1556331060,9,10,46,46,24,24,10.205866666666667,35.96
1556331120,8,9,43,43,23,23,9.850666666666667,34.205733333333335
1556331180,7,8,46,46,25,25,10.4708,37.38386666666667
1556331240,9,10,43,43,25,25,9.802933333333334,34.234
1556331300,11,12,50,50,27,27,9.962933333333334,36.33906666666667
1556331360,8,9,45,45,23,23,9.937466666666667,34.7464
1556331420,9,10,43,43,24,24,9.621866666666667,35.126133333333335
1556331480,8,9,46,46,24,24,9.780133333333334,35.72586666666667
1556331540,9,10,43,43,24,24,9.244,33.2
1556331600,9,10,46,46,25,25,10.520933333333334,37.3764
1556331660,8,9,43,43,23,23,9.527866666666666,34.31
1556331720,8,9,45,44,25,25,10.0004,35.830666666666666
1556331780,9,10,47,47,23,23,9.8824,35.8196
1556331840,9,10,44,44,26,26,9.951466666666667,35.663066666666666
1556331900,8,9,45,45,24,24,9.786933333333334,35.680933333333336
1556331960,9,10,42,42,23,23,9.2772,33.23413333333333
1556332020,9,10,46,46,24,24,10.508266666666668,36.931333333333335
1556332080,9,10,43,43,23,23,9.667733333333333,34.118
1556332140,9,10,46,46,27,27,10.436,37.392
1556332200,9,10,43,43,23,23,9.644266666666667,34.09213333333334
1556332260,10,11,47,47,25,25,9.682266666666667,36.61026666666667
1556332320,9,10,45,45,23,23,10.148,34.7152
1556332380,8,9,43,43,24,24,9.556933333333333,34.338
1556332440,9,10,46,46,26,26,9.9384,36.593333333333334
1556332500,9,10,43,43,22,22,9.088933333333333,33.36826666666666
1556332560,8,9,46,46,25,25,10.413333333333334,37.327466666666666
1556332620,9,10,43,43,23,23,9.544933333333333,34.154666666666664
1556332680,9,10,44,44,26,26,10.184,36.148266666666665
1556332740,10,11,47,47,26,26,9.9252,35.865066666666664
1556332800,9,10,43,43,24,24,9.281333333333333,35.0664
1556332860,8,9,47,47,24,24,10.130933333333333,36.3336
1556332920,8,9,42,42,23,23,8.894666666666666,32.532
1556332980,9,10,46,46,24,24,10.216933333333333,37.4488
1556333040,9,10,43,43,25,25,9.887333333333334,34.150533333333335
1556333100,9,10,45,45,25,25,10.014533333333333,36.6924
