time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556326800,2,3,2,2,0,0,0.048266666666666666,0.10133333333333333
1556326860,2,3,2,2,1,1,0.9461333333333334,0.14386666666666667
1556326920,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556326980,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556327040,3,4,2,2,3,3,0.3466666666666667,0.14386666666666667
1556327100,2,3,2,2,0,0,0.048266666666666666,0.08773333333333333
1556327160,2,3,2,2,1,1,0.9461333333333334,0.14386666666666667
1556327220,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556327280,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556327340,3,4,2,2,2,2,0.17986666666666667,0.14386666666666667
1556327400,2,2,2,2,0,0,0.040266666666666666,0.10133333333333333
1556327460,2,3,2,2,1,1,0.9461333333333334,0.15186666666666668
1556327520,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556327580,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556327640,3,3,2,2,2,2,0.17186666666666667,0.14386666666666667
1556327700,2,2,2,2,0,0,0.040266666666666666,0.08773333333333333
1556327760,2,3,2,2,1,1,0.9461333333333334,0.13026666666666667
1556327820,2,3,2,2,0,0,0.08813333333333333,0.13026666666666667
1556327880,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556327940,4,4,2,2,4,4,0.18386666666666668,0.14226666666666668
1556328000,2,2,2,2,0,0,0.040266666666666666,0.10133333333333333
1556328060,2,3,2,2,1,1,0.9461333333333334,0.13026666666666667
1556328120,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556328180,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556328240,3,3,2,2,2,2,0.17186666666666667,0.13026666666666667
1556328300,2,2,2,2,0,0,0.040266666666666666,0.08773333333333333
1556328360,2,3,2,2,1,1,0.9461333333333334,0.13826666666666668
1556328420,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556328480,3,3,2,2,2,2,0.09213333333333333,0.12866666666666668
1556328540,5,5,2,2,5,5,0.19586666666666666,0.15426666666666666
1556328600,2,3,2,2,0,0,0.048266666666666666,0.10133333333333333
1556328660,2,3,2,2,1,1,0.9461333333333334,0.13026666666666667
1556328720,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556328780,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556328840,3,4,2,2,3,3,0.3466666666666667,0.13026666666666667
1556328900,2,2,2,2,0,0,0.040266666666666666,0.10133333333333333
1556328960,2,3,2,2,1,1,0.9461333333333334,0.13026666666666667
1556329020,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556329080,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556329140,3,4,2,2,2,2,0.17986666666666667,0.13026666666666667
1556329200,2,2,2,2,0,0,0.040266666666666666,0.10133333333333333
1556329260,2,4,2,2,1,1,0.9541333333333334,0.17906666666666668
1556329320,2,3,2,2,0,0,0.08813333333333333,0.14386666666666667
1556329380,2,3,2,2,0,0,0.08813333333333333,0.15746666666666667
1556329440,3,4,2,2,2,2,0.17986666666666667,0.15746666666666667
1556329500,2,2,2,2,0,0,0.040266666666666666,0.10133333333333333
1556329560,2,4,2,2,1,1,0.9541333333333334,0.14386666666666667
1556329620,2,3,2,2,0,0,0.08813333333333333,0.14386666666666667
1556329680,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556329740,3,3,2,2,2,2,0.17186666666666667,0.15746666666666667
1556329800,2,2,2,2,0,0,0.040266666666666666,0.10133333333333333
1556329860,2,4,2,2,1,1,0.9541333333333334,0.13026666666666667
1556329920,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556329980,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556330040,4,4,2,2,4,4,0.18386666666666668,0.14226666666666668
1556330100,2,2,2,2,0,0,0.040266666666666666,0.08773333333333333
1556330160,2,4,2,2,1,2,0.9870666666666666,0.16546666666666668
1556330220,2,2,2,2,0,0,0.08013333333333333,0.14386666666666667
1556330280,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556330340,3,3,2,2,2,2,0.17186666666666667,0.14386666666666667
1556330400,2,2,2,2,0,0,0.040266666666666666,0.11493333333333333
1556330460,2,4,2,2,1,1,0.9541333333333334,0.13026666666666667
1556330520,2,2,2,2,0,0,0.08013333333333333,0.13026666666666667
1556330580,3,3,2,2,2,2,0.09213333333333333,0.14226666666666668
