time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556240460,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556240520,3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
1556240580,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556240640,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556240700,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556240760,3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
1556240820,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556240880,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556240940,2,2,0,0,2,2,0.0296,0.06706666666666666
1556241000,3,3,0,0,4,4,0.22506666666666666,0.050666666666666665
1556241060,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556241120,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556241180,3,3,0,0,4,4,0.22106666666666666,0.07973333333333334
1556241240,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556241300,2,2,0,0,2,2,0.039466666666666664,0.052
1556241360,2,2,0,0,2,2,0.0296,0.050666666666666665
1556241420,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556241480,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556241540,2,2,0,0,2,2,0.0296,0.05586666666666667
1556241600,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556241660,3,3,0,0,4,4,0.13226666666666667,0.050666666666666665
1556241720,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556241780,2,2,0,0,2,2,0.039466666666666664,0.039466666666666664
1556241840,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556241900,3,3,0,0,4,4,0.13226666666666667,0.06186666666666667
1556241960,2,2,0,0,2,2,0.0296,0.052
1556242020,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556242080,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556242140,3,3,0,0,4,4,0.13226666666666667,0.06573333333333334
1556242200,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556242260,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
1556242320,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556242380,3,3,0,0,4,4,0.14213333333333333,0.060533333333333335
1556242440,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556242500,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556242560,2,2,0,0,2,2,0.039466666666666664,0.050666666666666665
1556242620,3,3,0,0,4,4,0.1224,0.0408
1556242680,2,2,0,0,2,2,0.039466666666666664,0.06186666666666667
