time,ip_src,ip_dst,tcp_srcport,tcp_dstport,udp_srcport,udp_dstport,uplink_kbs,downlink_kbs
1556240400,4,4,0,0,2,2,0.12,0.1296
1556240460,0,0,0,0,0,0,0.0,0.0672
1556240520,2,2,0,0,2,2,0.08906666666666667,0.0784
1556240580,0,0,0,0,0,0,0.0,0.0672
1556240640,0,0,0,0,0,0,0.0,0.0672
1556240700,0,0,0,0,0,0,0.0,0.056
1556240760,0,0,0,0,0,0,0.0,0.0672
1556240820,2,2,0,0,2,2,0.08906666666666667,0.0784
1556240880,0,0,0,0,0,0,0.0,0.0672
1556240940,0,0,0,0,0,0,0.0,0.08226666666666667
1556241000,0,0,0,0,0,0,0.0,0.0672
1556241060,2,2,2,2,0,0,0.09546666666666667,0.3612
1556241120,5,6,0,0,6,7,0.44426666666666664,0.2328
1556241180,4,4,0,0,2,2,0.12,0.1184
1556241240,4,4,0,0,2,2,0.12,0.1184
1556241300,6,6,2,2,4,4,0.2368,0.2124
1556241360,4,4,0,0,2,2,0.12,0.1184
1556241420,5,5,0,0,4,4,0.20906666666666668,0.1408
1556241480,4,4,0,0,2,2,0.18,0.1272
1556241540,4,4,0,0,2,2,0.12,0.14466666666666667
1556241600,4,4,0,0,2,2,0.12,0.1184
1556241660,4,4,0,0,2,2,0.12,0.1184
1556241720,5,5,0,0,4,4,0.20906666666666668,0.1184
1556241780,4,4,0,0,2,2,0.18,0.1384
1556241840,4,4,0,0,2,2,0.12,0.1184
1556241900,4,4,0,0,2,2,0.12,0.1184
1556241960,4,4,0,0,2,2,0.12,0.1184
1556242020,5,5,0,0,4,4,0.20906666666666668,0.1296
1556242080,4,4,0,0,2,2,0.12,0.1296
1556242140,4,4,0,0,2,2,0.18,0.15346666666666667
1556242200,4,4,0,0,2,2,0.12,0.1184
1556242260,4,4,0,0,2,2,0.12,0.1296
1556242320,5,5,0,0,4,4,0.20906666666666668,0.1296
1556242380,4,4,0,0,2,2,0.12,0.1296
1556242440,4,4,0,0,2,2,0.18,0.1496
1556242500,4,4,0,0,2,2,0.12,0.1184
